dataset,rep,method_i,method_j,ari
email_eu,6,Random Sampling (p=0.7),Random Sampling (p=0.8),0.73084422074898
email_eu,6,Random Sampling (p=0.7),CountSketch,0.729684214243969
email_eu,6,Random Sampling (p=0.7),SIGN Bidirectional,0.704960509414139
email_eu,6,Random Sampling (p=0.8),CountSketch,0.759570756172053
email_eu,6,Random Sampling (p=0.8),SIGN Bidirectional,0.742317803685715
email_eu,6,CountSketch,SIGN Bidirectional,0.769988260933223
email_eu,7,Non-random,Random Projection,0.770070196555194
email_eu,7,Non-random,Random Sampling (p=0.7),0.718085446762357
email_eu,7,Non-random,Random Sampling (p=0.8),0.811104726440631
email_eu,7,Non-random,CountSketch,0.732393670055581
email_eu,7,Non-random,SIGN Bidirectional,0.809782195953087
email_eu,7,Random Projection,Random Sampling (p=0.7),0.76568404468811
email_eu,7,Random Projection,Random Sampling (p=0.8),0.771702497285686
email_eu,7,Random Projection,CountSketch,0.736699454844674
email_eu,7,Random Projection,SIGN Bidirectional,0.818527869511052
email_eu,7,Random Sampling (p=0.7),Random Sampling (p=0.8),0.739835198681974
email_eu,7,Random Sampling (p=0.7),CountSketch,0.704162758985705
email_eu,7,Random Sampling (p=0.7),SIGN Bidirectional,0.766711185260678
email_eu,7,Random Sampling (p=0.8),CountSketch,0.70990848692377
email_eu,7,Random Sampling (p=0.8),SIGN Bidirectional,0.783258821405534
email_eu,7,CountSketch,SIGN Bidirectional,0.763450973227361
email_eu,8,Non-random,Random Projection,0.804371254508192
email_eu,8,Non-random,Random Sampling (p=0.7),0.714874710714416
email_eu,8,Non-random,Random Sampling (p=0.8),0.75172853756905
email_eu,8,Non-random,CountSketch,0.762633019299809
email_eu,8,Non-random,SIGN Bidirectional,0.756851698887764
email_eu,8,Random Projection,Random Sampling (p=0.7),0.720939613748015
email_eu,8,Random Projection,Random Sampling (p=0.8),0.751009645022077
email_eu,8,Random Projection,CountSketch,0.801081102756666
email_eu,8,Random Projection,SIGN Bidirectional,0.779927933369937
email_eu,8,Random Sampling (p=0.7),Random Sampling (p=0.8),0.727081196037483
email_eu,8,Random Sampling (p=0.7),CountSketch,0.724699958220871
email_eu,8,Random Sampling (p=0.7),SIGN Bidirectional,0.729700436066569
email_eu,8,Random Sampling (p=0.8),CountSketch,0.746425792120613
email_eu,8,Random Sampling (p=0.8),SIGN Bidirectional,0.761066681963548
email_eu,8,CountSketch,SIGN Bidirectional,0.782957635131234
email_eu,9,Non-random,Random Projection,0.749073582115264
email_eu,9,Non-random,Random Sampling (p=0.7),0.722086137521327
email_eu,9,Non-random,Random Sampling (p=0.8),0.810354448583104
email_eu,9,Non-random,CountSketch,0.728608093253166
email_eu,9,Non-random,SIGN Bidirectional,0.758502631946095
email_eu,9,Random Projection,Random Sampling (p=0.7),0.75629020248965
email_eu,9,Random Projection,Random Sampling (p=0.8),0.72995457908227
email_eu,9,Random Projection,CountSketch,0.751573024511539
email_eu,9,Random Projection,SIGN Bidirectional,0.79882352642761
email_eu,9,Random Sampling (p=0.7),Random Sampling (p=0.8),0.741589790988633
email_eu,9,Random Sampling (p=0.7),CountSketch,0.694460327481647
email_eu,9,Random Sampling (p=0.7),SIGN Bidirectional,0.698865059865767
email_eu,9,Random Sampling (p=0.8),CountSketch,0.719314464521347
email_eu,9,Random Sampling (p=0.8),SIGN Bidirectional,0.727125485189891
email_eu,9,CountSketch,SIGN Bidirectional,0.724884621101072
email_eu,10,Non-random,Random Projection,0.739116040543293
email_eu,10,Non-random,Random Sampling (p=0.7),0.730799694468292
email_eu,10,Non-random,Random Sampling (p=0.8),0.763403796808746
email_eu,10,Non-random,CountSketch,0.6202118370291
email_eu,10,Non-random,SIGN Bidirectional,0.721837255670085
email_eu,10,Random Projection,Random Sampling (p=0.7),0.703409249200523
email_eu,10,Random Projection,Random Sampling (p=0.8),0.786419931944806
email_eu,10,Random Projection,CountSketch,0.70097244678283
email_eu,10,Random Projection,SIGN Bidirectional,0.780939470232467
email_eu,10,Random Sampling (p=0.7),Random Sampling (p=0.8),0.728861456524108
email_eu,10,Random Sampling (p=0.7),CountSketch,0.605584880835252
email_eu,10,Random Sampling (p=0.7),SIGN Bidirectional,0.685826552808575
email_eu,10,Random Sampling (p=0.8),CountSketch,0.686502583193445
email_eu,10,Random Sampling (p=0.8),SIGN Bidirectional,0.775214903547829
email_eu,10,CountSketch,SIGN Bidirectional,0.666371448604217
email_eu,11,Non-random,Random Projection,0.689109029225017
email_eu,11,Non-random,Random Sampling (p=0.7),0.674186592152206
email_eu,11,Non-random,Random Sampling (p=0.8),0.685510122065132
email_eu,11,Non-random,CountSketch,0.673059729433606
email_eu,11,Non-random,SIGN Bidirectional,0.687141005343381
email_eu,11,Random Projection,Random Sampling (p=0.7),0.727204923672418
email_eu,11,Random Projection,Random Sampling (p=0.8),0.764706244469571
email_eu,11,Random Projection,CountSketch,0.761118175671284
email_eu,11,Random Projection,SIGN Bidirectional,0.816429593215217
email_eu,11,Random Sampling (p=0.7),Random Sampling (p=0.8),0.777641071451973
email_eu,11,Random Sampling (p=0.7),CountSketch,0.66637624863896
email_eu,11,Random Sampling (p=0.7),SIGN Bidirectional,0.750598382888745
email_eu,11,Random Sampling (p=0.8),CountSketch,0.695761053881596
email_eu,11,Random Sampling (p=0.8),SIGN Bidirectional,0.768931255536829
email_eu,11,CountSketch,SIGN Bidirectional,0.713900498479347
email_eu,12,Non-random,Random Projection,0.817411261027362
email_eu,12,Non-random,Random Sampling (p=0.7),0.72486030711149
