method,Non-random,Random Projection,Random Sampling (p=0.7),Random Sampling (p=0.8),CountSketch,SIGN Bidirectional
Non-random,1,0.751224136007,0.727941562293,0.764523164583,0.743776323216,0.743821043984
Random Projection,0.751224136007,1,0.7360468195,0.750236123743,0.783345466209,0.787143270722
Random Sampling (p=0.7),0.727941562293,0.7360468195,1,0.728411599929,0.727300707372,0.730018023508
Random Sampling (p=0.8),0.764523164583,0.750236123743,0.728411599929,1,0.735331892824,0.748638111008
CountSketch,0.743776323216,0.783345466209,0.727300707372,0.735331892824,1,0.777103114228
SIGN Bidirectional,0.743821043984,0.787143270722,0.730018023508,0.748638111008,0.777103114228,1
