K,reps,hyperedges_mean,hyperedges_std,degree_mean,degree_std,expected_degree_mean,candidate_within_fraction_mean,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ari_mean,ari_std,nmi_mean,nmi_std,generation_wall_sec_mean,zhou_theta_build_wall_sec_mean,eigen_decomposition_wall_sec_mean,kmeans_wall_sec_mean,spectral_clustering_wall_sec_mean,algorithm_total_wall_sec_mean,cpu_time_sec_mean,wall_clock_sec_mean,peak_traced_memory_mb_mean,rss_delta_mb_mean
2,10,80138.2,322.79604844063465,24.04146,0.09683881453219088,23.988001439999998,0.24992499249924993,0.0,0.0,4e-05,6.992058987801011e-05,0.9998400079992003,0.00027966202014403674,0.9994507865849958,0.000960030852925231,2.6326706747873687,0.17587194591760635,0.008372266811784356,0.09368050020420923,0.10220431690104306,2.9107380085391923,5.5703625,3.2293103460106067,41.26720952987671,13.096875
3,10,50340.0,215.19035500897616,15.102,0.06455710650269297,15.102312977664003,0.11104444888977796,0.0,0.0,0.01668,0.0014740722129152597,0.9505838042021498,0.004312369645789003,0.9125112035581833,0.006374285456236203,1.7460142002208159,0.10696247481973842,0.011562899907585234,0.11577577497810125,0.12744715418666602,1.980419908312615,4.782564699999999,2.192460329295136,26.46513900756836,1.2046875
4,10,39969.4,194.16327607912464,11.99082,0.05824898282373723,11.992801440000001,0.06244375187668797,1e-05,3.1622776601683795e-05,0.15356,0.005221579156623882,0.6324278584051914,0.010996729373636582,0.5695850863264218,0.010568055930978914,1.405044579319656,0.0850016916054301,0.019169279118068518,0.18078903330024332,0.20008308748947456,1.6901249750633724,4.753872000000004,1.8572455166024155,21.35845184326172,0.071875
5,10,35088.1,222.88434968236967,10.52643,0.06686530490471142,10.553761439999999,0.039952004802400624,1e-05,3.1622776601683795e-05,0.6311,0.04266906243273794,0.06429494668003788,0.022256650583485468,0.07098608112503507,0.021333765161535425,1.2605136459111237,0.07444770408328623,0.07050247910665348,0.5544195291819051,0.6250764039112255,1.9600335873779842,7.284349400000005,2.0963694874662906,18.99591655731201,0.065625
6,10,32504.7,177.85702747494202,9.75141,0.053357108242482625,9.77217964416,0.027736124722694315,0.00012000000000000002,0.00011352924243950935,0.80657,0.0056144753390974505,0.0028000408313542196,0.0011296211759868478,0.004626111374894398,0.0015498700280786024,1.1462872539879754,0.07155801648041234,0.08361447090283036,0.709806295891758,0.7936188625753857,2.011459545546677,7.830826199999993,2.147256937331986,17.780242729187012,-7.196875
8,10,29887.5,155.20112399363856,8.966249999999999,0.04656033719809209,8.99520144,0.015592197347360259,0.00016,0.00011737877907772672,0.85882,0.0026279692201816715,0.000567296964982494,0.00023620536266964133,0.0021435663307123078,0.00038983536530669407,1.0650909331743605,0.06802101250505074,0.10786914590280502,0.8145127790980041,0.9225670668063686,2.0556748331524433,8.561057400000005,2.1771740500000307,16.624425411224365,1.1953125
10,10,28739.5,185.1469386430384,8.62185,0.05554408159291169,8.63568144,0.009973011704050981,0.00019,0.00013703203194062976,0.8844099999999999,0.0015314843924912858,0.000307107195903118,0.0001341352438370525,0.0023717792142388884,0.00028714728765619885,1.0264932041754946,0.06303924581734463,0.16098930819425733,0.9562686998164281,1.1175029585952871,2.207029962190427,9.645853900000002,2.325788866705261,16.20136728286743,-2.3828125
12,10,28057.5,138.97261920568693,8.41725,0.041691785761706276,8.440446310656,0.006921547429797991,0.00016,0.00016465452046971293,0.90075,0.001225878369895556,0.00026399631600017916,0.00010278833748008705,0.0030222488467166325,0.00022869915998803068,1.0180636668112129,0.06152723741251975,0.15917753761168568,1.112606633512769,1.272056175081525,2.3516431255731733,10.694007600000031,2.467231703887228,16.09970712661743,1.371875
