n,K,rho_n,rep,seed,m,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_theta_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,zhou_theta_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
5000,2,8.0,1,22260434,3,79632,0.0,1.0,1.0,2.3738525409717113,0.17489191598724574,0.25014558294788003,0.024333000066690147,0,0.0,47.7792,76.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,476314,0.008401916013099253,7.620896212756634e-05,0.2416552499635145,2.7988778318976983,1.152e-05,1.28e-06,sparse,5.709573,3.1213228340493515,39.97129535675049,259.828125,344.96875,85.140625
5000,2,8.0,2,22260435,3,79321,0.0,1.0,1.0,2.553259624983184,0.1885905839735642,0.05568583309650421,0.023651292081922293,0,0.0,47.5926,75.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,474430,0.008127500070258975,7.383304182440042e-05,0.04747862496878952,2.797530167037621,1.152e-05,1.28e-06,sparse,5.060894000000001,3.149553666007705,39.80103778839111,337.96875,365.15625,27.1875
5000,2,8.0,3,22260436,3,80518,0.0,1.0,1.0,2.539266375009902,0.1742211669916287,0.05138016596902162,0.01778941706288606,0,0.0,48.3108,74.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,481442,0.007699999958276749,6.42499653622508e-05,0.04361208307091147,2.764863874996081,1.152e-05,1.28e-06,sparse,5.133318000000001,3.077468959032558,40.38808536529541,360.15625,376.796875,16.640625
5000,2,8.0,4,22260437,3,80288,0.0,1.0,1.0,2.608377124997787,0.17026024998631328,0.05341966694686562,0.01729058299679309,0,0.0,48.1728,74.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,480120,0.007345666992478073,5.891697946935892e-05,0.04601195896975696,2.832053917925805,1.152e-05,1.28e-06,sparse,5.187639999999998,3.1563789159990847,40.27912902832031,372.796875,388.953125,16.15625
5000,2,8.0,5,22260438,3,79473,0.0,1.0,1.0,2.685941416071728,0.17624570906627923,0.05586379102896899,0.024391832994297147,0,0.0,47.6838,73.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,475264,0.007643291959539056,7.66669400036335e-05,0.048140124999918044,2.918047209037468,1.152e-05,1.28e-06,sparse,5.352722,3.2619626249652356,39.870890617370605,386.953125,373.3125,-13.640625
5000,2,8.0,6,22260439,3,79884,0.0,1.0,1.0,2.6419099589111283,0.17650770803447813,0.06544887507334352,0.018444292014464736,0,0.0,47.9304,82.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,477708,0.00785829103551805,6.120908074080944e-05,0.05752525001298636,2.8838624170748517,1.152e-05,1.28e-06,sparse,5.340066,3.2079626659397036,40.07281970977783,369.34375,344.46875,-24.875
5000,2,8.0,7,22260440,3,80533,0.0,1.0,1.0,2.6476660000626,0.17793979204725474,0.057553165941499174,0.022218666970729828,0,0.0,48.3198,77.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,481574,0.008089999901130795,0.00010520895011723042,0.049352083005942404,2.883153083967045,1.152e-05,1.28e-06,sparse,5.239162999999998,3.2030675419373438,40.404178619384766,344.46875,363.953125,19.484375
5000,2,8.0,8,22260441,3,80266,0.0,1.0,1.0,2.553998999996111,0.19173187494743615,0.061690208967775106,0.02241187496110797,0,0.0,48.1596,75.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,479846,0.009848333080299199,6.85409177094698e-05,0.05176904110703617,2.807416790048592,1.152e-05,1.28e-06,sparse,4.963059000000001,3.1653748330427334,40.25740051269531,363.953125,327.40625,-36.546875
5000,2,8.0,9,22260442,3,80191,0.0,1.0,1.0,2.7826864171074703,0.2086657090112567,0.04863650002516806,0.018201875034719706,0,0.0,48.1146,76.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,479450,0.008010749937966466,6.533297710120678e-05,0.04055608296766877,3.0399842920014635,1.152e-05,1.28e-06,sparse,5.175821999999997,3.3376604170771316,40.22796821594238,327.40625,318.609375,-8.796875
5000,2,8.0,10,22260443,3,79797,0.0,1.0,1.0,2.5639433750184253,0.1811270840698853,0.07151470903772861,0.06686024996452034,0,0.0,47.8782,77.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,477268,0.007182499975897372,7.937499321997166e-05,0.06424512492958456,2.8165774589870125,1.152e-05,1.28e-06,sparse,4.637029000000005,3.1843205840559676,40.03386878967285,318.609375,337.1875,18.578125
