method,setting,misclassification_rate,ARI,NMI,spectral_clustering_wall_sec,spectral_speedup_vs_non_random
Non-random eigs,baseline,0.098,0.77868978321551,0.735177267206789,0.136139791666667,1
Gaussian RP r=30 q=1,fast,0.823166666666667,-6.45161866404568e-05,0.00107288668443803,0.391041958333333,0.348146250716702
Gaussian RP r=160 q=3,wide,0.800666666666667,0.00280313567096652,0.00512583690624885,0.879432541666667,0.154804132456436
CountSketch RP r=30 q=1,fast,0.820333333333333,0.000322991006442977,0.0015345657082316,0.219231958333333,0.620985155182857
CountSketch RP r=160 q=3,wide,0.803333333333333,0.00352646054430479,0.00616149674311865,0.72204925,0.188546406864444
Random sampling p=0.3,fast,0.820333333333333,0.000110897352806687,0.002674696258514,0.391012708333333,0.34817229405907
Random sampling p=0.7,less_sparse,0.663,0.0536961425038797,0.082046046197458,0.68705975,0.198148402182877
Random sampling p=0.9,near_full,0.237166666666667,0.4994541771493,0.50851393140196,0.324321375,0.419768174905729
Random sampling p=1.0,full_control,0.098,0.77868978321551,0.735177267206789,0.220792458333333,0.61659620393888
