n,reps,hyperedges_mean,hyperedges_std,misclassification_mean,misclassification_std,ari_mean,ari_std,nmi_mean,nmi_std,generation_wall_sec_mean,generation_wall_sec_std,zhou_laplacian_wall_sec_mean,zhou_laplacian_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,cpu_time_sec_mean,cpu_time_sec_std,wall_clock_sec_mean,wall_clock_sec_std,peak_traced_memory_mb_mean,peak_traced_memory_mb_std,rss_delta_mb_mean,rss_delta_mb_std
1000,10,6231.6,62.71664673575739,0.0064,0.0027162065049951153,0.9808801949351581,0.008060355647275481,0.9636492722925512,0.01399841093635337,0.31872327999954,0.0076598760000963035,0.021074859999498586,0.0015361889732725034,0.007696590000705328,0.000915257658481507,7.13100002030842e-05,4.06651531985256e-06,0.22001031000036164,0.5361598498051786,0.2277834399996209,0.5370588956699014,0.010680339999817079,0.002003588530279787,0.5675763500003086,0.5359104132895421,0.7625,0.04218428485690957,0.6050965299997187,0.5349617250387766,1.83148193359375,0.018088944528403428,0.59609375,1.3823896873999968
2000,10,12461.8,94.30423579505256,0.006500000000000001,0.0020138409955990956,0.9805893530747303,0.00599769602397821,0.9616687402232305,0.010999183588502473,0.62546375999882,0.018854469235371214,0.03996330000081798,0.0030935082613189435,0.009105249999265652,0.0005089627649868823,7.919000199763104e-05,9.125476197940446e-06,0.03464396999988821,0.005767476128718545,0.04383352000004379,0.00622931618678837,0.016588649999175687,0.0030337044070807605,0.7092554700007895,0.024925394610942692,1.2640625,0.11302203340376697,0.7820369699991716,0.032543948508657494,3.7458965301513674,0.031182703825036448,0.425,2.8591975886067136
3000,10,18769.4,162.3057471427165,0.0071,0.0026107564770993194,0.9788204816350449,0.007749961138631136,0.9584892387114083,0.013373443910648354,0.9672257699989132,0.05425921117288043,0.06100147000106517,0.0020931001714975623,0.010593479999806732,0.00039508427003735085,8.826000121189281e-05,1.6088588841523565e-05,0.037488909999228784,0.0067469973133180055,0.04817564999830211,0.006919253102949426,0.0217257399999653,0.005265172630128516,1.0763978900002258,0.05878745828705299,1.7640625,0.07982524859028,1.186362749998807,0.0698053158459373,5.6895591735839846,0.047939293683652476,-0.25,0.8950077954928971
4000,10,25052.7,113.84497256259384,0.0060999999999999995,0.0012202003478482084,0.98178089343566,0.0036255518453764406,0.963023101479504,0.006423496839930457,1.2585381800003232,0.019095727329948756,0.07718657999866992,0.0033146664468410164,0.01192118999970262,0.000495467351289081,8.451999965473079e-05,8.156905679646033e-06,0.039224629999080204,0.0029974702935709084,0.05123610999871744,0.0031790108938739444,0.027300289999402594,0.0040015030979752226,1.3869550999974307,0.01807133392166369,2.1109375,0.05679233155639155,1.5230087899995852,0.020985631696148987,7.625988864898682,0.031492853260452196,0.3453125,1.1300706161294685
5000,10,31317.8,85.85491638029049,0.00572,0.0012968337510173684,0.9829146766348911,0.003855017061781024,0.9649805874958858,0.0069355868756628206,1.5647664199990685,0.0259049420372612,0.0959232900000643,0.003570184775855377,0.013590970000950619,0.0006293123440490249,0.00010312000085832551,1.7058254090211404e-05,0.04072478999951272,0.005220697435011875,0.05442558000213467,0.00555361386137789,0.033141550001164435,0.005657132027212095,1.7151085900004546,0.023961365279255933,2.4875,0.037413093741808276,1.8779036599997199,0.030153506038963846,9.556518173217773,0.022425093239096618,-0.118359375,0.515713935143773
6000,10,37521.5,148.58611420093513,0.0065833333333333325,0.0009789450103725606,0.9803444297467051,0.0029061675198520363,0.9602787402197347,0.005106343854748103,1.8809829500009072,0.04483304612063613,0.12195856000034837,0.005743151326207535,0.015108669999608536,0.00040928487104169336,0.00010905000017373823,2.5133610573919737e-05,0.043922209999436745,0.0038487742691736874,0.059146109997527674,0.004049355916136475,0.037088970000331754,0.0056166823255971565,2.0620814400004748,0.042316911899020586,2.8609375,0.06808787852025426,2.258503609999752,0.04189770071713599,11.459967517852784,0.0520071513172621,0.251171875,1.1403158619558933
7000,10,43811.9,295.7898841332396,0.0061285714285714285,0.0009746212707073412,0.9816966578650137,0.002897274626076484,0.9625323279144361,0.005066242234938958,2.1533753799994884,0.044323797386970135,0.13164081999930205,0.0037765994664408498,0.01633641000080388,0.0004982555587088241,0.0001431500000762753,4.074163423051151e-05,0.04533206000123755,0.00505804962295574,0.06181797999815899,0.005341597052713023,0.04077989000215894,0.00695874921048322,2.3468278200009083,0.045077061883190654,3.1796875,0.08784962392413023,2.5635402499981863,0.04375432121349478,13.401484489440918,0.08463551853657904,0.2546875,2.0909235106495774
8000,10,50030.1,199.78791532801,0.00655,0.0009431772544613942,0.9804443049917397,0.002804231341705369,0.9603047257244384,0.004964074524258078,2.5464436999995086,0.13925683980567674,0.15878035999994608,0.006962366298499064,0.018592420001368737,0.0025351092925748327,0.00015440000061062165,4.061477549506568e-05,0.0506203099997947,0.006639732405254462,0.06937439999819617,0.008572615122452545,0.04807227999845054,0.006155168022994298,2.774591190001229,0.15067589428725844,3.66875,0.18278207842795868,3.0278395599998476,0.16175134887567688,15.31475772857666,0.05895859229126548,-0.215625,1.4063859887950982
9000,10,56341.4,254.6117741887742,0.006611111111111111,0.0008351831321318281,0.9802624671634866,0.00248240606509669,0.9598438176728072,0.004366426180697024,3.1836561299991444,0.19848515967204317,0.19168912000022828,0.022149439773831398,0.020826389999274397,0.0026843055281634766,0.00015247999908751808,3.235908942135983e-05,0.060697759999311526,0.0071790215024956335,0.081687069999316,0.009586600727677754,0.06104842000058852,0.005479947335813239,3.457021879997046,0.1900530531738352,4.421875,0.19432039693935027,3.774499600000854,0.1958516888460551,17.261250686645507,0.07371669983004721,2.72890625,16.717294037070562
10000,10,62559.3,169.16990144690487,0.0069500000000000004,0.0012563173696695166,0.9792602268853736,0.0037269749773756935,0.9582132700924404,0.0064252384720371175,3.4426905599997553,0.2666770194916485,0.21703948999929706,0.022507364559709912,0.023431190000701464,0.003348449229474012,0.0001774400006979704,3.390139971870469e-05,0.06790081999934046,0.007280516820511903,0.09151819000035175,0.010398937853533442,0.06933681999944383,0.005119974024619667,3.7512394999997922,0.27247611351562623,4.7796875,0.2637752176596371,4.091226709998591,0.28427634622333314,19.179271125793456,0.05240158595527081,-0.14140625,21.74813369402481
