Dataset,Methods,F 1,NMI,ARI
statisticians_coauthor,Random Projection,0.781(0.292),0.765(0.268),0.767(0.294)
statisticians_coauthor,Random Sampling (p= 0.7),0.521(0.287),0.616(0.173),0.631(0.196)
statisticians_coauthor,Random Sampling (p= 0.8),0.595(0.321),0.676(0.218),0.684(0.236)
