K,method,rep,seed,n,m,rho_n,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,hypergraph_laplacian_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_core_eigensolver,rp_lift_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
2,Gaussian random projection,1,20460428,5000,3,8.0,80121,0.0,1.0,1.0,2.0724674590019276,0.16324587499548215,0.476417792000575,0.02438941599393729,0,0.0,48.0726,76.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,0.003590916996472515,0.12473041599150747,0.06492558399622794,0.06488616600108799,0.0020377080072648823,eigsh,0.00035291600215714425,0.2607751250034198,0.00010829199163708836,0.2155275000113761,0.9999988608091963,0.7863604549710037,2.712124251003843,1.152e-05,1.28e-06,sparse,6.690898,3.2264937919972,54.28330898284912,221.609375,363.125,141.515625
2,Gaussian random projection,2,20460429,5000,3,8.0,79780,0.0,1.0,1.0,1.9727876669930993,0.15401374999783002,0.3328534580068663,0.024712124999496154,0,0.0,47.868,74.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,0.0032867920090211555,0.11769545800052583,0.043364457989810035,0.029999249993124977,0.0026805829984368756,eigsh,0.000516125001013279,0.19823779200669378,0.00023729100939817727,0.13437058399722446,0.9999988921249974,0.7856169084551798,2.4596470840042457,1.152e-05,1.28e-06,sparse,6.330475999999999,3.0236258340009954,54.15390586853027,352.890625,403.09375,50.203125
2,Gaussian random projection,3,20460430,5000,3,8.0,80030,0.0,1.0,1.0,2.0283052079903428,0.15417087500100024,0.35331170799327083,0.02730245799466502,0,0.0,48.018,83.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,0.00325429200893268,0.1150534579937812,0.049568166010431014,0.024549042005673982,0.0014537500101141632,eigsh,0.00020991599012631923,0.19471479099593125,0.0002415830094832927,0.15835054199851584,0.999998809550791,0.7855182927511022,2.5357829989952734,1.152e-05,1.28e-06,sparse,6.618563000000002,3.0873890000075335,54.24213123321533,394.09375,410.8125,16.71875
2,Gaussian random projection,4,20460431,5000,3,8.0,79530,0.0,1.0,1.0,2.0200091669976246,0.15494008299720008,0.3297645830025431,0.028044833001331426,0,0.0,47.718,73.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,0.0038336669967975467,0.11661954199371394,0.04102374998910818,0.041006833998835646,0.0014445000124396756,eigsh,0.0019364999898243695,0.20640820800326765,0.00021429199841804802,0.1231374580092961,0.9999986487538897,0.785553082711366,2.5047092080058064,1.152e-05,1.28e-06,sparse,6.379086999999998,3.07380633399589,54.06784915924072,404.8125,428.6875,23.875
2,Gaussian random projection,5,20460432,5000,3,8.0,79970,0.0,1.0,1.0,2.017630165995797,0.16205745800107252,0.309554332998232,0.023325792004470713,0,0.0,47.982,77.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,0.003302541997982189,0.1202367499936372,0.05516633299703244,0.030368332998477854,0.0015999589959392324,eigsh,0.00044383299245964736,0.21199020800122526,0.00010320899309590459,0.09745504199236166,0.9999988083036409,0.7864066726119172,2.4892360829835525,1.152e-05,1.28e-06,sparse,6.181388999999999,3.0864137909957208,54.21500301361084,425.6875,441.625,15.9375
2,Gaussian random projection,6,20460433,5000,3,8.0,80032,0.0,1.0,1.0,2.020995333994506,0.1537007500010077,0.3108470830047736,0.023998332995688543,0,0.0,48.0192,74.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,0.0034172080049756914,0.11649479100015014,0.0489709999965271,0.041513208008836955,0.002050625000265427,eigsh,0.000498417008202523,0.21438433400180656,0.00010770800872705877,0.09635116699791979,0.9999987442632317,0.7864508664497403,2.485539293003967,1.152e-05,1.28e-06,sparse,6.168405999999997,3.0637639999913517,54.24052810668945,438.625,448.390625,9.765625
2,Gaussian random projection,7,20460434,5000,3,8.0,79547,0.0,1.0,1.0,1.9915240840055048,0.15166379199945368,0.2689001249964349,0.020319916991866194,0,0.0,47.7282,73.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,0.0032506669958820567,0.11436704199877568,0.0359641660033958,0.019031124989851378,0.002153082998120226,eigsh,0.00022033299319446087,0.17520658401190303,0.00020041600510012358,0.09348945900273975,0.9999988480009225,0.7870845048088425,2.4120843350247014,1.152e-05,1.28e-06,sparse,5.848860000000002,2.9717662499897415,54.07603168487549,445.390625,456.15625,10.765625
2,Gaussian random projection,8,20460435,5000,3,8.0,79571,0.0,1.0,1.0,2.019175167006324,0.1511656660004519,0.33561191700573545,0.0160441250045551,0,0.0,47.7426,74.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,0.00329987499571871,0.11746920899895485,0.04883729100401979,0.02001274999929592,0.001444624998839572,eigsh,0.00036204200296197087,0.19211074999475386,0.00032383299549110234,0.14317154198943172,0.9999991550853914,0.7839717558166543,2.5059469579864526,1.152e-05,1.28e-06,sparse,6.416224,3.0593832079903223,54.075209617614746,454.15625,473.40625,19.25
2,Gaussian random projection,9,20460436,5000,3,8.0,79697,0.0,1.0,1.0,2.047750083002029,0.16334670799551532,0.2808890419983072,0.013512000004993752,0,0.0,47.8182,78.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,0.0033742079976946115,0.1177893749991199,0.04090020900184754,0.01999391699791886,0.0014932500052964315,eigsh,0.00046587499673478305,0.1844826250016922,0.00026974998763762414,0.09613274999719579,0.999998802090137,0.7841206678991262,2.49198191598407,1.152e-05,1.28e-06,sparse,5.931578999999999,3.0323649589990964,54.12669658660889,473.40625,489.75,16.34375
2,Gaussian random projection,10,20460437,5000,3,8.0,80316,0.0,1.0,1.0,2.0082175839925185,0.1533707909984514,0.36153012499562465,0.02066325000487268,0,0.0,48.1896,76.0,79920.01920000001,15.984003840000002,47.952011520000006,0.2498499699939988,0.003269416993134655,0.12341912499687169,0.06249354100145865,0.04408816700743046,0.0027680420025717467,eigsh,0.0006642079970333725,0.23848991599516012,0.0011474579951027408,0.12188662499829661,0.9999986936431208,0.7856311893500831,2.5231123739795294,1.152e-05,1.28e-06,sparse,6.384813000000001,3.1159397500014165,54.34311771392822,489.75,492.203125,2.453125
3,Gaussian random projection,1,20560428,5000,3,8.0,50148,0.0014,0.9958032461707987,0.9904723539719401,1.2993451670045033,0.09190920800028834,0.31786341599945445,0.018873416993301362,0,0.0,30.0888,50.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.0032483329996466637,0.08542045799549669,0.04554641699360218,0.02439925000362564,0.002329124996322207,eigsh,0.0018413749930914491,0.1633627920091385,0.00033387499570380896,0.15416287499829195,0.999996668325982,0.6658734557088916,1.709113917007926,1.152e-05,1.28e-06,sparse,5.4617879999999985,2.063388208000106,43.77200222015381,492.203125,510.015625,17.8125
3,Gaussian random projection,2,20560429,5000,3,8.0,50509,0.0008,0.9976005402642485,0.9938698981610091,1.3178491250000661,0.10118604099261574,0.30280466699332464,0.029596207998110913,0,0.0,30.3054,52.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.0033639999892329797,0.09003062499687076,0.05524983399664052,0.01525674998993054,0.003829916997347027,eigsh,0.0005074590008007362,0.17000066599575803,0.0008371659932890907,0.13196070899721235,0.9999968659136184,0.6681900750441107,1.7218337069789413,1.152e-05,1.28e-06,sparse,5.397697999999991,2.132412375009153,43.903964042663574,510.015625,510.140625,0.125
3,Gaussian random projection,3,20560430,5000,3,8.0,50368,0.0006,0.9982000001442592,0.9954023004462627,1.31652879100875,0.09705379098886624,0.5354263329936657,0.02412520899088122,0,0.0,30.2208,50.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.0032871250004973263,0.08396170800551772,0.1847368339949753,0.05215233299531974,0.0022129999997559935,eigsh,0.00048425000568386167,0.32774783299828414,0.000755374989239499,0.2069166659930488,0.9999963071286581,0.667639099062916,1.9490024559781887,1.152e-05,1.28e-06,sparse,6.591358999999997,2.308697125001345,43.846192359924316,510.140625,511.953125,1.8125
3,Gaussian random projection,4,20560431,5000,3,8.0,50720,0.0014,0.9958036017768926,0.9901250621223817,1.3436153340007877,0.10189283300132956,0.39548670800286345,0.026639917006832547,0,0.0,30.432,51.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.0033160829916596413,0.08696754100674298,0.08470070800103713,0.032138792012119666,0.0024236669996753335,eigsh,0.002539332999731414,0.2127761670126347,0.00036037499376107007,0.18234537499665748,0.9999973597100424,0.6706124435054794,1.8409900840051705,1.152e-05,1.28e-06,sparse,6.284767000000002,2.196452167001553,43.971476554870605,511.953125,512.34375,0.390625
3,Gaussian random projection,5,20560432,5000,3,8.0,50579,0.001,0.9970010803122161,0.9923374960101783,1.3139664589980384,0.09561424999265,0.28621649999695364,0.02098045799357351,0,0.0,30.3474,51.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.0032309999951394275,0.08349820799776353,0.0521495419961866,0.02551883299020119,0.0028920420008944348,eigsh,0.0031801250006537884,0.17191141699731816,0.00025591599114704877,0.11404312499507796,0.9999971420924957,0.6675964401351836,1.6957911669742316,1.152e-05,1.28e-06,sparse,5.326990000000009,2.06957949999196,43.92085933685303,512.34375,512.21875,-0.125
3,Gaussian random projection,6,20560433,5000,3,8.0,50302,0.0006,0.998200360072072,0.9954024101881654,1.3351313749881228,0.09331424999982119,0.33528416699846275,0.02535416699538473,0,0.0,30.1812,52.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.003410625009564683,0.08291095800814219,0.05137425000430085,0.022901000003912486,0.004269917000783607,eigsh,0.0005951250059297308,0.16707370801304933,0.0006686660053674132,0.16753583399986383,0.999997353012795,0.6656152723886826,1.7637238330062246,1.152e-05,1.28e-06,sparse,5.758753999999996,2.1280990410014056,43.817564964294434,512.21875,516.046875,3.828125
3,Gaussian random projection,7,20560434,5000,3,8.0,50184,0.0008,0.9976007201921441,0.9938699530991717,1.3066022080020048,0.09483791700040456,0.32442833299865015,0.02526350000698585,0,0.0,30.1104,50.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.003533665993018076,0.08570808300282806,0.04420912500063423,0.01538420800352469,0.003224625004804693,eigsh,0.002309874995262362,0.15564629100845195,0.00012833300570491701,0.16864829100086354,0.999996790214326,0.6671884658024746,1.7258630400174297,1.152e-05,1.28e-06,sparse,5.393317999999994,2.094575374998385,43.78464412689209,516.046875,516.9375,0.890625
3,Gaussian random projection,8,20560435,5000,3,8.0,50331,0.0008,0.9976007204804033,0.9941222151280513,1.3325757090060506,0.09582995899836533,0.392132249995484,0.02264370900229551,0,0.0,30.1986,50.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.003329917002702132,0.08303150000574533,0.0487414999952307,0.025112667004577816,0.0014924169954610988,eigsh,0.00023854100436437875,0.16230408300179988,9.845900058280677e-05,0.22972462499456014,0.9999971615027929,0.665178333182339,1.8205328350013588,1.152e-05,1.28e-06,sparse,6.2675880000000035,2.1526719579997007,43.8352575302124,516.9375,516.0,-0.9375
3,Gaussian random projection,9,20560436,5000,3,8.0,49835,0.0,1.0,1.0,1.2923254160123179,0.09564433300693054,0.30144483300682623,0.02459008300502319,0,0.0,29.901,52.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.003390334008145146,0.08291216699581128,0.06370804199832492,0.019499458008795045,0.0018069170037051663,eigsh,0.00023079199308995157,0.1721302090008976,9.800000407267362e-05,0.1292112920054933,0.9999971856492667,0.6702702000290901,1.689409250029712,1.152e-05,1.28e-06,sparse,5.3835360000000065,2.06729891699797,43.65670108795166,516.0,516.046875,0.046875
3,Gaussian random projection,10,20560437,5000,3,8.0,50227,0.001,0.9970019808524933,0.9928422941751965,1.3190224999998463,0.09611695900093764,0.35977783300040755,0.020099667002796195,0,0.0,30.1362,53.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.003356540997629054,0.08414016599999741,0.05269570800010115,0.014701832988066599,0.003095833002589643,eigsh,0.00036337500205263495,0.16101749999506865,0.0002860420063370839,0.19846845800930168,0.9999975684402611,0.6671187651919619,1.7749114590114914,1.152e-05,1.28e-06,sparse,5.912467000000007,2.116475041999365,43.79541301727295,516.046875,516.109375,0.0625
4,Gaussian random projection,1,20660428,5000,3,8.0,40414,0.0608,0.8444971708773032,0.7879761067302558,1.0792108330060728,0.07489941699896008,0.341461458010599,0.017975167007534765,0,0.0,24.2484,48.0,39952.0192,7.990403840000001,23.97121152,0.0623875075135075,0.003300208001746796,0.06214925000676885,0.053178832997218706,0.01495995900768321,0.005473042008816265,eigsh,0.0007618329982506111,0.14102416699461173,0.00012599999899975955,0.20030558400321752,0.9999942568812946,0.5833027008624184,1.4955660010018619,1.152e-05,1.28e-06,sparse,5.609780999999984,1.7905136659974232,40.481773376464844,516.109375,529.953125,13.84375
