K,method,reps,num_hyperedges_total_mean,num_hyperedges_total_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,cpu_time_sec_mean,cpu_time_sec_std,wall_clock_sec_mean,wall_clock_sec_std,peak_traced_memory_mb_mean,peak_traced_memory_mb_std,rss_delta_mb_mean,rss_delta_mb_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_small_eig_sec_mean,rp_small_eig_sec_std,rp_lift_sec_mean,rp_lift_sec_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std
2,Gaussian random projection,10,79859.4,272.84435937809724,47.91564,0.16370661562685787,75.8,3.047767853509988,47.952011520000006,0.0,0.2498499699939988,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0198861918979674,0.027442349795694355,0.1561675747987465,0.004780468295114098,0.20768003330158535,0.025659698404378695,0.00029538319940911604,0.00030849412862120947,0.1279872668994358,0.03808635930297672,0.3359680166002363,0.05733838525303326,0.022231224899587686,0.004655529300416336,2.512016450097144,0.07829550897935586,6.2950295,0.26927232373328347,3.074094691796927,0.06698906526221214,54.18237819671631,0.0965304399831,30.6828125,40.9487169548375,0.0033879584996611813,0.00018766102522320313,0.1183875165967038,0.0034097480264991924,0.04912144979898585,0.009456600543131154,0.033544879200053404,0.014505153824352789,0.0019126125029288233,0.0005095067570607538,0.000567016497370787,0.0005003548326281818,0.9999988262625319,1.378951240627954e-07,0.7856714395825015,0.0009975215470921087
3,Gaussian random projection,10,50320.3,248.88732390381014,30.19218,0.149332394342285,51.1,1.1005049346146127,30.187037153280006,0.0,0.11097779555911183,0.0,0.0,0.0,0.0008399999999999999,0.00040879225911349043,0.9974812250265528,0.0012252465224808638,0.9938443983302356,0.002814713122370788,1.3176962084020487,0.016047695031860876,0.09633995409822091,0.003112545476552636,0.1863970666032401,0.052102772132592595,0.00038222069852054117,0.0002752875438908056,0.16830172499903712,0.037065232352369644,0.35508650399860925,0.07350021719421308,0.023816633499518503,0.00323515685352228,1.7691171748010674,0.0814232805821439,5.777826500000001,0.46285650466118206,2.1329649708000944,0.07471509988099527,43.830407524108885,0.08871564296497007,2.390625,5.577096368743327,0.003346762398723513,8.766953140610044e-05,0.08485814140149159,0.0022687787373967695,0.06831119599810336,0.042543251386713624,0.02470651240000734,0.011136034374526779,0.0027577460001339204,0.0008745622551643066,0.0012290250000660309,0.0011190750932747828,0.9999970401990238,3.7914826772419e-07,0.6675282550051129,0.0018162402247326138
4,Gaussian random projection,10,40057.4,176.65232646202176,24.03444,0.10599139587721229,44.6,2.270584848790187,23.97121152,0.0,0.0623875075135075,0.0,0.0,0.0,0.05424,0.005318980687646416,0.8606320029022477,0.013156804778641423,0.8061739290907954,0.015185771201951116,1.0765491122030653,0.010591481110255683,0.07980635410058312,0.01027518282953394,0.1516636376007227,0.02102941996728213,0.0003014459987753071,0.00021587536337873192,0.2389920168032404,0.03133039680381806,0.3909619041980477,0.03882658295662215,0.018775933401775545,0.0035873956874317814,1.547312566706387,0.04336287917797108,5.926734600000005,0.3153212578745631,1.8239393666983232,0.04368697810829247,40.3535873413086,0.06420276363491062,1.7765625,4.2991064281695985,0.003510104198358022,0.00031020638555922847,0.06638525410089642,0.00906115703113073,0.05866032900084974,0.01568142372786962,0.01862964180036215,0.005961458520442709,0.0027754082970204764,0.0012236208060903634,0.0009926290978910402,0.0007648010714362856,0.9999948918309602,5.782576172684581e-07,0.5872798326147098,0.0025331421012864653
5,Gaussian random projection,10,35211.9,165.89786014292136,21.12714,0.09953871608575135,39.7,2.6687491868330797,21.095051520000002,0.0,0.03990401921920999,0.0,0.0,0.0,0.29354,0.015770873293652586,0.40179772533281105,0.02498794428059804,0.37406932551889877,0.022250634504755226,0.9583807625967893,0.00950991469677864,0.06708522510161856,0.0018404034436656396,0.14334284579817905,0.009591811580170655,0.0004072916999575682,0.00015086100785572035,0.32209175009920726,0.011348695866072385,0.4658472290975624,0.01780662140533957,0.014488050100044347,0.001988127332684458,1.4913078752957518,0.018839635499320707,6.4481218000000045,0.07715421865156426,1.728049666598963,0.022924685661895584,38.813614463806154,0.05945731913404602,1.6203125,3.9481300101765826,0.0033703083012369462,8.673515000351536e-05,0.06295847090077586,0.0022010903634500745,0.05279160010250052,0.005537428096328622,0.01878535009891493,0.0051754905082320325,0.003073154098819941,0.0009037001158172512,0.0013731959013966843,0.0012183927370936543,0.9999924949157275,8.128957922767059e-07,0.5431724470786703,0.0025659449770128145
6,Gaussian random projection,10,32484.7,154.07144807235113,19.49082,0.09244286884341066,38.5,1.5811388300841913,19.533170485248004,0.0,0.027694498899779957,0.0,0.0,0.0,0.70816,0.027083377435861516,0.03794538004424312,0.008229167990063086,0.04941580452732005,0.008982662854253151,0.8943074083988904,0.013745589308867621,0.06413034180004615,0.0037166040362525453,0.13645092910155654,0.010429086248982204,0.0003576126982807182,0.00027570725170181177,0.636582837702008,0.023980163060584692,0.7733958749959129,0.02427550406605128,0.013889149797614663,0.0011603388012231697,1.7318291297007817,0.029170073109298755,8.456556199999998,0.23034055115116397,1.9557320792999235,0.026005218400296525,38.03165416717529,0.05525478091875679,1.946875,4.2913834858029425,0.0034474501022486947,0.00012109419198779302,0.054355741798644885,0.0022160448660861047,0.05339307490212377,0.006881009791080398,0.01815022090013372,0.007821704188662947,0.0051818541003740394,0.0019299359817813232,0.0008653626995510421,0.0009851815752918202,0.9999903445784201,1.2414265088342155e-06,0.5399565223397709,0.0007567882316361844
8,Gaussian random projection,10,29963.4,109.80609171524878,17.97804,0.06588365502914967,35.5,1.5092308563562347,17.98081152,0.0,0.015559414403889183,0.0,0.0,0.0,0.8419000000000001,0.006051813318704117,0.0029487691279257338,0.0009797739564296906,0.0072213887129258065,0.0014754359315401519,0.8373208708973834,0.010267680089935212,0.05868963329849066,0.002141814295595133,0.12650768750172575,0.012714298488292392,0.0003402667018235661,0.00019662201658845896,0.7053993625973817,0.05206411429974033,0.8322519292021753,0.04926286697274237,0.01298190009983955,0.0005986909140511854,1.7282578209968051,0.05155669640541411,8.872065899999985,0.33233313438324513,1.9348107000987511,0.05048958579680034,37.51728296279907,0.04004764492475781,1.4328125,4.099279622626293,0.0034960039993165992,0.0001467105436311764,0.05095617929764558,0.002287849156313661,0.051745862499228676,0.007460429876773643,0.013315129299007822,0.006448880562550052,0.005184316699160263,0.0019165074071183352,0.0008081998996203766,0.0006316531578752317,0.9999879972950432,2.0212961070969425e-06,0.54720199093208,0.0005262157983048654
10,Gaussian random projection,10,28804.6,171.26665369144877,17.282760000000003,0.102759992214869,35.0,1.4142135623730945,17.262731520000003,0.0,0.009946046832415702,0.0,0.0,0.0,0.8757199999999999,0.0018041926480038093,0.0010754745506454065,0.000460062856755709,0.005624252057144416,0.000913069972475835,0.8135953126024106,0.019042574801333506,0.056168245698790996,0.0018774384740225952,0.1315919707994908,0.009039920032770862,0.0006113542011007666,0.0009137825714347759,0.8114974582975265,0.04739340190119194,0.9437056248978479,0.043672808184523536,0.013695749900944066,0.0006983715636307347,1.8134643415993197,0.05023371443607043,9.493826599999995,0.32618805140328627,2.014989524900739,0.05352738601413549,37.49226522445679,0.06085554784405049,1.3390625,4.190608622782648,0.0034789456010912547,7.366905930013573e-05,0.05025062499480555,0.002135162095645717,0.055711295803484974,0.004831051357545985,0.013040625002759043,0.005502851351583888,0.007426649899571203,0.0026021663291282207,0.000729550002142787,0.0009402090592972141,0.9999852531688551,1.9758810009430743e-06,0.550923687991166,0.0007659546171769174
12,Gaussian random projection,10,28086.9,189.1280871085342,16.85214,0.11347685226512094,33.8,1.9321835661585924,16.87290381312,0.0,0.0068986897019259795,0.0,0.0,0.0,0.8928200000000001,0.002778408817210978,0.000558484027972164,0.0003949701152480936,0.0060941685334265,0.0008397937066285611,0.8166954749976867,0.08726601038373497,0.055963870900450276,0.003555301480871138,0.1325398790970212,0.010273378910591047,0.0004007540992461145,0.00026226820454965425,0.8413686167012202,0.06542689393477959,0.9743150085007073,0.06674682744748657,0.014196495499345475,0.0008987817941442877,1.8469685957956243,0.10816379199859573,9.822720300000015,0.44399230719535565,2.0440649583018966,0.1088504564451738,37.62614860534668,0.0675233587946129,2.0609375,6.3258824472937505,0.003489129201625474,6.527729314259623e-05,0.048074512599851,0.0007066834234793926,0.0544266874960158,0.006489903676754442,0.016994012299983298,0.00671509494120821,0.007901495599071495,0.002726138883044285,0.0008522457006620243,0.0006625863644126106,0.9999852807994293,1.8220300198122218e-06,0.5529490588283839,0.0007728735186017535
