rep,method_i,method_j,ari
19,Random Projection,Random Sampling (p=0.7),0.6754603379718027
19,Random Projection,Random Sampling (p=0.8),0.7621889929518526
19,Random Projection,Non-random,0.7352695475080395
19,Random Sampling (p=0.7),Random Sampling (p=0.8),0.6838576858007351
19,Random Sampling (p=0.7),Non-random,0.8071822954638926
19,Random Sampling (p=0.8),Non-random,0.7230380857499357
20,Random Projection,Random Sampling (p=0.7),0.7898486889091048
20,Random Projection,Random Sampling (p=0.8),0.779947296108536
20,Random Projection,Non-random,0.767926348436888
20,Random Sampling (p=0.7),Random Sampling (p=0.8),0.7863497326649789
20,Random Sampling (p=0.7),Non-random,0.67024332544347
20,Random Sampling (p=0.8),Non-random,0.7167891475929248
