n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
200,1,Random Projection,1.4702987999189645,0.0012529001105576754,0.0016516998875886202,3.329990431666374e-05,0.0002603998873382807,0.00019839988090097904,0.00010239984840154648,5.430006422102451e-05,0.0001509999856352806,7.2999391704797745e-06,1.469485100125894,1.4702987999189645,1.4702921996358782,6.600283086299896e-06,1.4732033999171108,,,,,,,,,
200,1,Random Sampling,0.028249399969354272,0.0012529001105576754,0.0016602999530732632,,,,,,,,,0.028249399969354272,0.028243500273674726,5.8996956795454025e-06,0.03116260003298521,0.00027030007913708687,0.00032640015706419945,0.0037104999646544456,4.900014027953148e-05,0.0002001000102609396,0.023687199922278523,,,
200,1,Non-random,0.02740240003913641,0.0012529001105576754,0.002382199978455901,,,,,,,,,0.02740240003913641,0.027398499893024564,3.90014611184597e-06,0.031037500128149986,,,,,,,0.005500799976289272,0.021873099962249398,2.459995448589325e-05
200,2,Random Projection,0.024324400117620826,0.0006974998395889997,0.0016451000701636076,2.510007470846176e-05,0.00017030001617968082,7.619988173246384e-05,4.4899992644786835e-05,3.520003519952297e-05,5.2999937906861305e-05,5.00003807246685e-06,0.02391050010919571,0.024324400117620826,0.024320200085639954,4.200031980872154e-06,0.026667000027373433,,,,,,,,,
200,2,Random Sampling,0.0252942000515759,0.0006974998395889997,0.0016510998830199242,,,,,,,,,0.0252942000515759,0.025289200013503432,5.00003807246685e-06,0.027642799774184823,0.00027270009741187096,0.00028769997879862785,0.0021820999681949615,3.720005042850971e-05,4.710000939667225e-05,0.02246239990927279,,,
200,2,Non-random,0.026677200105041265,0.0006974998395889997,0.0018433001823723316,,,,,,,,,0.026677200105041265,0.026674700202420354,2.499902620911598e-06,0.029218000127002597,,,,,,,0.0046616001054644585,0.02199129993095994,2.1800165995955467e-05
200,3,Random Projection,0.024852599948644638,0.0006684998515993357,0.0014618998393416405,2.8799986466765404e-05,0.00018039997667074203,7.409998215734959e-05,4.739989526569843e-05,4.160008393228054e-05,5.340017378330231e-05,5.09992241859436e-06,0.0244185000192374,0.024852599948644638,0.024849300039932132,3.2999087125062943e-06,0.026982999639585614,,,,,,,,,
200,3,Random Sampling,0.02957440004684031,0.0006684998515993357,0.0016998001374304295,,,,,,,,,0.02957440004684031,0.02957020024769008,4.1997991502285e-06,0.031942700035870075,0.00027219997718930244,0.00031070015393197536,0.004024500027298927,5.430006422102451e-05,8.340016938745975e-05,0.024825099855661392,,,
200,3,Non-random,0.028304799925535917,0.0006684998515993357,0.003212299896404147,,,,,,,,,0.028304799925535917,0.028302700025960803,2.09989957511425e-06,0.0321855996735394,,,,,,,0.0048161998856812716,0.023462400073185563,2.410006709396839e-05
200,4,Random Projection,0.02427299995906651,0.0006172999273985624,0.0018100999295711517,2.329982817173004e-05,0.00021399999968707561,7.060007192194462e-05,5.589984357357025e-05,4.75000124424696e-05,5.2900053560733795e-05,4.90015372633934e-06,0.023801200091838837,0.02427299995906651,0.0242703000549227,2.6999041438102722e-06,0.026700399816036224,,,,,,,,,
