n,method,time_sec_mean,time_sec_std,instance_gen_sec_mean,instance_gen_sec_std,metric_eval_sec_mean,metric_eval_sec_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_reconstruct_sec_mean,rp_reconstruct_sec_std,rp_small_eig_sec_mean,rp_small_eig_sec_std,rp_lift_sec_mean,rp_lift_sec_std,rp_kmeans_sec_mean,rp_kmeans_sec_std,algo_total_sec_mean,algo_total_sec_std,algo_step_sum_sec_mean,algo_step_sum_sec_std,algo_other_sec_mean,algo_other_sec_std,pipeline_total_sec_mean,pipeline_total_sec_std,rs_sample_mask_sec_mean,rs_sample_mask_sec_std,rs_build_sampled_matrix_sec_mean,rs_build_sampled_matrix_sec_std,rs_eig_sec_mean,rs_eig_sec_std,rs_reconstruct_sec_mean,rs_reconstruct_sec_std,rs_symmetrize_sec_mean,rs_symmetrize_sec_std,rs_kmeans_sec_mean,rs_kmeans_sec_std,nr_eig_sec_mean,nr_eig_sec_std,nr_kmeans_sec_mean,nr_kmeans_sec_std,nr_copy_sec_mean,nr_copy_sec_std
200,Non-random,0.1738340999945649,0.08951695445333398,0.00182308135117637,0.0024656823768146457,0.02030668959923787,0.021846565595681072,,,,,,,,,,,,,,,,,0.1738340999945649,0.08951695445333398,0.173832227094681,0.08951669537663554,1.8728998838923871e-06,4.5646764086020084e-07,0.19596387094497913,0.09107822457929692,,,,,,,,,,,,,0.10351135839882772,0.03672888806164228,0.07030556035024346,0.0680002186719478,1.5308345609810203e-05,9.219709450357205e-06
200,Random Projection,0.07233171049738303,0.06657869700261838,0.00182308135117637,0.0024656823768146457,0.01294820004986832,0.008011026663389315,2.0951995975337922e-05,6.50512870749314e-06,0.0003680729030747898,0.00014035841236674442,0.00031239785021170975,0.0008637367522807517,7.909584965091199e-05,2.8508174906709944e-05,7.149580051191151e-05,3.195934866820856e-05,8.519375114701688e-05,9.888997473188384e-05,5.595746915787458e-06,2.758972927074295e-06,0.07138549594965297,0.06663579322059514,0.07233171049738303,0.06657869700261838,0.07232829984714044,0.06657795371804945,3.410650242585689e-06,1.1169777112805113e-06,0.08710299189842771,0.06745030868572811,,,,,,,,,,,,,,,,,,
200,Random Sampling,0.05730664790025912,0.048847882770435294,0.00182308135117637,0.0024656823768146457,0.01278336254908936,0.006692673872780724,,,,,,,,,,,,,,,,,0.05730664790025912,0.048847882770435294,0.05730181874823757,0.04884694867669322,4.8291520215570925e-06,2.2638978091611e-06,0.07191309180052485,0.04809270772148336,0.0004939749502227642,0.0001861287565627166,0.0007098062007571571,0.0010060617798574555,0.0037896062523941508,0.003547230428561314,5.496464727912098e-05,3.821020983701705e-05,0.0001393624974298291,0.00023058523330977276,0.05211410420015454,0.046066154433920065,,,,,,
400,Non-random,0.18881080630089855,0.12183321760972492,0.004109931248240173,0.002657634465368579,0.0712723979508155,0.09187327444469581,,,,,,,,,,,,,,,,,0.18881080630089855,0.12183321760972492,0.1888092207547743,0.12183326801359218,1.5855461242608725e-06,4.511702559981218e-07,0.2641931354999542,0.165003282095589,,,,,,,,,,,,,0.10484284575213679,0.08746588254688353,0.08390792300051544,0.062451100340311864,5.8452002122066915e-05,8.137813056213771e-05
400,Random Projection,0.09697502710332628,0.03693875154021464,0.004109931248240173,0.002657634465368579,0.1254320354986703,0.14046646128445817,3.576870076358318e-05,1.0509397725734077e-05,0.009797945845639333,0.012624303401935781,0.00023055625497363507,0.0001943743635152044,0.0022160144959343596,0.003456970963868416,0.0007586665509734303,0.0009742832023958579,8.490825275657699e-05,3.1592101262431544e-05,8.772953879088164e-06,7.447802966868107e-06,0.08383009159879293,0.03880690941067,0.09697502710332628,0.03693875154021464,0.09696272465371295,0.03693088967850513,1.2302449613343925e-05,3.4111775203621577e-05,0.22651699385023677,0.16263578074969504,,,,,,,,,,,,,,,,,,
400,Random Sampling,0.13075242074992274,0.0645913371122391,0.004109931248240173,0.002657634465368579,0.11528298325138167,0.144813348576915,,,,,,,,,,,,,,,,,0.13075242074992274,0.0645913371122391,0.13072357915079919,0.06459478277607202,2.8841599123552443e-05,0.00010677476834727668,0.2501453352495446,0.18639351574639326,0.001128922903444618,0.00045594732832803116,0.0020669145975261926,0.001413979706597673,0.007315404151449911,0.004213112484607192,0.0006102561979787424,0.0018429286462821619,0.000594479203573428,0.0014437032958466358,0.1190076020968263,0.06285802633000939,,,,,,
600,Non-random,0.19484533135109813,0.05825651640085253,0.008981495852640364,0.004172752421671283,0.07395393534825416,0.06147798188081829,,,,,,,,,,,,,,,,,0.19484533135109813,0.05825651640085253,0.19484347699471982,0.058256440853854154,1.8543563783168792e-06,6.206672141192963e-07,0.2777807625519927,0.08203846353225583,,,,,,,,,,,,,0.10145259990240448,0.04765851751997565,0.0930091125483159,0.0522391129784724,0.00038176454399945213,0.0006965781449361103
600,Random Projection,0.10667244380019839,0.07157645948742014,0.008981495852640364,0.004172752421671283,0.05559139160031919,0.027334832607598503,8.701664773980156e-05,0.0001873974848178415,0.005160608350706752,0.004325986911779546,0.00032044375111581755,0.0004606723268712305,0.0009204436995787546,0.0012382095357892325,0.0015739187540020794,0.0014183035558151327,9.44937506574206e-05,3.535173550904138e-05,1.1752045247703791e-05,5.864967994011347e-06,0.09849878339737188,0.07243917960544169,0.10667244380019839,0.07157645948742014,0.10666746039642021,0.07157635863664798,4.9834037781693045e-06,3.0155761260253674e-06,0.17124533125315794,0.08470984625967365,,,,,,,,,,,,,,,,,,
600,Random Sampling,0.10261384165060008,0.03411813712846093,0.008981495852640364,0.004172752421671283,0.049510466400533915,0.018905950510524194,,,,,,,,,,,,,,,,,0.10261384165060008,0.03411813712846093,0.10260796689835842,0.034117846071602766,5.874752241652459e-06,2.9100557585340735e-06,0.16110580390377435,0.026958284181735608,0.003354693746950943,0.0021063076197457946,0.004347964648331981,0.0032514078027046007,0.00940673555014655,0.004016542127612245,0.000479785400966648,0.0006936824342818583,0.0010932623990811408,0.0010893484759055714,0.08392552515288117,0.03422500031912693,,,,,,
800,Non-random,0.23764522924902848,0.07119830493483408,0.014197845803573727,0.003326724508615034,0.09428522095404332,0.04756534981373805,,,,,,,,,,,,,,,,,0.23764522924902848,0.07119830493483408,0.2376433998986613,0.07119827062619288,1.8293503671884537e-06,6.106949478332008e-07,0.3461282960066455,0.09444741639163058,,,,,,,,,,,,,0.14564065410086185,0.048048542694897035,0.09152367079805117,0.04960103164153418,0.0004790749997482635,0.00023742453905795544
