n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
200,1,Random Projection,8.096355322670634,1.6639529624604252,0.02757124554201021,1.501121899811551,0.002383999992161989,0.001873200060799718,2.850010059773922e-05,0.0002272001001983881,0.001858999952673912,0.00019609997980296612,3.7400051951408386e-05,0.0021786000579595566,1.5300000086426735e-05,1.4965739001054317,1.501121899811551,1.501116000348702,5.899462848901749e-06,1.5053790998645127,,,,,,,,,
200,1,Random Sampling,10.897173276576364,1.2173224785165082,0.03214315668537854,0.02955810003913939,0.002383999992161989,0.0020990001503378153,,,,,,,,,0.02955810003913939,0.029553200118243694,4.899920895695686e-06,0.034041100181639194,0.0004070000723004341,0.0002788000274449587,0.004327700007706881,3.1800009310245514e-05,0.00012900005094707012,0.024378899950534105,,,
200,1,Non-random,9.527208210368805,0.8089099954771597,0.009027777777777801,0.03199369995854795,0.002383999992161989,0.002421200042590499,,,,,,,,,0.03199369995854795,0.031989699928089976,4.00003045797348e-06,0.03679889999330044,,,,,,,0.0064926000777632,0.025469399988651276,2.769986167550087e-05
200,2,Random Projection,7.9405945218760685,1.307327001356852,0.036126240078,0.027913799975067377,0.0006257998757064342,0.001939399866387248,2.459995448589325e-05,0.00017150002531707287,8.650007657706738e-05,5.079992115497589e-05,3.160000778734684e-05,5.619996227324009e-05,5.00003807246685e-06,0.02748359995894134,0.027913799975067377,0.027909799944609404,4.00003045797348e-06,0.03047899971716106,,,,,,,,,
200,2,Random Sampling,11.5929250929698,1.3964269561284486,0.016413943762571714,0.031545900041237473,0.0006257998757064342,0.002219600137323141,,,,,,,,,0.031545900041237473,0.031541300006210804,4.600035026669502e-06,0.03439130005426705,0.000826000003144145,0.0003598998300731182,0.0028586999978870153,3.0199997127056122e-05,5.310005508363247e-05,0.027413400122895837,,,
200,2,Non-random,9.219610782797918,0.44889190411578467,0.01648199445983381,0.0307907999958843,0.0006257998757064342,0.002300800057128072,,,,,,,,,0.0307907999958843,0.030787800205871463,2.9997900128364563e-06,0.033717399928718805,,,,,,,0.004928300157189369,0.025834999978542328,2.450007013976574e-05
200,3,Random Projection,7.63914632411535,0.9611035730438715,0.047997056032145186,0.0249551001470536,0.0005799999926239252,0.0016449999529868364,2.469983883202076e-05,0.00017499993555247784,7.30000901967287e-05,4.930002614855766e-05,4.2400090023875237e-05,5.7099852710962296e-05,4.800036549568176e-06,0.02452629990875721,0.0249551001470536,0.0249525997787714,2.500368282198906e-06,0.02718010009266436,,,,,,,,,
200,3,Random Sampling,11.255017749902802,1.6037991858887382,0.04498793467543996,0.03026159992441535,0.0005799999926239252,0.0018728000577539206,,,,,,,,,0.03026159992441535,0.030257999897003174,3.600027412176132e-06,0.032714399974793196,0.00016369996592402458,0.0002661999315023422,0.002759900176897645,2.8299866244196892e-05,6.360001862049103e-05,0.026976299937814474,,,
200,3,Non-random,9.523601194025042,0.7489823609226594,0.027359729780446623,0.02848929981701076,0.0005799999926239252,0.0024984998162835836,,,,,,,,,0.02848929981701076,0.02848710003308952,2.1997839212417603e-06,0.03156779962591827,,,,,,,0.0039993999525904655,0.024460599990561604,2.71000899374485e-05
200,4,Random Projection,8.103146694616518,1.0936227951153326,0.04780128253563232,0.022539799800142646,0.0007067001424729824,0.0026269000954926014,2.7700094506144524e-05,0.0002482000272721052,8.619995787739754e-05,5.8999983593821526e-05,5.0900038331747055e-05,6.740004755556583e-05,6.400048732757568e-06,0.021990699926391244,0.022539799800142646,0.022536500124260783,3.2996758818626404e-06,0.02587340003810823,,,,,,,,,
200,4,Random Sampling,10.97275366304273,1.1682496607869743,0.04353309830200325,0.027405399829149246,0.0007067001424729824,0.0014188999775797129,,,,,,,,,0.027405399829149246,0.02740220003761351,3.1997915357351303e-06,0.02953099994920194,0.00029610004276037216,0.00032950006425380707,0.0029407998081296682,2.9900111258029938e-05,6.520003080368042e-05,0.023740699980407953,,,
200,4,Non-random,9.151801145566695,0.6313885119855269,0.02711058263971461,0.02668370003812015,0.0007067001424729824,0.002144699916243553,,,,,,,,,0.02668370003812015,0.026681300019845366,2.400018274784088e-06,0.029535100096836686,,,,,,,0.004423300037160516,0.02223020000383258,2.7799978852272034e-05
200,5,Random Projection,7.666442491344871,1.1985526910900044,0.027124734689409263,0.025491699809208512,0.0006599000189453363,0.00170519994571805,3.120000474154949e-05,0.00024390011094510555,8.490006439387798e-05,5.829986184835434e-05,4.169996827840805e-05,6.59001525491476e-05,6.400048732757568e-06,0.024956499924883246,0.025491699809208512,0.025488800136372447,2.8996728360652924e-06,0.0278567997738719,,,,,,,,,
200,5,Random Sampling,10.79345199891961,1.228629579375848,0.04158141036501642,0.028052299981936812,0.0006599000189453363,0.0016113999299705029,,,,,,,,,0.028052299981936812,0.02804829995147884,4.00003045797348e-06,0.03032359993085265,0.0003154000733047724,0.00036780000664293766,0.0030245999805629253,4.4599873945117e-05,7.750000804662704e-05,0.02421840000897646,,,
200,5,Non-random,9.396633556142023,0.7641338760741747,0.028799999999999992,0.0270734999794513,0.0006599000189453363,0.002467100042849779,,,,,,,,,0.0270734999794513,0.027071499964222312,2.00001522898674e-06,0.030200500041246414,,,,,,,0.004589099902659655,0.022458800114691257,2.359994687139988e-05
200,6,Random Projection,8.149741764322394,0.8717774762550883,0.018763375200631704,0.02336500003002584,0.0007023999933153391,0.0023973998613655567,2.759997732937336e-05,0.00023490004241466522,8.410005830228329e-05,5.850009620189667e-05,4.769978113472462e-05,6.749993190169334e-05,6.4999330788850784e-06,0.02283450006507337,0.02336500003002584,0.023361299885436893,3.700144588947296e-06,0.026464799884706736,,,,,,,,,
200,6,Random Sampling,10.234616044252169,0.7652645861601085,0.04728766071372739,0.02697590016759932,0.0007023999933153391,0.0016238000243902206,,,,,,,,,0.02697590016759932,0.026972100138664246,3.8000289350748062e-06,0.02930210018530488,0.0003915000706911087,0.00033820001408457756,0.002952300012111664,3.7700170651078224e-05,0.00010089995339512825,0.02315149991773069,,,
200,6,Non-random,9.305096484830903,0.49615558570782453,0.010177514792899384,0.028793300036340952,0.0007023999933153391,0.00194089999422431,,,,,,,,,0.028793300036340952,0.02879190002568066,1.400010660290718e-06,0.0314366000238806,,,,,,,0.004513300023972988,0.024249699898064137,2.8900103643536568e-05
200,7,Random Projection,8.172266292557655,0.8848937132519221,0.030651230016785075,0.026860699988901615,0.0007703998126089573,0.0019323001615703106,2.9399991035461426e-05,0.00024669989943504333,0.00014939997345209122,0.00038730003871023655,7.029995322227478e-05,8.919998072087765e-05,7.500173524022102e-06,0.025876399828121066,0.026860699988901615,0.026856199838221073,4.500150680541992e-06,0.029563399963080883,,,,,,,,,
200,7,Random Sampling,10.26031355849208,0.8224785165083672,0.048414468177114506,0.029861400136724114,0.0007703998126089573,0.0017862000968307257,,,,,,,,,0.029861400136724114,0.029857200104743242,4.200031980872154e-06,0.0324180000461638,0.0002919000107795,0.0003254001494497061,0.003106100019067526,0.0004328000359237194,0.00013029994443058968,0.0255706999450922,,,
200,7,Non-random,9.533010736675678,0.5244233378561737,0.011233539371136775,0.028176499996334314,0.0007703998126089573,0.0026459000073373318,,,,,,,,,0.028176499996334314,0.02817490021698177,1.5997793525457382e-06,0.0315927998162806,,,,,,,0.0041704000905156136,0.02397829992696643,2.6200199499726295e-05
