method,Non-random,Random Projection,Random Sampling (p=0.7),Random Sampling (p=0.8),CountSketch,SIGN Bidirectional
Non-random,1,0.734978922896,0.724859959742,0.786933654027,0.779197013456,0.64867795716
Random Projection,0.734978922896,1,0.613551171752,0.744844617501,0.680725780314,0.58853223932
Random Sampling (p=0.7),0.724859959742,0.613551171752,1,0.667342714039,0.676527263769,0.54848448708
Random Sampling (p=0.8),0.786933654027,0.744844617501,0.667342714039,1,0.748005102114,0.635624685022
CountSketch,0.779197013456,0.680725780314,0.676527263769,0.748005102114,1,0.632820892827
SIGN Bidirectional,0.64867795716,0.58853223932,0.54848448708,0.635624685022,0.632820892827,1
