dataset,rep,method_i,method_j,ari
statisticians_coauthor,6,Random Sampling (p=0.7),CountSketch,0.511393938097511
statisticians_coauthor,6,Random Sampling (p=0.7),SIGN Bidirectional,0.492520447057108
statisticians_coauthor,6,Random Sampling (p=0.8),CountSketch,0.966734545359413
statisticians_coauthor,6,Random Sampling (p=0.8),SIGN Bidirectional,0.935527804781503
statisticians_coauthor,6,CountSketch,SIGN Bidirectional,0.968672346037863
statisticians_coauthor,7,Non-random,Random Projection,1
statisticians_coauthor,7,Non-random,Random Sampling (p=0.7),0.571922367955246
statisticians_coauthor,7,Non-random,Random Sampling (p=0.8),0.755928284996391
statisticians_coauthor,7,Non-random,CountSketch,0.292223100540362
statisticians_coauthor,7,Non-random,SIGN Bidirectional,0.358459025093924
statisticians_coauthor,7,Random Projection,Random Sampling (p=0.7),0.571922367955246
statisticians_coauthor,7,Random Projection,Random Sampling (p=0.8),0.755928284996391
statisticians_coauthor,7,Random Projection,CountSketch,0.292223100540362
statisticians_coauthor,7,Random Projection,SIGN Bidirectional,0.358459025093924
statisticians_coauthor,7,Random Sampling (p=0.7),Random Sampling (p=0.8),0.424832580471354
statisticians_coauthor,7,Random Sampling (p=0.7),CountSketch,0.303002198421983
statisticians_coauthor,7,Random Sampling (p=0.7),SIGN Bidirectional,0.18930952340064
statisticians_coauthor,7,Random Sampling (p=0.8),CountSketch,0.262895947623545
statisticians_coauthor,7,Random Sampling (p=0.8),SIGN Bidirectional,0.399133391780866
statisticians_coauthor,7,CountSketch,SIGN Bidirectional,0.230752044573696
statisticians_coauthor,8,Non-random,Random Projection,0.853653536986216
statisticians_coauthor,8,Non-random,Random Sampling (p=0.7),0.893787678384185
statisticians_coauthor,8,Non-random,Random Sampling (p=0.8),0.839991775669394
statisticians_coauthor,8,Non-random,CountSketch,0.261726305875073
statisticians_coauthor,8,Non-random,SIGN Bidirectional,0.825458145370459
statisticians_coauthor,8,Random Projection,Random Sampling (p=0.7),0.918177921918794
statisticians_coauthor,8,Random Projection,Random Sampling (p=0.8),0.755928284996391
statisticians_coauthor,8,Random Projection,CountSketch,0.267284321546827
statisticians_coauthor,8,Random Projection,SIGN Bidirectional,0.686950759397088
statisticians_coauthor,8,Random Sampling (p=0.7),Random Sampling (p=0.8),0.794494906275251
statisticians_coauthor,8,Random Sampling (p=0.7),CountSketch,0.261000571134596
statisticians_coauthor,8,Random Sampling (p=0.7),SIGN Bidirectional,0.72428008325428
statisticians_coauthor,8,Random Sampling (p=0.8),CountSketch,0.242409658983768
statisticians_coauthor,8,Random Sampling (p=0.8),SIGN Bidirectional,0.704193960847183
statisticians_coauthor,8,CountSketch,SIGN Bidirectional,0.226272202713807
statisticians_coauthor,9,Non-random,Random Projection,0.273137397133958
statisticians_coauthor,9,Non-random,Random Sampling (p=0.7),0.249296554212271
statisticians_coauthor,9,Non-random,Random Sampling (p=0.8),0.265313671727933
statisticians_coauthor,9,Non-random,CountSketch,0.267163109365118
statisticians_coauthor,9,Non-random,SIGN Bidirectional,0.350767016675596
statisticians_coauthor,9,Random Projection,Random Sampling (p=0.7),0.937335043778416
statisticians_coauthor,9,Random Projection,Random Sampling (p=0.8),0.585297630452076
statisticians_coauthor,9,Random Projection,CountSketch,0.853653536986216
statisticians_coauthor,9,Random Projection,SIGN Bidirectional,0.567051381561948
statisticians_coauthor,9,Random Sampling (p=0.7),Random Sampling (p=0.8),0.526947483345733
