model,n,method,error_P_mean,error_P_std,error_Theta_mean,error_Theta_std,error_B_mean,error_B_std,time_mean,time_std
1,200,Non-random,8.75893741470302,0.462221447980958,0.0351990049751244,0.0606855612012057,0.0138572124813516,0.00723542498713804,0.00477262916666667,0.00332671946814803
1,200,Random Projection,7.62694094328725,0.527699839275983,0.0599502487562189,0.0931182913832753,0.0174975481656558,0.0109726167322016,0.00641421875,0.0177228143492593
1,200,Random Sampling,8.02081944712736,0.878477946025363,0.0944595205789236,0.105738671469846,0.0178708515851407,0.00836376044464633,0.00670858541666667,0.00555265154084438
1,400,Non-random,12.3561415359686,0.569556288231639,0.00262877342610257,0.0101375949395081,0.00560144688769908,0.0031710581492371,0.00247634166666667,0.000418620691739708
1,400,Random Projection,9.23767929137884,0.526936286849606,0.00412692178206711,0.0151058303586755,0.00663684231373127,0.00462112950745955,0.00211492083333333,0.000293735803719424
1,400,Random Sampling,9.91502352714525,0.84078591141537,0.011255751318595,0.0242820462586943,0.00773700493780194,0.00408609571395497,0.00421514166666667,0.00068582479469115
1,600,Non-random,15.1733665148713,0.396356631435287,0,0,0.00469022154233927,0.00191134962532811,0.0033817,0.000536074034911628
1,600,Random Projection,9.99310799743631,0.923383308666483,0.00025,0.00111803398874989,0.00508214229892647,0.00194010959756295,0.00278561875,0.000369849379923092
1,600,Random Sampling,11.651313790123,0.551350792745273,0.0015,0.00328473342665893,0.00599332627600888,0.00295181219395839,0.00696021041666667,0.00072577446025299
1,800,Non-random,17.5705536581053,0.870103597123515,0,0,0.00339965201743475,0.00145977358150503,0.0037898125,0.00036062610903171
1,800,Random Projection,11.0241033447809,0.764173699955882,0.000187265917602996,0.000837478643258348,0.00344802595252752,0.00154227594688757,0.00323414375,0.00039477791833095
1,800,Random Sampling,13.3485265896725,1.23898702335603,0.00112359550561798,0.00213947779242502,0.00389763804852399,0.00192896638141848,0.0090505875,0.000886044521447751
1,1000,Non-random,19.4168179723087,0.872322036329077,0,0,0.00226937343169242,0.000958806906821904,0.0049610625,0.000275334643710244
1,1000,Random Projection,11.6688477275085,0.787250486470089,0,0,0.00232120409882466,0.000981810653573327,0.00420183125,0.000688647605643015
1,1000,Random Sampling,14.3562627631001,0.980116446231787,0,0,0.00313083383706809,0.00114603222539246,0.0125241645833333,0.00071189029423253
