model,n,rep,method,error_P,error_Theta,error_B,time_sec
1,200,1,Random Projection,7.61947214776257,0,0.0217104787998231,0.050395375
1,200,1,Random Sampling,7.65569917651724,0.0298507462686567,0.0258206253243516,0.0184691666666667
1,200,1,Non-random,8.65408288945843,0,0.0181066804522496,0.00922804166666667
1,200,1,CountSketch,7.49033156998232,0,0.020584702438302,0.00288691666666667
1,200,1,SIGN Bidirectional,7.96529775429285,0.0298507462686567,0.020132428885831,0.00384525
1,200,2,Random Projection,7.86200365142259,0.0151515151515152,0.0154082070418304,0.00152625
1,200,2,Random Sampling,7.73865212738171,0.0748530076888286,0.0130555542422311,0.00461816666666667
1,200,2,Non-random,8.73387794346378,0.0151515151515152,0.0137195713220411,0.00335158333333333
1,200,2,CountSketch,7.75059805849556,0,0.017764369662102,0.001428625
1,200,2,SIGN Bidirectional,8.01625104210256,0.0300768882858435,0.0199187211573832,0.00173029166666667
1,200,3,Random Projection,7.62159997679526,0,0.0168688975133514,0.00137595833333333
1,200,3,Random Sampling,8.67274099445532,0.0746268656716418,0.0224507791064497,0.003589
1,200,3,Non-random,8.76056202727207,0,0.0143761687445558,0.00323891666666667
1,200,3,CountSketch,7.18011854318966,0.0298507462686567,0.0152085293083614,0.00156545833333333
1,200,3,SIGN Bidirectional,7.24737554000962,0.0447761194029851,0.022963216849773,0.00165504166666667
1,200,4,Random Projection,7.90363367673782,0.180009045680687,0.0308120717759388,0.00138883333333333
1,200,4,Random Sampling,9.02697625900737,0.165083672546359,0.0155571876952734,0.003558125
1,200,4,Non-random,9.38876279855268,0.0753052917232022,0.0170783761676221,0.00294479166666667
1,200,4,CountSketch,8.26094697846708,0.0603799185888738,0.0144678560371383,0.00140816666666667
1,200,4,SIGN Bidirectional,8.2792704355836,0.79828132066938,0.0464331050657399,0.002427625
1,200,5,Random Projection,7.77473077472348,0.299864314789688,0.0339707224544641,0.00199975
1,200,5,Random Sampling,10.01552671921,0.34486657620986,0.0121767996664849,0.00470058333333333
1,200,5,Non-random,9.61485668403018,0.164405246494799,0.0162184224400853,0.0039945
1,200,5,CountSketch,7.8908157369953,0.329941203075531,0.0341982156884366,0.00338741666666667
1,200,5,SIGN Bidirectional,8.6127130286369,0.224106739032112,0.0243592427285284,0.002013875
1,200,6,Random Projection,6.33482719673426,0,0.00831364796416106,0.0010565
1,200,6,Random Sampling,6.35164377885748,0,0.0168207787207434,0.003286
1,200,6,Non-random,7.94529626707987,0,0.00686367752260619,0.00230516666666667
1,200,6,CountSketch,6.47455761363768,0,0.00814000548987975,0.00112604166666667
1,200,6,SIGN Bidirectional,6.39359555340915,0,0.00810977001405405,0.00130579166666667
1,200,7,Random Projection,8.46125003965467,0.134780642243329,0.029311731709651,0.00152354166666667
1,200,7,Random Sampling,8.98386083764838,0.254635911352329,0.0273878148883357,0.00458179166666667
1,200,7,Non-random,9.49892162468604,0.0149253731343284,0.0175957543986855,0.00256920833333333
1,200,7,CountSketch,7.43930585788182,0.0900045228403437,0.0321565258723125,0.00145379166666667
1,200,7,SIGN Bidirectional,7.66632802442566,0.180687471732248,0.0342047672692709,0.00197208333333333
1,200,8,Random Projection,7.17552855103226,0,0.0146135528411307,0.000926666666666667
1,200,8,Random Sampling,6.25852629602205,0,0.0191455479437156,0.00358870833333333
1,200,8,Non-random,8.03958443052904,0,0.0139373505671308,0.00280179166666667
1,200,8,CountSketch,6.80813640686515,0,0.0146102521135647,0.001085875
1,200,8,SIGN Bidirectional,7.32307712568962,0,0.0150789212544418,0.0016155
1,200,9,Random Projection,7.68314877419796,0.0149253731343284,0.00862632581095985,0.001387625
1,200,9,Random Sampling,8.11284617090661,0.0151515151515152,0.00820309512105194,0.00278829166666667
1,200,9,Non-random,9.02933990229529,0.0300768882858435,0.00568738072976444,0.002573375
1,200,9,CountSketch,7.22392522154835,0.0300768882858435,0.00731310137627394,0.00192733333333333
1,200,9,SIGN Bidirectional,7.76546922855185,0.0450022614201719,0.0126968410005299,0.00217958333333333
1,200,10,Random Projection,7.26001913623355,0.104477611940299,0.0187328784922227,0.00146233333333333
1,200,10,Random Sampling,7.85796612986115,0.14947987336047,0.0171638607636264,0.00381666666666667
1,200,10,Non-random,8.45679127487428,0.119402985074627,0.0178001805687809,0.00244579166666667
1,200,10,CountSketch,6.75799618514219,0.104703753957485,0.0178261228914778,0.0015335
1,200,10,SIGN Bidirectional,7.47745093030215,0.119855269109,0.0170062848150747,0.00221358333333333
1,200,11,Random Projection,6.85627562136702,0.0452284034373587,0.0106469590240366,0.00130433333333333
1,200,11,Random Sampling,7.87936188600927,0.105156037991859,0.0104671632280015,0.00239441666666667
1,200,11,Non-random,8.04622484544036,0.0149253731343284,0.00813238553060344,0.0016095
