K,rep,seed,n,m,rho_n,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,p_in,p_out,sampling_mode,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,non_random_eigensolver,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_core_eigensolver,rp_lift_sec,rs_sample_matrix_wall_sec,rs_eigensolver,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_core_eigensolver,cs_lift_sec,cs_hash_seed,cs_sparse_explicit_sketch_sec
2,3,20460509,5000,3,16.0,159817,937708,0.03750832,1.9894512000028044,0.3754992000758648,0,0.0,95.8902,133.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Random sampling,random_sampling,0.0,1.0,1.0,0.0336753000738099,,0.0407688999548554,0.0001385000068694,0.0365894999122247,0.0775046999333426,1.0543107804641847,0.8516836037440818,2.4424472999526188,0.78125,0.1272763999877497,41.334588050842285,,,,,,,,,,,0.0260703000240027,eigsh,0.0144281999673694,471354.0,329648.0,0.7,655784.0,,,,,,,,,,,,,,
2,3,20460509,5000,3,16.0,159817,937708,0.03750832,2.2735607499999997,0.4590794579999997,0,0.0,95.8902,133.0,159840.03840000002,31.968007680000003,95.90402304000001,0.2498499699939988,2.304e-05,2.56e-06,sparse,CountSketch random projection,countsketch_random_projection,0.0,1.0,1.0,0.017492457999999544,,0.5087539590000016,0.00019566600000153755,0.04764595800000038,0.5566003339999988,0.9999996264236147,0.7817972318528724,3.289235791000003,2.491358999999999,0.5843609999999995,36.13359832763672,389.01953125,389.51953125,0.5,,,,,,,,,,,,,,,0.00044308300000039935,162.0,17.0,42.0,0.0,0.017447290999999865,0.35410595899999997,0.08397720900000039,0.04878816699999966,0.003748625000000061,eigsh,0.00019195899999857602,2268450243.0,0.017447290999999865
2,4,20460510,5000,3,16.0,160375,940968,0.03763872,2.2414888999192044,0.4087730000028386,0,0.0,96.225,131.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Non-random,non_random,0.0,1.0,1.0,0.0339714000001549,eigsh,0.016127899987623,7.379997987300158e-05,0.0379660999169573,0.054174399934709,0.9999999999999996,0.7809002461757705,2.7044296998064965,0.75,0.1029871000209823,32.34632396697998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,20460510,5000,3,16.0,160375,940968,0.03763872,2.2414888999192044,0.4087730000028386,0,0.0,96.225,131.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,1.0,0.0328680999809876,,0.4320305999135598,0.0002340000355616,0.0362558999331668,0.4685272999340668,0.9999996638583204,0.7808846704038844,3.118782399804332,1.359375,0.518592800013721,35.9105749130249,,,,0.0063792000291869,0.3467980999266729,0.0338233999209478,0.0414392000529915,0.0026944000273942,eigsh,0.0002418999793007,,,,,,,,,,,,,,,,,,,,,
2,4,20460510,5000,3,16.0,160375,940968,0.03763872,2.2414888999192044,0.4087730000028386,0,0.0,96.225,131.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Random sampling,random_sampling,0.0,1.0,1.0,0.0322632000315934,,0.0377429000800475,0.0001403000205755,0.0351925999857485,0.0730833000270649,1.0531127497945534,0.8497482309421257,2.7233377000084147,0.703125,0.1195738000096753,41.52435493469238,,,,,,,,,,,0.0255165999988093,eigsh,0.0119725000113248,472984.0,331443.0,0.7,659414.0,,,,,,,,,,,,,,
2,4,20460510,5000,3,16.0,160375,940968,0.03763872,2.2086108330000016,0.41738454200000064,0,0.0,96.225,131.0,159840.03840000002,31.968007680000003,95.90402304000001,0.2498499699939988,2.304e-05,2.56e-06,sparse,CountSketch random projection,countsketch_random_projection,0.0,1.0,1.0,0.017690125000001444,,0.5249650840000015,0.00019241699999739126,0.05584637500000156,0.5810114159999991,0.999999667020719,0.7808846406189658,3.2069992510000027,2.3695140000000023,0.6079675410000007,36.169864654541016,412.85546875,425.52734375,12.671875,,,,,,,,,,,,,,,0.00043787500000291857,162.0,17.0,45.0,0.0,0.018099416999998397,0.36459708400000324,0.09000524999999726,0.047719042000000655,0.0038060420000007866,eigsh,0.00022866699999823936,124847438.0,0.018099416999998397
2,5,20460511,5000,3,16.0,159739,937802,0.03751208,1.9455100999912247,0.3485886000562459,0,0.0,95.8434,134.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Non-random,non_random,0.0,1.0,1.0,0.0353497000178322,eigsh,0.0166621999815106,8.009991142898798e-05,0.0366956000216305,0.0534447999671101,1.0000000000000002,0.7824045670552956,2.347536599962041,0.71875,0.1040971999755129,32.23762798309326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,20460511,5000,3,16.0,159739,937802,0.03751208,1.9455100999912247,0.3485886000562459,0,0.0,95.8434,134.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,1.0,0.031998399994336,,0.4278795999707654,0.0002309000119566,0.0354845999972894,0.4636032999260351,0.9999996701514532,0.7823884630542949,2.757693800027482,1.203125,0.5096808000234887,35.87419319152832,,,,0.0067970999516546,0.3422757000662386,0.0336877000518143,0.0408063000068068,0.003250400070101,eigsh,0.0003072000108659,,,,,,,,,,,,,,,,,,,,,
2,5,20460511,5000,3,16.0,159739,937802,0.03751208,1.9455100999912247,0.3485886000562459,0,0.0,95.8434,134.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Random sampling,random_sampling,0.0,1.0,1.0,0.0337778000393882,,0.0364811999024823,0.0001378000015392,0.0358245000243186,0.0724501999793574,1.0537707531417226,0.852524247965076,2.366542199975811,0.796875,0.1216333999764174,41.31480121612549,,,,,,,,,,,0.0247827999992296,eigsh,0.011464099981822,471401.0,329337.0,0.7,655163.0,,,,,,,,,,,,,,
2,5,20460511,5000,3,16.0,159739,937802,0.03751208,2.1549032080000003,0.40972149999999985,0,0.0,95.8434,134.0,159840.03840000002,31.968007680000003,95.90402304000001,0.2498499699939988,2.304e-05,2.56e-06,sparse,CountSketch random projection,countsketch_random_projection,0.0,1.0,1.0,0.01803225000000097,,0.5457644170000009,0.0002199169999990147,0.04937316699999883,0.5953630839999988,0.9999997206410957,0.7823896157947798,3.159982208999999,2.4980130000000003,0.6234043329999999,36.116878509521484,431.81640625,432.30859375,0.4921875,,,,,,,,,,,,,,,0.0004510830000015176,162.0,16.0,46.0,0.0,0.017025540999998867,0.3617676249999988,0.1046487080000027,0.057265084000000854,0.004023832999997978,eigsh,0.0005057499999985282,3574007263.0,0.017025540999998867
