K,method,reps,num_hyperedges_total_mean,num_hyperedges_total_std,theta_nnz_mean,theta_nnz_std,theta_density_mean,theta_density_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,cpu_time_sec_mean,cpu_time_sec_std,wall_clock_sec_mean,wall_clock_sec_std,peak_traced_memory_mb_mean,peak_traced_memory_mb_std,rss_delta_mb_mean,rss_delta_mb_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rs_sample_matrix_wall_sec_mean,rs_sample_matrix_wall_sec_std,rs_eig_wall_sec_mean,rs_eig_wall_sec_std,cs_sparse_explicit_sketch_sec_mean,cs_sparse_explicit_sketch_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_embedding_dim_mean,cs_embedding_dim_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std
2,Non-random,10,159726.9,634.2226125125289,937398.8,3623.254546828188,0.037495952,0.0001449301818731275,95.83614,0.3805335675075204,132.7,1.4181364924121747,95.90402304,0.0,0.2498499699939988,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.9839200799819081,0.09531353655341823,0.35764913001330567,0.020928138738191184,0.01695142000680783,0.0019957686268987484,8.200000738725066e-05,7.583318860759728e-06,0.11181553995702412,0.23804260294391458,0.1288554399972781,0.2378362001972601,0.03398517001187424,0.0017950768661593982,2.4704181699664334,0.24472551202107287,0.759375,0.09749465797331326,0.1780714599997736,0.2390723229498473,32.22380428314209,0.12438721178927431,,,,,,,,,,,,,,,,,,,1.0,1.7358025238735567e-16,0.7821059742154095,0.0008798636013889325
2,Gaussian random projection,10,159726.9,634.2226125125289,937398.8,3623.254546828188,0.037495952,0.0001449301818731275,95.83614,0.3805335675075204,132.7,1.4181364924121747,95.90402304000001,0.0,0.2498499699939988,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.909896608402778,0.04440818455432066,0.18489657909958623,0.0067540540783961435,0.3440206876010052,0.02322019098765578,0.0003252708964282647,0.0002375504711620789,0.12032596239732811,0.02917326469910332,0.46467818740056827,0.030275442877793914,0.02147554579860298,0.0023662057298728945,1.5594651083971258,0.05424368074408883,2.5159751,0.21077156147484705,0.49327759170264474,0.03132590358006631,35.86982202529907,0.04143481817165947,12.40625,15.812186055842606,0.22568004979693795,0.010952084643591016,,,,,,,,,,,,,,,0.999999678734727,3.000455288132195e-08,0.7820879519312507,0.0008797423258698688
2,Random sampling,10,159726.9,634.2226125125289,937398.8,3623.254546828188,0.037495952,0.0001449301818731275,95.83614,0.3805335675075204,132.7,1.4181364924121747,95.90402304,0.0,0.2498499699939988,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.9839200799819081,0.09531353655341823,0.35764913001330567,0.020928138738191184,0.03879132998408745,0.0029377581130641843,0.00015013997908677,1.4725124813551193e-05,0.03644756001885976,0.001967890857483492,0.07539654996944586,0.004796040695487188,0.03386757998960088,0.002186405039944062,2.416958239977248,0.1131099750229212,0.8109375,0.09894462624367227,0.1256602999870665,0.00747273711583735,41.33818960189819,0.1695753394502785,,,,,0.026278219989035227,0.0024910024223781975,0.01222330998862157,0.000874933303291121,,,,,,,,,,,1.0548511107918679,0.0022422149601470155,0.8529764446478237,0.002236666986691155
2,CountSketch random projection,10,159726.9,634.2226125125289,937398.8,3623.254546828188,0.037495952,0.0001449301818731275,95.83614,0.3805335675075204,132.7,1.4181364924121747,95.90402304,0.0,0.2498499699939988,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.2045442457,0.03793013169443221,0.41955380430000017,0.01728531956811029,0.5151569377999998,0.015801865888989297,0.00020042069999866999,2.2537416878831678e-05,0.06021110830000044,0.04128404528596661,0.5755740209000006,0.04944146320455362,0.0178356875000015,0.00030626530659716574,3.1996665167999994,0.07900269848532569,2.4908400000000004,0.24493283167658636,0.6036994748999993,0.050987008748578255,36.118700695037845,0.05608674672527987,7.080078125,15.20382132987856,,,,,,,0.01790966650000007,0.0021087213454966075,0.35300840420000035,0.0077051347071394,0.091099708400001,0.00753868113094041,0.04827110839999995,0.0033128558378250936,162.0,0.0,0.9999996741029525,3.362316094280795e-08,0.782087299868765,0.000880217595241843
4,Non-random,10,79758.7,330.411881007799,477511.4,1941.4990886196686,0.019100456,7.765996354478626e-05,47.855219999999996,0.19824712860467386,75.7,3.5292429153510465,47.94242304,0.0,0.0623875075135075,0.0,0.0,0.0,0.00102,0.00034576806613039845,0.9972813776780196,0.0009208193347736189,0.9942254325609465,0.001843281026744434,1.1147479499923065,0.042170819624530335,0.16532356998650352,0.010133559819687221,0.01579464001115409,0.0007976857042057039,0.00011835000477727236,2.1109456871038662e-05,0.05440472998889158,0.0014795198306649074,0.070324249996338,0.001765599781538274,0.03356195000233124,0.0008976474045430377,1.3503892399836332,0.04516196580940842,0.915625,0.07482618748361655,0.11165831999387588,0.002068365982085665,16.434804344177245,0.06665608138113885,,,,,,,,,,,,,,,,,,,1.0000000000000004,4.440892098500626e-16,0.5762850431366692,0.0015281681681731754
4,Gaussian random projection,10,79758.7,330.411881007799,477511.4,1941.4990886196686,0.019100456,7.765996354478626e-05,47.855219999999996,0.19824712860467386,75.7,3.5292429153510465,47.94242304,0.0,0.0623875075135075,0.0,0.0,0.0,0.0032,0.0007831560082980488,0.9914841865940291,0.0020788382342474872,0.9830671805775305,0.003746182384386283,0.4931120084991562,0.018869157090998866,0.08621425850142259,0.004407657004213551,0.2121258999002748,0.008974112819697608,0.00034350430069025607,0.0002427484340132678,0.17886480840388685,0.029566980197358303,0.3913405042025261,0.03277346292347579,0.020534983300603927,0.0029672884417646624,0.9706604796054308,0.04153098690237875,2.777223900000002,0.29564820341993475,0.41602185830124655,0.03246809265832603,30.921810340881347,0.022159221112434662,0.5890625,1.4695633460151993,0.1176750084006926,0.0031729520692177424,,,,,,,,,,,,,,,0.9999988900437453,1.3189035818847317e-07,0.57090430849871,0.0016739558798272304
4,Random sampling,10,79758.7,330.411881007799,477511.4,1941.4990886196686,0.019100456,7.765996354478626e-05,47.855219999999996,0.19824712860467386,75.7,3.5292429153510465,47.94242304,0.0,0.0623875075135075,0.0,0.0,0.0,0.009260000000000001,0.001233063033443321,0.9754506826681404,0.0032520296382111927,0.9555764377223479,0.005205167526900192,1.1147479499923065,0.042170819624530335,0.16532356998650352,0.010133559819687221,0.03140197000466281,0.001963498252996118,0.00010191997280341058,1.4503518213959049e-05,0.0604311400209553,0.003589068909507016,0.0919412399991415,0.004699025990889632,0.03338765999069434,0.0007733517779575018,1.3720065499772318,0.04579474826428735,1.0359375,0.12104193559924227,0.13488169000484046,0.0044877772753001595,21.15298433303833,0.08119010747809108,,,,,0.01389315000269557,0.0010663851425690189,0.01736891998443748,0.0014832576137387768,,,,,,,,,,,1.0567829828270408,0.0022314732172263063,0.6785122179773782,0.0013293053456824354
4,CountSketch random projection,10,79758.7,330.411881007799,477511.4,1941.4990886196686,0.019100456,7.765996354478626e-05,47.855219999999996,0.19824712860467386,75.7,3.5292429153510465,47.94242304,0.0,0.0623875075135075,0.0,0.0,0.0,0.00312,0.0006124631508189787,0.99169663981823,0.001628108671663895,0.9834659335140146,0.003233051005339042,1.1920909333999987,0.010830211244837329,0.1884614210000016,0.006854110359099067,0.31029300390000003,0.0073730864279298435,0.00025005400000064,7.51650779752371e-05,0.07023197899999896,0.0036235114935840884,0.38078027500000006,0.008494060967233775,0.017887170799999512,0.00047711042595190893,1.7613273913,0.01924111718837172,2.294069999999998,0.038668240752444245,0.40355195820000134,0.008907844142770868,28.88226318359375,0.03780868344446464,0.12578125,0.15046585645365973,,,,,,,0.00837121269999764,0.0007670361780092418,0.1825862333000003,0.0051907732387658926,0.08816810839999997,0.002351475046516773,0.026554629200001,0.0005667390577202193,164.0,0.0,0.9999989393895403,1.8424850833754375e-07,0.5706719184720223,0.0016740934190237681
6,Non-random,10,65140.3,190.94853873346258,392310.2,1164.1032600246351,0.015692407999999998,4.656413040098472e-05,39.08418,0.11456912324007032,65.3,3.301514803843838,39.06634097049601,0.0,0.0276944988997799,0.0,0.0,0.0,0.12072000000000001,0.005462762833747933,0.731233301326978,0.01124491074884608,0.688160305991264,0.010874007334846017,0.9115135800093412,0.009614291020016917,0.12573720997897903,0.003050006502440055,0.02712350001092994,0.002698309078051927,0.00013333000242706574,6.913349780039572e-05,0.09248312999261538,0.008126000179731384,0.11974654000950972,0.008618284178223704,0.03270026000682259,0.0010799411280467846,1.1569907499942929,0.01319099275908295,1.2921875,0.15677861968482112,0.15893133999779818,0.009495146351495263,13.509653282165527,0.039966313706290106,,,,,,,,,,,,,,,,,,,0.9999999999999998,6.982548711125695e-16,0.5035247758953839,0.0013155201964184238
6,Gaussian random projection,10,65140.3,190.94853873346258,392310.2,1164.1032600246351,0.015692407999999998,4.656413040098472e-05,39.08418,0.11456912324007032,65.3,3.301514803843838,39.06634097049601,0.0,0.027694498899779957,0.0,0.0,0.0,0.31042000000000003,0.012844177236743847,0.3945085834004022,0.019041114967855006,0.37906766566287853,0.016812870790244034,0.40035325850039954,0.008962356560563857,0.06864316670107655,0.0032509366876825752,0.21297211250057443,0.05503131605121131,0.0005070169034297578,0.00042429665253936727,0.3623461750001297,0.0161899934623067,0.5758308707983815,0.0604678895169608,0.014755529200192541,0.0009899595353258337,1.04482172960561,0.06280270196352969,4.276232699999999,0.34443685064530094,0.5940913291007746,0.060622599039009926,30.262085819244383,0.013316169217236506,0.7140625,2.0997148915669612,0.10228257500129985,0.0029120898563912453,,,,,,,,,,,,,,,0.9999984598068778,1.698856904166354e-07,0.4818019957548724,0.0014196832686163264
