method,rep,r,ell,k,q,embedding_wall_sec,clustering_wall_sec,total_method_wall_sec,ARI_true,NMI_true,F1_macro_true,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eigh_sec,rp_lift_sec,eigen_decomposition_wall_sec,dataset,alpha,tau_label,tau_value,ds_bucket_build_sec,ds_draw_and_initial_multiply_sec,ds_power_iter_sec,ds_qr_sec,ds_build_core_sec,ds_small_eigh_sec,ds_lift_sec,ds_num_buckets,ds_min_bucket_dim,ds_max_bucket_dim,ds_bucket_summary
Gaussian RP,6,5,23,18,1,0.013800599990645424,0.41863549999834504,0.43243609998899046,0.1028192352049339,0.24563318770377213,0.3159538355917515,0.0019408000080147758,0.00426329999754671,0.005315799993695691,0.001465900000766851,0.00011660000018309802,0.00039500001003034413,0.01349740001023747,lastfm-asia,0.0,0,0.0,,,,,,,,,,,
Degree-stratified RP,6,5,23,18,1,0.017049799993401393,0.34207210000022314,0.35912189999362454,0.08504273432437119,0.22854965178699316,0.22239631534735238,,,,,,,0.016730799979995936,lastfm-asia,0.0,0,0.0,0.00047339999582618475,0.003825799998594448,0.006669199996395037,0.004266799995093606,0.001078899993444793,0.00011039999662898481,0.0003063000040128827,8.0,2.0,4.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=3;[8,16):n=1265,ell=4;[16,32):n=576,ell=4;[32,64):n=212,ell=3;[64,128):n=46,ell=2;[128,256):n=6,ell=2"
Gaussian RP,7,5,23,18,1,0.014673999990918674,0.35394329999689944,0.3686172999878181,0.10650615691724451,0.25235346355746585,0.3000047245852952,0.0022256999945966527,0.004536200009169988,0.005602799996268004,0.0013325000036275014,0.00011399999493733048,0.000342100000125356,0.014153299998724833,lastfm-asia,0.0,0,0.0,,,,,,,,,,,
Degree-stratified RP,7,5,23,18,1,0.017745100005413406,0.33326080000551883,0.35100590001093224,0.11700335971379179,0.27179115380170327,0.2933578252725359,,,,,,,0.01746280000952538,lastfm-asia,0.0,0,0.0,0.0003615000023273751,0.003502199993818067,0.007371900006546639,0.004704100007074885,0.0010820000024978071,0.00012450000212993473,0.00031659999513067305,8.0,2.0,4.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=3;[8,16):n=1265,ell=4;[16,32):n=576,ell=4;[32,64):n=212,ell=3;[64,128):n=46,ell=2;[128,256):n=6,ell=2"
Gaussian RP,8,5,23,18,1,0.011136100001749583,0.31628009999985807,0.32741620000160765,0.12833739846081607,0.2844860723368617,0.3052156505794299,0.001677599997492507,0.003551700006937608,0.003884599995217286,0.0014160999999148771,0.00012070000229869038,0.00023750000400468707,0.010888200005865656,lastfm-asia,0.0,0,0.0,,,,,,,,,,,
Degree-stratified RP,8,5,23,18,1,0.016219199998886324,0.34786029999668244,0.36407949999556877,0.1314494920956438,0.2974734212306047,0.32904718001687705,,,,,,,0.0159795999788912,lastfm-asia,0.0,0,0.0,0.0003429000062169507,0.0036631999973906204,0.006294099992373958,0.0037681999965570867,0.0014854999899398535,0.0001188000023830682,0.0003068999940296635,8.0,2.0,4.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=3;[8,16):n=1265,ell=4;[16,32):n=576,ell=4;[32,64):n=212,ell=3;[64,128):n=46,ell=2;[128,256):n=6,ell=2"
Gaussian RP,9,5,23,18,1,0.01069719999213703,0.37409959999786224,0.38479679998999927,0.10818554802803665,0.267363013991356,0.33543119665417465,0.0017447999998694286,0.003419400003622286,0.003875700000207871,0.0010554000036790967,0.00012260000221431255,0.00023419999342877418,0.01045210000302177,lastfm-asia,0.0,0,0.0,,,,,,,,,,,
Degree-stratified RP,9,5,23,18,1,0.01791179999418091,0.3741957000020193,0.3921074999962002,0.08809457899380184,0.24286029158565098,0.28994757615779293,,,,,,,0.01753700002154801,lastfm-asia,0.0,0,0.0,0.0004499000060604885,0.00390849998802878,0.006812899999204092,0.004423800011863932,0.0014861000090604648,0.00012450000212993473,0.000331300005200319,8.0,2.0,4.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=3;[8,16):n=1265,ell=4;[16,32):n=576,ell=4;[32,64):n=212,ell=3;[64,128):n=46,ell=2;[128,256):n=6,ell=2"
Gaussian RP,10,5,23,18,1,0.010551600003964268,0.3675567000027513,0.3781083000067156,0.10781686815578599,0.25675477322395074,0.29200357319172165,0.0016883999924175441,0.0028439000016078353,0.003867899999022484,0.0014205999905243516,0.0001024999946821481,0.00023780000628903508,0.010161099984543398,lastfm-asia,0.0,0,0.0,,,,,,,,,,,
Degree-stratified RP,10,5,23,18,1,0.01665089999733027,0.3505963000061456,0.3672472000034759,0.08847167943920317,0.24093994817035386,0.26550808744234605,,,,,,,0.016296200003125705,lastfm-asia,0.0,0,0.0,0.0004910999996354803,0.0035823000071104616,0.0064578000019537285,0.0040206999983638525,0.0013247999886516482,8.959999831859022e-05,0.0003299000090919435,8.0,2.0,4.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=3;[8,16):n=1265,ell=4;[16,32):n=576,ell=4;[32,64):n=212,ell=3;[64,128):n=46,ell=2;[128,256):n=6,ell=2"
Gaussian RP,1,10,28,18,1,0.01369140000315383,0.30479559999366757,0.3184869999968214,0.14517092822782637,0.29969798195193514,0.32856113689668576,0.002042499996605329,0.004161000004387461,0.005033299996284768,0.0012274000036995858,0.00025630000163801014,0.0004665000014938414,0.013187000004108995,lastfm-asia,0.0,0,0.0,,,,,,,,,,,
Degree-stratified RP,1,10,28,18,1,0.019887300004484132,0.3182492999912938,0.33813659999577794,0.11971649529702669,0.27888183804007144,0.3134020691102468,,,,,,,0.019592399999964982,lastfm-asia,0.0,0,0.0,0.00047080000513233244,0.004130799992708489,0.0081555000069784,0.005009200001950376,0.001243499995325692,0.0002665999927558005,0.00031600000511389226,8.0,2.0,5.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=4;[8,16):n=1265,ell=5;[16,32):n=576,ell=5;[32,64):n=212,ell=4;[64,128):n=46,ell=3;[128,256):n=6,ell=2"
