alpha,tau_label,r,method,F1_macro_true_mean,F1_macro_true_std,ARI_true_mean,ARI_true_std,NMI_true_mean,NMI_true_std,total_method_wall_sec_mean
0.5,0,5,Degree-stratified RP,0.2239587807386235,0.0227646426645796,0.0959283742004487,0.0153856717686139,0.2054384093931598,0.0188088776042873,0.2944674399972428
0.5,0,5,Gaussian RP,0.2228373109219474,0.0119108905427618,0.0722497583919444,0.0097648404980253,0.1552507122311694,0.0084459199379067,0.3459594900006777
0.5,0,10,Degree-stratified RP,0.2549842415195495,0.0235820342768868,0.1117419319364923,0.0190084142304077,0.2323870341941584,0.0198464512309652,0.2965464599998085
0.5,0,10,Gaussian RP,0.2193597850211771,0.0154543982100356,0.0686537397390159,0.0083648908602376,0.1546657244668278,0.010763450328346,0.374369019997539
0.5,0,20,Degree-stratified RP,0.3074905265779605,0.014219408752204,0.14461651738925,0.0125639286605017,0.2834851216736824,0.0187626948996208,0.3742825199980871
0.5,0,20,Gaussian RP,0.2353735265800045,0.0160978050331849,0.0808627687165112,0.0120813148229104,0.1699440291338773,0.0142612449325415,0.4119604400009848
0.5,0,40,Degree-stratified RP,0.3576377232355391,0.0173983056839062,0.2040691722101777,0.0115252387675128,0.3523573537798327,0.0133564450809216,0.3857189299975289
0.5,0,40,Gaussian RP,0.2651445105633659,0.0206256740520571,0.1030010967523846,0.0157191444454289,0.1977925512440576,0.0140645591064642,0.4425741999977617
