alpha,tau_label,tau_value,r,metric,diff_mean_ds_minus_gaussian,diff_std,diff_se,n_pairs
0.0,0,0.0,5,ARI_true,-0.014171216222142116,0.01445824600634145,0.004572098835107225,10
0.0,0,0.0,5,NMI_true,-0.011312800822762254,0.021292465750496405,0.006733268877269512,10
0.0,0,0.0,5,F1_macro_true,-0.03239634052506647,0.04190983621432877,0.013253053880188758,10
0.0,0,0.0,5,total_method_wall_sec,-0.21261393999593564,0.6639101027547243,0.20994680863013576,10
0.0,0,0.0,10,ARI_true,-0.008860514885577856,0.015517457357668865,0.00490705087447717,10
0.0,0,0.0,10,NMI_true,-0.010895959532757155,0.016053397547377196,0.005076530043387276,10
0.0,0,0.0,10,F1_macro_true,-0.02096318193447978,0.02691173681293576,0.008510238411987772,10
0.0,0,0.0,10,total_method_wall_sec,0.04448900000134017,0.03485700692571994,0.011022753430153864,10
0.0,0,0.0,20,ARI_true,-0.012497184005606801,0.01984691554359399,0.006276145764675584,10
0.0,0,0.0,20,NMI_true,-0.015213575323509082,0.020021861342854125,0.006331468483949647,10
0.0,0,0.0,20,F1_macro_true,-0.019885207343013616,0.033116765437427614,0.010472440751981364,10
0.0,0,0.0,20,total_method_wall_sec,-0.016144699997676072,0.12451918992984988,0.039376425257742764,10
0.0,0,0.0,40,ARI_true,-0.018391251625275627,0.012456947482948264,0.003939232673921802,10
0.0,0,0.0,40,NMI_true,-0.01616791169088615,0.0131576387079853,0.004160810694682865,10
0.0,0,0.0,40,F1_macro_true,-0.010510273555294635,0.02357153697461591,0.007453974479066083,10
0.0,0,0.0,40,total_method_wall_sec,0.0198904799981392,0.026316481925843436,0.008322002288831962,10
0.0,mean,7.2943336831059815,5,ARI_true,-0.018698159551392233,0.014391169694954851,0.004550887443004792,10
0.0,mean,7.2943336831059815,5,NMI_true,-0.02460179832655223,0.02005125032617596,0.006340762096491016,10
0.0,mean,7.2943336831059815,5,F1_macro_true,-0.03134860438716646,0.031187030040877348,0.009862204838526657,10
0.0,mean,7.2943336831059815,5,total_method_wall_sec,0.023007240000879392,0.0303730284676067,0.009604794939477088,10
0.0,mean,7.2943336831059815,10,ARI_true,-0.002357738661817224,0.017892295714045527,0.005658040702565261,10
0.0,mean,7.2943336831059815,10,NMI_true,-0.0010291352867038029,0.01895820034912514,0.005995109344103479,10
0.0,mean,7.2943336831059815,10,F1_macro_true,-0.019654199274595018,0.02131668782821455,0.006740928570794607,10
0.0,mean,7.2943336831059815,10,total_method_wall_sec,-0.007828840002184733,0.03873727367312688,0.012249801515235784,10
0.0,mean,7.2943336831059815,20,ARI_true,-0.012907517004057215,0.021496724046509572,0.0067978610219081624,10
0.0,mean,7.2943336831059815,20,NMI_true,-0.0180451425050344,0.027179052323875172,0.008594770998833793,10
0.0,mean,7.2943336831059815,20,F1_macro_true,-0.025456392487082147,0.03085529710996181,0.009757301674869018,10
