alpha,tau_label,tau_value,r,method,runs,ell_mean,ell_std,k_mean,k_std,q_mean,q_std,embedding_wall_sec_mean,embedding_wall_sec_std,clustering_wall_sec_mean,clustering_wall_sec_std,total_method_wall_sec_mean,total_method_wall_sec_std,ARI_true_mean,ARI_true_std,NMI_true_mean,NMI_true_std,F1_macro_true_mean,F1_macro_true_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_small_eigh_sec_mean,rp_small_eigh_sec_std,rp_lift_sec_mean,rp_lift_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,ds_bucket_build_sec_mean,ds_bucket_build_sec_std,ds_draw_and_initial_multiply_sec_mean,ds_draw_and_initial_multiply_sec_std,ds_power_iter_sec_mean,ds_power_iter_sec_std,ds_qr_sec_mean,ds_qr_sec_std,ds_build_core_sec_mean,ds_build_core_sec_std,ds_small_eigh_sec_mean,ds_small_eigh_sec_std,ds_lift_sec_mean,ds_lift_sec_std,ds_num_buckets_mean,ds_num_buckets_std,ds_min_bucket_dim_mean,ds_min_bucket_dim_std,ds_max_bucket_dim_mean,ds_max_bucket_dim_std
0.0,0,0.0,5,Degree-stratified RP,10,23.0,0.0,18.0,0.0,1.0,0.0,0.016886849999718834,0.0009590150671281018,0.36128841000027023,0.02859314739166842,0.3781752599999891,0.028750277193168472,0.10076875112844537,0.01569103512968791,0.2551614539421129,0.020179135265847588,0.2787249870575473,0.027750696642032464,,,,,,,,,,,,,0.016586780003854072,0.00093757014177538,0.00045366000413196164,6.24008589906408e-05,0.003716729997540824,0.0002246716768722278,0.006646180001553148,0.00045096763704103807,0.004046809999272228,0.0003980582520724487,0.0012998100006370804,0.00017444320725262704,0.00011749000113923103,1.1262866310555073e-05,0.000306099999579601,1.8991346891316556e-05,8.0,0.0,2.0,0.0,4.0,0.0
0.0,0,0.0,5,Gaussian RP,10,23.0,0.0,18.0,0.0,1.0,0.0,0.012122429997543805,0.0018496274135527593,0.578666769998381,0.6866912862297085,0.5907891999959247,0.6875163266462766,0.11493996735058747,0.009603774268313438,0.2664742547648752,0.015084587064338708,0.31112132758261374,0.024270994380730986,0.0018110000004526229,0.00021798123190090734,0.0037754100005258804,0.0007187101978612243,0.004448389996832702,0.0007430925054893393,0.0013269300005049444,0.00017098665862947106,0.0001230899986694567,1.9420063762288025e-05,0.0002981600031489506,7.22012950816126e-05,0.011782980000134557,0.0017904891215104787,,,,,,,,,,,,,,,,,,,,
0.0,0,0.0,10,Degree-stratified RP,10,28.0,0.0,18.0,0.0,1.0,0.0,0.021177299998817033,0.003205313915548895,0.36150098999933106,0.03398590235279545,0.3826782899981481,0.036201024689333526,0.11758649616712749,0.009219559654509824,0.2761938220819535,0.010127075882874675,0.30462986179450435,0.020162894103202503,,,,,,,,,,,,,0.020822920007049106,0.0031549373149022176,0.000496340001700446,6.310296923220507e-05,0.004299979998904746,0.0006042289073779265,0.008447430004889612,0.001872261001587208,0.005293270001129713,0.0007442438955854888,0.0016784399980679155,0.0003474985496016891,0.0002741600023000501,2.7109869758573357e-05,0.00033330000005662443,4.565157704526204e-05,8.0,0.0,2.0,0.0,5.0,0.0
0.0,0,0.0,10,Gaussian RP,10,28.0,0.0,18.0,0.0,1.0,0.0,0.013974419997248333,0.001063549057017354,0.3242148699995596,0.02656415970067928,0.3381892899968079,0.026406475639703463,0.12644701105270534,0.01176550106041412,0.28708978161471066,0.010971561255079783,0.3255930437289841,0.013861183792323109,0.0020917399990139527,0.00012045686484444367,0.004026589999557473,0.00040219540404524555,0.00528076000045985,0.00048273943083582273,0.0015480400019441732,0.0001622577386353893,0.0002748500002780929,4.9045471887446946e-05,0.00033373999904142695,6.531404899163378e-05,0.01355572000029497,0.0010009696611740517,,,,,,,,,,,,,,,,,,,,
0.0,0,0.0,20,Degree-stratified RP,10,38.0,0.0,18.0,0.0,1.0,0.0,0.03172576000069967,0.010394012528961964,0.35124738000013167,0.07751679745504486,0.3829731400008313,0.08398954919739766,0.1492910843026818,0.008967926844355184,0.31201240161201016,0.01332892289125513,0.3212563486978114,0.030474552120574806,,,,,,,,,,,,,0.031178469995211344,0.010312565199163922,0.0005669900026987306,0.00019470307193094583,0.004791690001729876,0.0007112511374896831,0.012480979999236298,0.0018253782460625847,0.010185889995773323,0.006796283140727696,0.002098589997331146,0.0004933563394149584,0.00046447999775409696,0.0004511221104153906,0.0005898500006878748,0.0006699438224514624,8.0,0.0,2.0,0.0,7.0,0.0
0.0,0,0.0,20,Gaussian RP,10,38.0,0.0,18.0,0.0,1.0,0.0,0.025296180001168976,0.01620459841989109,0.3738216599973384,0.16062459351720812,0.3991178399985074,0.17624308046904766,0.1617882683082886,0.013665644988880005,0.3272259769355192,0.014850342041286048,0.34114155604082497,0.011161574317623933,0.002900339996267576,0.0004574462577852008,0.006696660001762211,0.003293944612394345,0.01046275999979116,0.00682626736843906,0.0037143199995625766,0.0050794903761103224,0.0004154999987804331,0.0001180785796169181,0.0005599899974185974,0.0006335406264764558,0.024749569993582556,0.016248019265017958,,,,,,,,,,,,,,,,,,,,
0.0,0,0.0,40,Degree-stratified RP,10,58.0,0.0,18.0,0.0,1.0,0.0,0.041700889998173805,0.006008084958534043,0.27530603000341214,0.021637800225739613,0.317006920001586,0.025639222376338672,0.18112796575784845,0.009978548603105592,0.3442265338551701,0.011969984548151066,0.3416328691300773,0.018962730652835557,,,,,,,,,,,,,0.041018879997136534,0.0058917075535125235,0.00042581999878166243,6.826230263705869e-05,0.004772220000450034,0.0006818638713665142,0.01847010999917984,0.0033605574819414582,0.013151869998546317,0.0017593557195044788,0.0031934500017086974,0.00027082082637160283,0.0006519799979287199,7.233222599788966e-05,0.00035343000054126604,7.861550643469518e-05,8.0,0.0,4.0,0.0,10.0,0.0
0.0,0,0.0,40,Gaussian RP,10,58.0,0.0,18.0,0.0,1.0,0.0,0.030097010001190937,0.005251182927003132,0.2670194300022558,0.03389382565150529,0.2971164400034468,0.035664677990114885,0.1995192173831241,0.010667083856808484,0.36039444554605626,0.009286106205571526,0.3521431426853719,0.012159036404396594,0.004078229996957816,0.00031460092359615095,0.007368390000192448,0.0024897763534211695,0.013955070001247804,0.0020427657418367337,0.0029216899958555585,0.00042979177441332395,0.0006638100006966851,5.336127206970495e-05,0.0003921599985915236,9.368003913566968e-05,0.029379349993541838,0.005091447085857353,,,,,,,,,,,,,,,,,,,,
0.0,mean,7.2943336831059815,5,Degree-stratified RP,10,23.0,0.0,18.0,0.0,1.0,0.0,0.015879620000487194,0.0012185818727676661,0.3339479999995092,0.028355104455155284,0.3498276199999964,0.02827781618102017,0.096091377784282,0.01182836676394537,0.24100102197711865,0.019051801695760918,0.27604185999658304,0.021948003597817956,,,,,,,,,,,,,0.015628229998401365,0.001176244976108916,0.00048672999837435783,3.503348021844221e-05,0.0038709800006472505,0.00033417157680090356,0.005978419999883045,0.0004009318305919272,0.0036632700022892093,0.0004013387496628629,0.0012692499993136152,0.00014948460676255838,0.00011282000195933506,1.924916989576923e-05,0.00024675999593455346,4.6074147900357597e-05,8.0,0.0,2.0,0.0,4.0,0.0
0.0,mean,7.2943336831059815,5,Gaussian RP,10,23.0,0.0,18.0,0.0,1.0,0.0,0.010038400000485125,0.0006336151258515111,0.3167819799986319,0.017396734520559898,0.326820379999117,0.01737941048407535,0.11478953733567425,0.011081832545887625,0.26560282030367083,0.016767528048069802,0.3073904643837495,0.019358043968408345,0.0015971999993780628,8.120617036399293e-05,0.002855879998242017,0.00047979247112994234,0.0037454299992532468,0.00021051360123567294,0.0012299900030484424,0.00012969634857995716,0.00010957999911624939,1.6272116302808126e-05,0.00023813000007066876,3.5626927388401e-05,0.009776209999108687,0.0006396828925310921,,,,,,,,,,,,,,,,,,,,
