dataset,rep,method,eval_mode,F1,NMI,ARI,time_rand_sec,time_post_sec,time_total_sec
statisticians_citation,1,Random Projection,relative_to_non_random,0.9893897979982981,0.9478104286601684,0.9794919163274213,,,0.07066299999132752
statisticians_citation,1,Random Sampling (p=0.7),relative_to_non_random,0.6546452918727983,0.27996020903287183,0.37659396430128295,0.0019687500316649675,0.0781787489540875,0.0801669170614332
statisticians_citation,1,Random Sampling (p=0.8),relative_to_non_random,0.679236082422405,0.3149076862095845,0.39113586589349675,0.0020778749603778124,0.06741833302658051,0.06952441693283617
statisticians_citation,2,Random Projection,relative_to_non_random,0.9829068568415112,0.9347225000307315,0.972800340816158,,,0.1256355830701068
statisticians_citation,2,Random Sampling (p=0.7),relative_to_non_random,0.9167721705236446,0.7531165820670622,0.8786995323303057,0.0019305829191580415,0.17853420798201114,0.180471875006333
statisticians_citation,2,Random Sampling (p=0.8),relative_to_non_random,0.9652047716208934,0.8726586893568223,0.9430130237708066,0.0014316249871626496,0.09915854106657207,0.1005949160316959
statisticians_citation,3,Random Projection,relative_to_non_random,0.9694770068550181,0.8665410737527072,0.9330672637385331,,,0.10256100003607571
statisticians_citation,3,Random Sampling (p=0.7),relative_to_non_random,0.942612893072135,0.7942297582418848,0.8957212657176153,0.0017042499966919422,0.07299287500791252,0.07470183400437236
statisticians_citation,3,Random Sampling (p=0.8),relative_to_non_random,0.9438943818853184,0.8146705384449036,0.9089178470289919,0.0014812499284744263,0.06584883306641132,0.06733441702090204
statisticians_citation,4,Random Projection,relative_to_non_random,0.7177333380007744,0.37283027664585605,0.3999869923199112,,,0.07718720799311996
statisticians_citation,4,Random Sampling (p=0.7),relative_to_non_random,0.9374275993563289,0.8135349463591129,0.9148517224107342,0.0018029590137302876,0.10153866605833173,0.10336995800025761
statisticians_citation,4,Random Sampling (p=0.8),relative_to_non_random,0.7104744787942566,0.3311266993241004,0.4216846458555831,0.001768082962371409,0.09933587501291186,0.10110874997917563
statisticians_citation,5,Random Projection,relative_to_non_random,0.9642844925048059,0.8943221330611519,0.9500145473528878,,,0.09848708298522979
statisticians_citation,5,Random Sampling (p=0.7),relative_to_non_random,0.9335389081858944,0.765236786816215,0.8755768149519617,0.0017126250313594937,0.12751479097642004,0.12926987500395626
statisticians_citation,5,Random Sampling (p=0.8),relative_to_non_random,0.9452399161037831,0.81338221847845,0.909245443281091,0.002155124908313155,0.076429374050349,0.0786468330770731
statisticians_citation,6,Random Projection,relative_to_non_random,0.9878088102278081,0.940153685067528,0.9758850913624233,,,0.06142520799767226
statisticians_citation,6,Random Sampling (p=0.7),relative_to_non_random,0.7072547609528138,0.33064722721612444,0.3730227687496058,0.0012064588954672217,0.08618700003717095,0.08740029204636812
statisticians_citation,6,Random Sampling (p=0.8),relative_to_non_random,0.6719086600072997,0.29209825797896827,0.3798355443262875,0.0019530829740688205,0.11596725101117045,0.11795087496284395
statisticians_citation,7,Random Projection,relative_to_non_random,0.956193775112072,0.9076956147399368,0.9485593654519632,,,0.0755558330565691
statisticians_citation,7,Random Sampling (p=0.7),relative_to_non_random,0.9352474425717704,0.8067899761949726,0.9003652484109128,0.0017565001035109162,0.11040433193556964,0.11216733290348202
statisticians_citation,7,Random Sampling (p=0.8),relative_to_non_random,0.6977245444624304,0.30720031983625684,0.3769481301407066,0.0013015000149607658,0.14983533299528062,0.15116420900449157
statisticians_citation,8,Random Projection,relative_to_non_random,0.9777541929440621,0.8972636920701984,0.9523863330580785,,,0.11238562501966953
statisticians_citation,8,Random Sampling (p=0.7),relative_to_non_random,0.9350268121449447,0.7784893321180363,0.8874513288683428,0.001351458951830864,0.13135062402579933,0.13270683295559138
statisticians_citation,8,Random Sampling (p=0.8),relative_to_non_random,0.9451110794560876,0.8411104229182464,0.9248076322836047,0.0016284579178318381,0.13373450096696615,0.1354209160199389
statisticians_citation,9,Random Projection,relative_to_non_random,0.9923245053825746,0.96289201024327,0.9862802317625953,,,0.08898945793043822
statisticians_citation,9,Random Sampling (p=0.7),relative_to_non_random,0.9176294325775367,0.7637644410165166,0.8717049148891947,0.0013585829874500632,0.12450054194778204,0.1258638750296086
statisticians_citation,9,Random Sampling (p=0.8),relative_to_non_random,0.6696084016941789,0.3108022974594171,0.39844259101166773,0.0019173750188201666,0.14427149994298816,0.14626424992457032
statisticians_citation,10,Random Projection,relative_to_non_random,0.717187125434496,0.3566801716608172,0.3905670610489586,,,0.12888641702011228
statisticians_citation,10,Random Sampling (p=0.7),relative_to_non_random,0.6986353473787723,0.3325328970578478,0.4126155944352782,0.0018339169910177588,0.10813866602256894,0.10997754090931267
statisticians_citation,10,Random Sampling (p=0.8),relative_to_non_random,0.7199220040073434,0.3479119248418211,0.4170388753284861,0.001723000081256032,0.14757466595619917,0.14930241601541638
statisticians_citation,11,Random Projection,relative_to_non_random,0.6912762217865978,0.3197488201952824,0.3890210024287041,,,0.1386762079782784
statisticians_citation,11,Random Sampling (p=0.7),relative_to_non_random,0.6756119876026546,0.3086931144476409,0.37413563974215513,0.0015342500992119312,0.12568324897438288,0.12722262495663017
statisticians_citation,11,Random Sampling (p=0.8),relative_to_non_random,0.9532822497445571,0.8348528077181343,0.9203723278964465,0.001990332966670394,0.11993583396542817,0.12196358398068696
statisticians_citation,12,Random Projection,relative_to_non_random,0.7154807698965587,0.3538079223829256,0.3974556604438451,,,0.10656058299355209
statisticians_citation,12,Random Sampling (p=0.7),relative_to_non_random,0.9344517640169814,0.777995367028008,0.8828217631229531,0.001788125024177134,0.10918866703286767,0.11100720905233175
statisticians_citation,12,Random Sampling (p=0.8),relative_to_non_random,0.947177906217612,0.8162899864192021,0.9006853283173339,0.0020060420501977205,0.10296862502582371,0.10502583300694823
statisticians_citation,13,Random Projection,relative_to_non_random,0.7188693384048758,0.36312634725222553,0.40082840641121553,,,0.10293483303394169
statisticians_citation,13,Random Sampling (p=0.7),relative_to_non_random,0.9212810261924219,0.7503936929941588,0.8741230610295175,0.0012498750584200025,0.09709133394062519,0.09834654198493809
statisticians_citation,13,Random Sampling (p=0.8),relative_to_non_random,0.9485825033839704,0.8218856066516791,0.9123766848648348,0.0015287079149857163,0.07137699902523309,0.07291029195766896
statisticians_citation,14,Random Projection,relative_to_non_random,0.9787564365859408,0.9394139907794253,0.9733235596801121,,,0.10992370790336281
statisticians_citation,14,Random Sampling (p=0.7),relative_to_non_random,0.9299661309084523,0.7884986329629048,0.8941035808733157,0.0017406669212505221,0.09311741695273668,0.09490683302283287
statisticians_citation,14,Random Sampling (p=0.8),relative_to_non_random,0.9487712486746619,0.8229335977793384,0.9150341954405476,0.0021554590202867985,0.08425558300223202,0.08641570794861764
