model,n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,cs_draw_hash_sec,cs_initial_multiply_sec,cs_sparse_explicit_sketch_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_reconstruct_sec,cs_small_eig_sec,cs_lift_sec,cs_kmeans_sec,sign_draw_omega_sec,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
1,200,1,Random Projection,0.08459558300000003,0.001512874999999969,0.017567208,4.94579999998912e-05,0.0011407079999998793,0.0004117090000002044,0.00019283300000028092,0.000586541000000107,0.0002450839999998955,7.416999999954044e-06,0.08194662500000005,0.08459558300000003,0.08458037500000026,1.5207999999766741e-05,0.103675666,,,,,,,,,,,,,,,,,,,,,,,,,,
1,200,1,Random Sampling,0.027317834000000207,0.001512874999999969,0.016338333999999843,,,,,,,,,0.027317834000000207,0.02731287500000068,4.958999999526981e-06,0.04516904300000002,0.0005154580000001907,0.0006134580000001222,0.00716245800000026,0.000159334000000122,0.00017349999999982657,0.01868866700000016,,,,,,,,,,,,,,,,,,,,
1,200,1,Non-random,0.04137195800000004,0.001512874999999969,0.016596999999999973,,,,,,,,,0.04137195800000004,0.04136858400000021,3.3739999998338988e-06,0.059481832999999984,,,,,,,0.02479370900000033,0.016554249999999993,2.062499999988532e-05,,,,,,,,,,,,,,,,,
1,200,1,CountSketch,0.017428958999999633,0.001512874999999969,0.01577958300000004,,,,,,,,,0.017428958999999633,0.018269291999999826,0.0,0.034721416999999644,,,,,,,,,,0.00019395899999974375,0.0008903749999999988,0.0008903749999999988,0.00046912499999995916,0.0003153750000000066,0.00021787500000014504,0.00015462499999996382,0.0004671250000001237,6.332999999969502e-06,0.014664124999999917,,,,,,,
1,200,1,SIGN Bidirectional,0.018605249999999796,0.001512874999999969,0.01657745799999999,,,,,,,,,0.018605249999999796,0.018601333000000775,3.916999999020732e-06,0.036695582999999754,,,,,,,,,,,,,,,,,,,,3.845899999976865e-05,0.0015350830000002702,0.000502208000000337,0.0001652920000001501,0.0003930830000000718,5.9580000000281075e-06,0.01596125000000015
1,200,2,Random Projection,0.020438167000000007,0.0007391249999999516,0.016650541999999824,3.9083999999967034e-05,0.0005968749999998302,0.00027016700000004334,0.00011120800000030684,0.00016483299999991985,0.000388333000000074,5.7500000001375895e-06,0.018857542000000116,0.020438167000000007,0.020433792000000395,4.374999999612328e-06,0.03782783399999978,,,,,,,,,,,,,,,,,,,,,,,,,,
1,200,2,Random Sampling,0.025168832999999946,0.0007391249999999516,0.012322082999999928,,,,,,,,,0.025168832999999946,0.02516545799999914,3.3750000008048175e-06,0.038230040999999826,0.0003252909999997833,0.00032533299999970566,0.007940249999999871,0.0001482089999997882,0.00014887500000027032,0.016277499999999723,,,,,,,,,,,,,,,,,,,,
1,200,2,Non-random,0.03410941699999981,0.0007391249999999516,0.013023167000000058,,,,,,,,,0.03410941699999981,0.034106873999999454,2.543000000354567e-06,0.04787170899999982,,,,,,,0.019202790999999664,0.014810790999999934,9.329199999985605e-05,,,,,,,,,,,,,,,,,
1,200,2,CountSketch,0.014560958000000124,0.0007391249999999516,0.01260349999999999,,,,,,,,,0.014560958000000124,0.01480187399999977,0.0,0.027903583000000065,,,,,,,,,,4.887500000005929e-05,0.0002641249999997264,0.0002641249999997264,0.0003017079999998451,0.00027062500000019085,0.0001133330000002708,0.00011245899999989817,0.0002522080000000315,5.4999999998806e-06,0.013168916000000142,,,,,,,
1,200,2,SIGN Bidirectional,0.015788040999999975,0.0007391249999999516,0.011447500000000055,,,,,,,,,0.015788040999999975,0.015781293000000307,6.7479999996677975e-06,0.02797466599999998,,,,,,,,,,,,,,,,,,,,0.00010245799999974992,0.001439500000000038,0.00040245900000002166,0.00011220800000000253,0.0002860840000002973,6.167000000001366e-06,0.013432417000000196
1,200,3,Random Projection,0.013248583000000203,0.000775167000000021,0.011752709000000028,0.000136665999999952,0.00039500000000014523,0.00026112500000019523,0.00011050000000034643,0.00011725000000017971,0.0002374579999999682,5.5420000002470715e-06,0.01198137499999996,0.013248583000000203,0.013244916000000995,3.6669999992078317e-06,0.02577645900000025,,,,,,,,,,,,,,,,,,,,,,,,,,
1,200,3,Random Sampling,0.024486542,0.000775167000000021,0.012947540999999951,,,,,,,,,0.024486542,0.02448195799999997,4.5840000000296754e-06,0.03820924999999997,0.0002995839999999639,0.00039354199999985795,0.007951750000000146,4.9583000000019695e-05,4.9540999999653224e-05,0.01573795800000033,,,,,,,,,,,,,,,,,,,,
1,200,3,Non-random,0.03426224999999983,0.000775167000000021,0.011654334000000155,,,,,,,,,0.03426224999999983,0.03426049899999972,1.7510000001053072e-06,0.046691751000000004,,,,,,,0.019336957999999793,0.014909499999999909,1.4041000000020176e-05,,,,,,,,,,,,,,,,,
1,200,3,CountSketch,0.017314124999999958,0.000775167000000021,0.011701541999999954,,,,,,,,,0.017314124999999958,0.017554957999999843,0.0,0.029790833999999933,,,,,,,,,,4.887500000005929e-05,0.0002619999999997624,0.0002619999999997624,0.0002939999999997944,0.0002684580000003045,0.000128000000000128,0.0001544170000000733,0.0002589579999998648,5.50000000032469e-06,0.01587274999999977,,,,,,,
1,200,3,SIGN Bidirectional,0.017226374999999905,0.000775167000000021,0.010981249999999942,,,,,,,,,0.017226374999999905,0.017218502000000413,7.87299999949198e-06,0.02898279199999987,,,,,,,,,,,,,,,,,,,,3.770899999988586e-05,0.0018454590000001048,0.0006805829999998458,0.00012233400000027927,0.000313209000000203,1.179200000001046e-05,0.014207416000000084
1,200,4,Random Projection,0.014731124999999956,0.0006675000000000431,0.011781708000000002,3.5208999999980506e-05,0.0004016669999997724,0.00027566700000036803,0.00011208299999987403,9.483299999990535e-05,0.00024866700000014674,5.707999999771118e-06,0.013552833999999958,0.014731124999999956,0.014726667999999776,4.457000000179789e-06,0.027180333,,,,,,,,,,,,,,,,,,,,,,,,,,
1,200,4,Random Sampling,0.019495708,0.0006675000000000431,0.0114298749999997,,,,,,,,,0.019495708,0.01949283299999971,2.8750000002908394e-06,0.031593082999999744,0.00023358299999998167,0.0002598329999998761,0.006292167000000237,4.887500000005929e-05,0.00014270799999982486,0.01251566699999973,,,,,,,,,,,,,,,,,,,,
