experiment,density_level,rep,seed,n,K,m,rho_n,a_in,b_out,signal_gap,p_in,p_out,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,sampling_mode,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,method_wall_sec,algorithm_total_wall_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_lift_sec,rs_sample_matrix_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec
density_background_fixed_gap,1,1,2026150705,6000,6,3,16.0,36.0,4.0,32.0,1.6e-05,1.7777777777777777e-06,77908,469936,0.013053777777777777,0.45539279095828533,0.08449100004509091,sparse,0,0.0,38.954,65.0,78147.58755555555,13.024597925925926,39.07379377777777,0.02770835263696556,Non-random eigsh,non_random,0.11350000000000005,0.7461360157006443,0.702171933039397,0.006366749992594123,0.027920791995711625,8.129095658659935e-05,0.3371763750910759,0.3651869170134887,1.0,0.5047028747061257,0.3686400840524584,0.9050622490467504,,,,,,,,,,,,,,,,,,,,,
density_background_fixed_gap,1,1,2026150705,6000,6,3,16.0,36.0,4.0,32.0,1.6e-05,1.7777777777777777e-06,77908,469936,0.013053777777777777,0.45539279095828533,0.08449100004509091,sparse,0,0.0,38.954,65.0,78147.58755555555,13.024597925925926,39.07379377777777,0.02770835263696556,Gaussian RP,gaussian_random_projection,0.8145,0.0011193272124071553,0.002722376837902743,0.0030386250000447035,0.02584120794199407,0.00014004099648445845,0.48187537502963096,0.5078577499371022,0.8612248470605142,0.4189725963080989,0.5134100419236347,1.0477404149714857,0.0012489169603213668,0.011885208077728748,0.006070542032830417,0.005145792034454644,0.0008925830479711294,0.0005072499625384808,,,,,,,,,,,,,,,
density_background_fixed_gap,1,1,2026150705,6000,6,3,16.0,36.0,4.0,32.0,1.6e-05,1.7777777777777777e-06,77908,469936,0.013053777777777777,0.45539279095828533,0.08449100004509091,sparse,0,0.0,38.954,65.0,78147.58755555555,13.024597925925926,39.07379377777777,0.02770835263696556,Random sampling,random_sampling,0.8076666666666666,0.0017936350746939494,0.0038834412977552324,0.003169583040289581,0.06838620803318918,7.520790677517653e-05,0.33425666706170887,0.4027196660172194,1.4277625426989538,1.2764197096968022,0.40588816604577005,0.9426018740050495,,,,,,,0.00861983303911984,237968.0,71463.0,0.3,,,,,,,,,,,
density_background_fixed_gap,1,1,2026150705,6000,6,3,16.0,36.0,4.0,32.0,1.6e-05,1.7777777777777777e-06,77908,469936,0.013053777777777777,0.45539279095828533,0.08449100004509091,sparse,0,0.0,38.954,65.0,78147.58755555555,13.024597925925926,39.07379377777777,0.02770835263696556,CountSketch RP,countsketch_random_projection,0.8025,0.0029565258369284903,0.005362697363879268,0.003799875034019351,0.026336290990002453,0.0002495830412954092,0.4180073339957744,0.44459454191382974,0.8269876375567955,0.4191845218897545,0.4475901660043746,0.9844769990304485,,,,,,,,,,,0.00017987494356930256,36.0,132.0,193.0,0.0,0.0045889170141890645,0.007164707989431918,0.0037727919407188892,0.00934395904187113,0.0008384169777855277,0.000301457941532135
density_background_fixed_gap,1,2,2026150706,6000,6,3,16.0,36.0,4.0,32.0,1.6e-05,1.7777777777777777e-06,78086,470952,0.013082,0.46726420905906707,0.08292191696818918,sparse,0,0.0,39.043,67.0,78147.58755555555,13.024597925925926,39.07379377777777,0.02770835263696556,Non-random eigsh,non_random,0.13149999999999995,0.7092049934176253,0.6665541326763077,0.00402254203800112,0.029571166960522532,0.00012791703920811415,0.07850587507709861,0.10820616700220853,1.0000000000000009,0.5027601088708714,0.11154166702181101,0.6583910851040855,,,,,,,,,,,,,,,,,,,,,
density_background_fixed_gap,1,2,2026150706,6000,6,3,16.0,36.0,4.0,32.0,1.6e-05,1.7777777777777777e-06,78086,470952,0.013082,0.46726420905906707,0.08292191696818918,sparse,0,0.0,39.043,67.0,78147.58755555555,13.024597925925926,39.07379377777777,0.02770835263696556,Gaussian RP,gaussian_random_projection,0.8031666666666667,0.002868377131314606,0.005255181951714862,0.003113666083663702,0.0337888749781996,0.00017158291302621365,0.45446962502319366,0.4884316249517724,0.8216801301869558,0.41870532883511,0.49283870903309435,1.0386162089416757,0.0012924999464303255,0.013133167056366801,0.014733707997947931,0.00391841703094542,0.0004462080541998148,0.00012216705363243818,,,,,,,,,,,,,,,
density_background_fixed_gap,1,2,2026150706,6000,6,3,16.0,36.0,4.0,32.0,1.6e-05,1.7777777777777777e-06,78086,470952,0.013082,0.46726420905906707,0.08292191696818918,sparse,0,0.0,39.043,67.0,78147.58755555555,13.024597925925926,39.07379377777777,0.02770835263696556,Random sampling,random_sampling,0.8109999999999999,0.001044699917473391,0.00276547821926591,0.004087124951183796,0.08003220905084163,0.0001750420778989792,0.37282612500712276,0.4530478330561891,1.4399235435996298,1.280233640045603,0.45748479093890637,1.0032195021631196,,,,,,,0.00906891596969217,238476.0,71745.0,0.3,,,,,,,,,,,
density_background_fixed_gap,1,2,2026150706,6000,6,3,16.0,36.0,4.0,32.0,1.6e-05,1.7777777777777777e-06,78086,470952,0.013082,0.46726420905906707,0.08292191696818918,sparse,0,0.0,39.043,67.0,78147.58755555555,13.024597925925926,39.07379377777777,0.02770835263696556,CountSketch RP,countsketch_random_projection,0.8015,0.0036939662413899067,0.006397521790370469,0.002849999931640923,0.030065499944612384,0.000206666998565197,0.4422250419156626,0.47249845799524337,0.8094626230750441,0.4185582527936142,0.4755703329574317,1.0226833348860964,,,,,,,,,,,0.00017262494657188654,36.0,147.0,189.0,0.0,0.0048940000124275684,0.008279957924969494,0.007464915979653597,0.007510541006922722,0.0008296249434351921,0.0003252909518778324
density_background_fixed_gap,1,3,2026150707,6000,6,3,16.0,36.0,4.0,32.0,1.6e-05,1.7777777777777777e-06,77923,470202,0.013061166666666667,0.4697260420070961,0.08675341692287475,sparse,0,0.0,38.9615,64.0,78147.58755555555,13.024597925925926,39.07379377777777,0.02770835263696556,Non-random eigsh,non_random,0.11816666666666664,0.7364544562372164,0.6921749866386893,0.0030732910381630063,0.0241350419819355,0.00016616692300885916,0.07881620805710554,0.10311954200733453,1.0000000000000013,0.5045280249656906,0.10627979191485792,0.6595968758920208,,,,,,,,,,,,,,,,,,,,,
density_background_fixed_gap,1,3,2026150707,6000,6,3,16.0,36.0,4.0,32.0,1.6e-05,1.7777777777777777e-06,77923,470202,0.013061166666666667,0.4697260420070961,0.08675341692287475,sparse,0,0.0,38.9615,64.0,78147.58755555555,13.024597925925926,39.07379377777777,0.02770835263696556,Gaussian RP,gaussian_random_projection,0.808,0.001970931637404776,0.0039265010870475296,0.004176083020865917,0.03126983402762562,0.00018858409021049738,0.5391520839184523,0.570611875038594,0.7815535051320572,0.41807140670749604,0.5735518749570474,1.1270899609662592,0.0014000420924276114,0.011514624929986894,0.00796708301641047,0.008993583964183927,0.0007135829655453563,0.00033320800866931677,,,,,,,,,,,,,,,
