density_level,method,reps,n_mean,n_std,K_mean,K_std,rho_n_mean,rho_n_std,a_in_mean,a_in_std,b_out_mean,b_out_std,signal_gap_mean,signal_gap_std,p_in_mean,p_in_std,p_out_mean,p_out_std,num_hyperedges_total_mean,num_hyperedges_total_std,theta_nnz_mean,theta_nnz_std,theta_density_mean,theta_density_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rs_sample_matrix_wall_sec_mean,rs_sample_matrix_wall_sec_std,rs_sampled_upper_nnz_mean,rs_sampled_upper_nnz_std,cs_initial_multiply_sec_mean,cs_initial_multiply_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_embedding_dim_mean,cs_embedding_dim_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std,non_random_spectral_sec_mean,spectral_speedup_vs_non_random
1,Non-random eigsh,5,6000.0,0.0,6.0,0.0,16.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,1.6e-05,0.0,1.7777777777777777e-06,0.0,78072.6,154.87995351238908,470960.8,901.4528273847765,0.0130822444444444,2.5040356316257465e-05,39.0363,0.07743997675619256,65.8,2.7748873851023212,39.07379377777777,0.0,0.0277083526369655,0.0,0.0,0.0,0.12269999999999999,0.007198958257970369,0.7272559061252684,0.014753477837410066,0.6836904619646089,0.014149840200406464,0.4849902000045404,0.02912349862265665,0.08686463339254255,0.0032609474945826467,0.027512616990134083,0.0020710285873102503,0.00010901677887885296,3.7927348146753056e-05,0.12688495842739939,0.11765898328250896,0.15450945841148492,0.11788049285938003,0.00412282480392602,0.0013476009423831654,0.7263614255934954,0.1024540403092517,,,,,,,,,,,,,,,,,,,,,1.0000000000000002,7.83081154346659e-16,0.5037449668414393,0.0008666497105982922,0.15450945841148492,1.0
1,Gaussian RP,5,6000.0,0.0,6.0,0.0,16.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,1.6e-05,0.0,1.7777777777777777e-06,0.0,78072.6,154.87995351238908,470960.8,901.4528273847765,0.0130822444444444,2.5040356316257465e-05,39.0363,0.07743997675619256,65.8,2.7748873851023212,39.07379377777777,0.0,0.0277083526369655,0.0,0.0,0.0,0.8069666666666666,0.004680633860208781,0.00260261860868664,0.0010514981604157403,0.004868867464587879,0.0015425436078798768,0.4849902000045404,0.02912349862265665,0.08686463339254255,0.0032609474945826467,0.04301859997212884,0.022614431025586038,0.00021523339673872,7.556434174537612e-05,0.48482062539551407,0.0337631429686821,0.5280558501835912,0.040028814175525576,0.0034886250272392998,0.0004782501590651585,1.0999092921614646,0.05738209874775122,0.013266008417122022,0.0018970090336450514,0.01867789980024094,0.019178628735579177,0.00728529202751812,0.0025842792084858662,,,,,,,,,,,,,,,0.8186741870317084,0.028481426200442594,0.4184741547071346,0.0004498378551666737,0.15450945841148492,0.29260059964824936
1,Random sampling,5,6000.0,0.0,6.0,0.0,16.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,1.6e-05,0.0,1.7777777777777777e-06,0.0,78072.6,154.87995351238908,470960.8,901.4528273847765,0.0130822444444444,2.5040356316257465e-05,39.0363,0.07743997675619256,65.8,2.7748873851023212,39.07379377777777,0.0,0.0277083526369655,0.0,0.0,0.0,0.8079666666666666,0.003955305859784356,0.00180957527723342,0.0006780593161464985,0.0040267448441725,0.0012148161759641027,0.4849902000045404,0.02912349862265665,0.08686463339254255,0.0032609474945826467,0.07018690002150828,0.011891350054979918,0.00012259162031110697,4.578045533754948e-05,0.2956173914019018,0.07283822536426181,0.3659314580261707,0.07085957828593273,0.00394439159426834,0.0006365860728009294,0.9377817164408043,0.06933538797196942,,,,,,,0.00981581639498466,0.0029400451907926396,71525.2,153.53729188702033,,,,,,,,,,,1.432441252517675,0.005164261719817439,1.2776569751405895,0.0017696650618845417,0.15450945841148492,0.4222360636740739
1,CountSketch RP,5,6000.0,0.0,6.0,0.0,16.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,1.6e-05,0.0,1.7777777777777777e-06,0.0,78072.6,154.87995351238908,470960.8,901.4528273847765,0.0130822444444444,2.5040356316257465e-05,39.0363,0.07743997675619256,65.8,2.7748873851023212,39.07379377777777,0.0,0.0277083526369655,0.0,0.0,0.0,0.806,0.007845734863959874,0.0025835564238646,0.0014969265250381878,0.0048183560163011395,0.00207535527116463,0.4849902000045404,0.02912349862265665,0.08686463339254255,0.0032609474945826467,0.027737057977355963,0.004699948855223955,0.0007603249745443,0.0007105812992594242,0.41526593356393277,0.021964383738676062,0.4437648083548993,0.02435586587621217,0.0033054333878680597,0.00039586003759000836,1.0156181499129162,0.028164480652479926,,,,,,,,,,,0.0045632334193214,0.00045045373287402066,0.007588708167895621,0.0006542734313259116,0.00686762479599558,0.00329022294366724,0.0069439664017408795,0.001960030854694414,36.0,0.0,0.8183687169864999,0.006930895921678624,0.41884726812926576,0.00024947969853798927,0.15450945841148492,0.3481787097635659
2,Non-random eigsh,5,6000.0,0.0,6.0,0.0,24.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,2.4e-05,0.0,2.666666666666667e-06,0.0,117469.6,492.93234829944043,702929.2,2799.9191416896238,0.019525811111111062,7.777553171362343e-05,58.73479999999999,0.24646617414972058,88.2,1.7888543819998313,58.61069066666666,0.0,0.0277083526369655,0.0,0.0,0.0,0.03446666666666664,0.0010632758605157696,0.9189745171622995,0.0024398743570080467,0.8869586845312993,0.0029057647386035714,0.7298150668153539,0.03138140696065125,0.13260352499783035,0.010400467131644997,0.032501166430301896,0.0053060737211454295,8.27249605208472e-05,2.3207510660308984e-05,0.0683577500050887,0.013610231884358594,0.10094310024287548,0.017057512756672694,0.0043079830007627,0.0012789862694298573,0.9633602332090959,0.02694243972633455,,,,,,,,,,,,,,,,,,,,,0.9999999999999998,4.041272810440265e-16,0.4863331822526217,0.0007452590992421229,0.10094310024287548,1.0
2,Gaussian RP,5,6000.0,0.0,6.0,0.0,24.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,2.4e-05,0.0,2.666666666666667e-06,0.0,117469.6,492.93234829944043,702929.2,2799.9191416896238,0.019525811111111062,7.777553171362343e-05,58.73479999999999,0.24646617414972058,88.2,1.7888543819998313,58.61069066666666,0.0,0.0277083526369655,0.0,0.0,0.0,0.8002333333333332,0.008059328618301765,0.00392459605763628,0.0017937074666197039,0.0066503588171945,0.0024899502204038513,0.7298150668153539,0.03138140696065125,0.13260352499783035,0.010400467131644997,0.045763858011923696,0.013670332494991309,0.00033011659979813996,0.00014888406197909789,0.46461850840132685,0.031803222756637696,0.5107138916384428,0.02162282667402688,0.00321876658126706,0.0001764155607073134,1.373131074826233,0.0316796498354439,0.02085119162220506,0.0015165940060059852,0.01232504982035602,0.010672360084483513,0.00986371643375602,0.003837589939609996,,,,,,,,,,,,,,,0.842717264045039,0.009746374238387171,0.39556376196586557,0.0006241487748622918,0.10094310024287548,0.1976509781612473
2,Random sampling,5,6000.0,0.0,6.0,0.0,24.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,2.4e-05,0.0,2.666666666666667e-06,0.0,117469.6,492.93234829944043,702929.2,2799.9191416896238,0.019525811111111062,7.777553171362343e-05,58.73479999999999,0.24646617414972058,88.2,1.7888543819998313,58.61069066666666,0.0,0.0277083526369655,0.0,0.0,0.0,0.7986666666666666,0.003693086634360067,0.0038801190109071003,0.000624862446800748,0.0066244239970876,0.0010097971150116092,0.7298150668153539,0.03138140696065125,0.13260352499783035,0.010400467131644997,0.0761191669851541,0.011297085345920152,7.679974660277367e-05,6.466343739019904e-06,0.34085855842567975,0.02886779990059473,0.41705626661423595,0.031092355882187523,0.0037475418066605197,0.0003485953466894492,1.279473116970621,0.04208986470540327,,,,,,,0.01231890001799904,0.0015024743088120403,106281.4,317.280317700295,,,,,,,,,,,1.423340548282684,0.003202007215715206,1.2438595017774934,0.0012230481145755962,0.10094310024287548,0.2420371262188579
2,CountSketch RP,5,6000.0,0.0,6.0,0.0,24.0,0.0,36.0,0.0,4.0,0.0,32.0,0.0,2.4e-05,0.0,2.666666666666667e-06,0.0,117469.6,492.93234829944043,702929.2,2799.9191416896238,0.019525811111111062,7.777553171362343e-05,58.73479999999999,0.24646617414972058,88.2,1.7888543819998313,58.61069066666666,0.0,0.0277083526369655,0.0,0.0,0.0,0.8027333333333333,0.005086201376709767,0.0032239504617601403,0.0005512720916608813,0.005558751931874601,0.0005732698603923516,0.7298150668153539,0.03138140696065125,0.13260352499783035,0.010400467131644997,0.03637525816448032,0.0048063642624141464,0.00037684158887706,9.595321466756058e-05,0.4397826000349596,0.03126429086088534,0.47653618301264944,0.03318204443655559,0.0038366247899830003,0.0007583896413042516,1.3389532916015012,0.05232684673989801,,,,,,,,,,,0.00526619998272504,0.0003647934601928801,0.01109645818360144,0.00036500760686387077,0.00872501679696138,0.003280281289278983,0.00959514982532706,0.001722114256990213,36.0,0.0,0.8216262009600582,0.023275125139409335,0.39538951899800334,0.0005799551822225643,0.10094310024287548,0.21182672762583485
3,Non-random eigsh,5,6000.0,0.0,6.0,0.0,32.0,0.0,40.0,0.0,8.0,0.0,32.0,0.0,3.555555555555555e-05,0.0,7.111111111111111e-06,0.0,284316.2,623.7633365307701,1670096.4,3519.322491616801,0.04639156666666662,9.77589581004814e-05,142.15810000000002,0.3118816682653769,186.0,1.8708286933869707,142.11559111111112,0.0,0.0277083526369655,0.0,0.0,0.0,0.07099999999999995,0.004970747764002241,0.8368121130413808,0.010919543985316511,0.7949933877736337,0.011151836218307492,1.859309500013478,0.17702068155806866,0.38048201680649074,0.0804584328922854,0.08979168364312495,0.005342429979368937,8.390836883336277e-05,1.4601673910242768e-05,0.08859010820742692,0.02250566987151139,0.1784669000189751,0.025718725571769935,0.0035252417903393002,0.0006898284008512098,2.418257217039354,0.24607250901896333,,,,,,,,,,,,,,,,,,,,,1.0000000000000002,4.577566798522237e-16,0.4232387380831324,0.0006445237453779421,0.1784669000189751,1.0
3,Gaussian RP,5,6000.0,0.0,6.0,0.0,32.0,0.0,40.0,0.0,8.0,0.0,32.0,0.0,3.555555555555555e-05,0.0,7.111111111111111e-06,0.0,284316.2,623.7633365307701,1670096.4,3519.322491616801,0.04639156666666662,9.77589581004814e-05,142.15810000000002,0.3118816682653769,186.0,1.8708286933869707,142.11559111111112,0.0,0.0277083526369655,0.0,0.0,0.0,0.8126333333333333,0.0038629292282181702,0.00115274537142008,0.0005612712018401465,0.00276831032870254,0.0007750887141741061,1.859309500013478,0.17702068155806866,0.38048201680649074,0.0804584328922854,0.07258858338464046,0.009401615247483367,0.00034127482213074003,0.00018400434133534775,0.45702349161729217,0.027708237350787188,0.5299546079942956,0.02321310291374376,0.00338682502042496,0.0005259818557531466,2.7697448666440323,0.24098083691877756,0.0429822418140247,0.005031460909431917,0.006950433226302221,0.0031361954489073727,0.020897758426144657,0.0030639532660769802,,,,,,,,,,,,,,,0.8505063166366869,0.03319379606536664,0.3627102253946468,0.00011222905695254237,0.1784669000189751,0.3367588418457456
