K,method,reps,num_hyperedges_total_mean,num_hyperedges_total_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,zhou_theta_build_wall_sec_mean,zhou_theta_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,cpu_time_sec_mean,cpu_time_sec_std,wall_clock_sec_mean,wall_clock_sec_std,peak_traced_memory_mb_mean,peak_traced_memory_mb_std,rss_delta_mb_mean,rss_delta_mb_std,rs_sample_matrix_wall_sec_mean,rs_sample_matrix_wall_sec_std,rs_eig_wall_sec_mean,rs_eig_wall_sec_std,rs_original_upper_nnz_mean,rs_original_upper_nnz_std,rs_sampled_upper_nnz_mean,rs_sampled_upper_nnz_std,rs_sampled_theta_nnz_mean,rs_sampled_theta_nnz_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std
2,Random sampling,10,39967.1,171.79862242365607,23.98026,0.10307917345419434,43.6,1.7126976771553508,23.976005760000003,0.0,0.2498499699939988,0.0,0.0,0.0,0.00047999999999999996,0.0003425395354310701,0.9980809601155123,0.001368787876340493,0.9944148465385029,0.003720058853753795,1.2167858500033617,0.021756076919701738,0.08592172927455977,0.003010965526705772,0.011680716893170028,0.001454418838381198,7.202510023489595e-05,2.9598221102434565e-05,0.07206652929307893,0.048061655831660284,0.08382412106730044,0.04863544258581757,0.020414208283182234,0.0024778207987886315,1.3865268505644053,0.04710911834958104,3.882379199999999,0.19754253097430197,1.7426655333023517,0.05858233632001128,22.914606666564943,0.09837361629932218,8.871875,15.136457580632193,0.00592258331598714,0.0004704936436608333,0.0057053333846852185,0.0011592514728746503,124062.3,517.924715678941,86893.0,399.9502746870186,170286.4,797.8412819045634,1.0599195002775992,0.0015578887219231655,0.8716762510044367,0.0021370535515156733
3,Random sampling,10,25078.4,71.96326223227531,15.04704,0.04317795733936509,31.2,1.5491933384829666,15.093518576640003,0.0,0.11097779555911183,0.0,0.0,0.0,0.05364,0.004675990685286796,0.8455588763244943,0.012926592924196064,0.7764308042517641,0.015309207131966344,0.810931149800308,0.029520693739262686,0.055573183298110965,0.003062469603839653,0.01364206662401557,0.006172633793119289,0.00012783330166712403,7.109331888183772e-05,0.09721987511729821,0.01777346857255674,0.11099454179638997,0.020860780926053094,0.02042705430649221,0.004172538960699863,0.9774941081413999,0.035627347479983744,3.4599081999999997,0.1718280513393171,1.2182764918194153,0.040672960183737825,14.738700771331787,0.04494808660161446,0.3171875,0.5977592163481602,0.004123083502054215,0.0003844722277066177,0.009479487291537225,0.006148392601748555,79908.5,215.0892579579214,56022.2,234.0454846581938,108544.4,453.6976967100424,1.0650832741658445,0.002805621766345572,0.7950491447005794,0.005335034207295392
4,Random sampling,10,20063.4,134.25862273156912,12.03804,0.08055517363894087,26.8,1.3984117975602022,11.98560576,0.0,0.0623875075135075,0.0,0.0,0.0,0.38180000000000003,0.04854322243572676,0.25306794984696557,0.047166710177115094,0.23082150134169677,0.04126663690905723,0.6542317625135183,0.020088553589464157,0.04334102488355711,0.0014746064422707867,0.023549966723658146,0.0018012426204472567,8.274988504126668e-05,2.4040994714857707e-05,0.27057722070021556,0.06153820008377756,0.2942137834150344,0.06220840145915388,0.018810837506316604,0.0036813497058206107,0.9917827247059904,0.06303978821552877,4.564086400000001,0.458599011024326,1.1657725418219342,0.054656920695298976,11.996069240570069,0.07482479673716924,0.0421875,0.059406972385870296,0.003218116716016084,9.257085633953248e-05,0.02031089987140149,0.0017564044308089365,64991.5,391.43588945771893,45452.8,298.8752248012543,87413.4,586.3366875022502,1.0658838628129834,0.0015410272594148572,0.7769990361957602,0.0016350916145318891
5,Random sampling,10,17566.3,110.38020152585683,10.53978,0.06622812091551446,24.3,1.4181364924121764,10.547525760000001,0.0,0.03990401921920999,0.0,4e-05,8.432740427115679e-05,0.7607999999999999,0.010867280146282176,0.00644799050849418,0.0022235486045115694,0.009094393359260258,0.002652857236742471,0.5898397915298119,0.01569825018894922,0.03845042500179261,0.0009670254712472702,0.03352021260652691,0.007168543469318865,0.00011788738192990423,5.8490250774686475e-05,0.4279257164220326,0.03361701966893595,0.461567629291676,0.036393881642099044,0.01578944589709863,0.0014201359734171866,1.0898540329420938,0.036662669427003025,5.484027199999998,0.27611020085457383,1.240070783405099,0.03550118351133083,10.65666160583496,0.06151483984775864,0.10625,0.31421404925623553,0.0029338958091102542,0.00013906035672738964,0.030557250080164522,0.007203195185725953,57561.0,328.44752667325264,40303.6,275.48147749793367,77104.1,532.228532785602,1.0688321894846056,0.002547796124648268,0.7944140409013796,0.001725125422315458
6,Random sampling,10,16276.3,105.9958594579154,9.76578,0.0635975156747496,23.4,0.9660917830792961,9.766585242624002,0.0,0.027694498899779957,0.0,2e-05,6.324555320336759e-05,0.80654,0.004915327501239817,0.0018689959316671619,0.0006476625115337411,0.003982294119590344,0.0008304878481788737,0.5476608167053201,0.01584635084985078,0.03575104179326445,0.0003571547088301083,0.03374620850663632,0.004276636707087316,8.100001141428948e-05,3.794172714865882e-06,0.4468502539908513,0.04776976799411205,0.48068115008063617,0.04709791561166082,0.015473120810929686,0.0008747548372818701,1.0640893210074864,0.05385554084057796,5.5656125,0.3744086649499633,1.201836116600316,0.056822994876406165,9.982259273529053,0.056900028836769076,0.009375,0.024650332429581735,0.002779245714191347,0.00014316296171894077,0.030948904005344956,0.004275253094601935,53724.8,318.81091574787786,37644.8,205.23742348801767,71793.1,392.0780676231626,1.0710766691681115,0.002651668970859656,0.8077603594642484,0.0021193121101772184
8,Random sampling,10,14983.1,91.67630252385011,8.98986,0.055005781514309716,21.9,0.737864787372621,8.99040576,0.0,0.015559414403889183,0.0,0.00016,0.00020655911179772888,0.85092,0.004136772762539543,0.0009358601866414834,0.0004854999787559907,0.004008121331774605,0.0007659331745220216,0.517032508389093,0.008391506046677964,0.03386000411119312,0.0015574702380183546,0.04340842090314254,0.005375227081962778,0.00012097092112526298,4.8885504789958555e-05,0.5227562169078738,0.028606486664222372,0.5662893582950346,0.028615715710177386,0.016071546089369802,0.0017490872907313414,1.1171781212324277,0.026771077157326593,6.038551100000001,0.1911852272625453,1.2480100458022207,0.025561422733555078,9.342223358154296,0.0490272983646586,0.065625,0.10895255720827401,0.0027402416220866145,0.0002303828139380143,0.040656158491037785,0.005352015663634241,49861.3,270.6486241933949,34954.1,182.25833314282252,66401.9,359.33563697467986,1.0735983583417918,0.003145334983335001,0.8211891902346778,0.0027289147545604586
10,Random sampling,10,14361.5,109.48287537327461,8.6169,0.0656897252239647,21.0,1.1547005383792521,8.631365760000001,0.0,0.009946046832415702,0.0,0.00028,0.00016865480854231357,0.87766,0.0025786301272833537,0.0005331328796586188,0.00052770863297669,0.004595435259385439,0.0009404642257928944,0.4949999916832894,0.011659211794511258,0.033388079016003755,0.001998261479008829,0.05595257089007646,0.008579014022344357,0.00019695418886840345,0.0001312832475382896,0.5935034667840228,0.048575758755187944,0.6496573709067889,0.053221429727242475,0.016534199891611933,0.0023448818211941596,1.1780410625622608,0.05671469587759233,6.42947650000001,0.35528858401312763,1.3086223874939606,0.05941182955569439,9.07206687927246,0.06319240549098992,0.1296875,0.15832819344727514,0.002829387690871954,0.0005116502387181051,0.053089670988265426,0.00831990300860428,48007.7,324.46778645105076,33628.3,285.68399402914423,63741.7,571.727994766742,1.0744982932541303,0.0028544958787888202,0.8274940400784431,0.0026765860905931067
12,Random sampling,10,14093.9,102.47433282968399,8.45634,0.06148459969781047,21.3,1.3374935098492586,8.43645190656,0.0,0.0068986897019259795,0.0,0.00017999999999999998,0.0001988857852023506,0.8934799999999999,0.001955505049852831,0.0004611838506874637,0.00021277513841927995,0.00598524753380571,0.00043702790585342324,0.4977540625957772,0.01946037554558019,0.03195818342501298,0.0012597417812949482,0.06139572508400306,0.007192308533780738,0.00011384580284357071,3.692612498375035e-06,0.6244104083976708,0.06699581737614141,0.6859235460171476,0.06868364972708983,0.015261033514980227,0.00039316433499170223,1.2156322253053076,0.08184621230905001,6.647746599999993,0.29011789126078724,1.3398222837015055,0.08074560392810813,9.000826835632324,0.05555383350756496,0.125,0.1836999175890458,0.0026295165182091294,0.00015162839646226553,0.05873852899530903,0.007229289351474509,47206.1,310.7029485251501,33085.3,201.7617131392602,62662.6,386.9249711938128,1.0750205095902985,0.002260824889584886,0.8296447370594813,0.0010889225297007281
