K,method,rep,seed,n,m,rho_n,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_theta_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,rs_sample_matrix_wall_sec,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
2,Random sampling,1,20460428,5000,3,4.0,40210,0.0004,0.99840032,0.9949079524628197,1.1968871660064906,0.08565479202661663,0.21448674995917827,0.021868541021831334,0,0.0,24.126,45.0,39960.009600000005,7.992001920000001,23.976005760000003,0.2498499699939988,0.006928625050932169,0.006225750083103776,124822,87359,0.7,171208,0.013196957996115088,6.754195783287287e-05,0.2012116250116378,1.0589095849873325,0.8696777689804336,1.497018082998693,5.76e-06,6.4e-07,sparse,4.311475,1.8862757500028238,23.061246871948242,257.75,307.9375,50.1875
2,Random sampling,2,20460429,5000,3,4.0,39748,0.0006,0.9976009600961152,0.9927619860305286,1.2271330000367016,0.09039087500423193,0.06178491597529501,0.022353457985445857,0,0.0,23.8488,43.0,39960.009600000005,7.992001920000001,23.976005760000003,0.2498499699939988,0.006355250021442771,0.006744957994669676,123368,86407,0.7,169323,0.013207374955527484,0.00013749999925494194,0.04843391594476998,1.0591792738649994,0.8719206394859437,1.379302665940486,5.76e-06,6.4e-07,sparse,3.6257420000000007,1.7535940839443356,22.788463592529297,305.9375,320.265625,14.328125
2,Random sampling,3,20460430,5000,3,4.0,39799,0.0012,0.9952048007683073,0.9866265052525154,1.198467707959935,0.08398487500380725,0.09171679196879268,0.02363766694907099,0,0.0,23.8794,44.0,39960.009600000005,7.992001920000001,23.976005760000003,0.2498499699939988,0.0056820830795913935,0.006056125042960048,123558,86209,0.7,168941,0.011830833973363042,7.137504871934652e-05,0.07980933296494186,1.0568919568440462,0.8702228640877835,1.3741641249507666,5.76e-06,6.4e-07,sparse,3.971793,1.7334188329987228,22.799567222595215,320.265625,323.828125,3.5625
2,Random sampling,4,20460431,5000,3,4.0,39702,0.0002,0.9991999999680128,0.9974539183766785,1.184819999965839,0.08314758294727653,0.05694733397103846,0.017274249927140772,0,0.0,23.8212,45.0,39960.009600000005,7.992001920000001,23.976005760000003,0.2498499699939988,0.0057069589383900166,0.0036642909981310368,123280,86539,0.7,169562,0.009436042048037052,5.391694139689207e-05,0.047454125015065074,1.0625299551062473,0.873498149952166,1.3249116669176146,5.76e-06,6.4e-07,sparse,3.7447459999999975,1.6690507079474628,22.779200553894043,323.828125,330.453125,6.625
2,Random sampling,5,20460432,5000,3,4.0,40003,0.0006,0.9976009600967296,0.9933127297827482,1.2281329170800745,0.08355241699609905,0.05620849994011223,0.022309083957225084,0,0.0,24.0018,44.0,39960.009600000005,7.992001920000001,23.976005760000003,0.2498499699939988,0.005537082906812429,0.006091791903600097,124164,87026,0.7,170545,0.011667959042824805,5.27920201420784e-05,0.04448433395009488,1.0610705156597766,0.8743540844641169,1.3678904190892354,5.76e-06,6.4e-07,sparse,3.813079000000002,1.719117792090401,22.93742084503174,330.453125,332.28125,1.828125
2,Random sampling,6,20460433,5000,3,4.0,40020,0.0004,0.9984003200002048,0.995307836010281,1.2073426250135526,0.09225374995730817,0.07466816692613065,0.01986474997829646,0,0.0,24.012,43.0,39960.009600000005,7.992001920000001,23.976005760000003,0.2498499699939988,0.00633545801974833,0.006610541953705251,124213,86855,0.7,170180,0.012965874979272485,0.00011429109144955873,0.0615824171109125,1.0609566042697622,0.870831182776591,1.3742589581524953,5.76e-06,6.4e-07,sparse,3.8279449999999997,1.7214419579831883,22.929606437683105,332.28125,334.140625,1.859375
2,Random sampling,7,20460434,5000,3,4.0,39934,0.0002,0.9991999999680128,0.9974539183766785,1.2545879170065746,0.08420620788820088,0.05599841696675867,0.02084987494163215,0,0.0,23.9604,40.0,39960.009600000005,7.992001920000001,23.976005760000003,0.2498499699939988,0.005631083040498197,0.0060829590074718,124018,86965,0.7,170441,0.011753250029869378,5.949998740106821e-05,0.04418233397882432,1.0601848977439854,0.8739627176701656,1.3947892088908702,5.76e-06,6.4e-07,sparse,3.817505999999998,1.7397617499809712,22.91228199005127,334.140625,341.640625,7.5
2,Random sampling,8,20460435,5000,3,4.0,40115,0.0004,0.99840032,0.9949079524628198,1.2041556249605492,0.08505233388859779,0.056746084010228515,0.016648042015731335,0,0.0,24.069,42.0,39960.009600000005,7.992001920000001,23.976005760000003,0.2498499699939988,0.0057269580429419875,0.0060587499756366014,124462,87268,0.7,171063,0.011818457976914942,5.237502045929432e-05,0.044871916994452477,1.0587916476121808,0.8715375990455511,1.3459507088409737,5.76e-06,6.4e-07,sparse,3.7649280000000047,1.6966991249937564,22.998351097106934,341.640625,343.90625,2.265625
2,Random sampling,9,20460436,5000,3,4.0,39993,0.0008,0.9968019202577405,0.9914156666299581,1.2278507919982076,0.08588525000959635,0.06767333403695375,0.017460125032812357,0,0.0,23.9958,44.0,39960.009600000005,7.992001920000001,23.976005760000003,0.2498499699939988,0.00542704202234745,0.0034500419860705733,124139,86933,0.7,170363,0.008929583942517638,5.4416945204138756e-05,0.05868558294605464,1.060654745114871,0.8676293354384162,1.3814056258415803,5.76e-06,6.4e-07,sparse,3.846825999999993,1.7284331250702962,22.924034118652344,343.90625,344.421875,0.515625
2,Random sampling,10,20460437,5000,3,4.0,40147,0.0,1.0,1.0,1.2384807500056922,0.08508920902386308,0.10201091691851616,0.021876291022635996,0,0.0,24.0882,46.0,39960.009600000005,7.992001920000001,23.976005760000003,0.2498499699939988,0.005895292037166655,0.0060681249015033245,124599,87369,0.7,171238,0.012000833987258375,5.6541990488767624e-05,0.08994970901403576,1.0600258215727894,0.8731281681431988,1.4255770440213382,5.76e-06,6.4e-07,sparse,4.099751999999995,1.7788622080115601,23.015893936157227,344.421875,344.46875,0.046875
