dataset,rep,method,time_sec,time_sec_excl_sampling,time_sampling_sec,target_rank,n_nodes,n_edges
DBLP,18,Non-random,0.3576127500127768,0.3576127500127768,0.0,3,317080,1049866
DBLP,19,Random Projection,0.4505581249977695,0.4505581249977695,0.0,3,317080,1049866
DBLP,19,CountSketch,0.4417847919976339,0.4417847919976339,0.0,3,317080,1049866
DBLP,19,Random Sampling,0.4162703330075601,0.33175325000775047,0.08451708299980965,3,317080,1049866
DBLP,19,Non-random,0.37387116700119805,0.37387116700119805,0.0,3,317080,1049866
DBLP,20,Random Projection,0.43327183299697936,0.43327183299697936,0.0,3,317080,1049866
DBLP,20,CountSketch,0.3815422090119682,0.3815422090119682,0.0,3,317080,1049866
DBLP,20,Random Sampling,0.3920819999912055,0.3145071659964742,0.07757483399473131,3,317080,1049866
DBLP,20,Non-random,0.3217089579993626,0.3217089579993626,0.0,3,317080,1049866
Youtube,1,Random Projection,1.4808570419991156,1.4808570419991156,0.0,7,1134890,2987624
Youtube,1,CountSketch,1.5062144590046955,1.5062144590046955,0.0,7,1134890,2987624
Youtube,1,Random Sampling,1.9906354999984615,1.771662416998879,0.2189730829995824,7,1134890,2987624
Youtube,1,Non-random,1.244782291003503,1.244782291003503,0.0,7,1134890,2987624
Youtube,2,Random Projection,1.4260930000018561,1.4260930000018561,0.0,7,1134890,2987624
Youtube,2,CountSketch,1.4748780840018298,1.4748780840018298,0.0,7,1134890,2987624
Youtube,2,Random Sampling,1.8088306249992456,1.5612710839923238,0.2475595410069218,7,1134890,2987624
Youtube,2,Non-random,1.1811611669982085,1.1811611669982085,0.0,7,1134890,2987624
Youtube,3,Random Projection,1.6738215410005068,1.6738215410005068,0.0,7,1134890,2987624
Youtube,3,CountSketch,1.3981269590003649,1.3981269590003649,0.0,7,1134890,2987624
Youtube,3,Random Sampling,1.9379906250105705,1.7130810410017148,0.22490958400885575,7,1134890,2987624
Youtube,3,Non-random,1.2514463330007857,1.2514463330007857,0.0,7,1134890,2987624
Youtube,4,Random Projection,1.4978863340074895,1.4978863340074895,0.0,7,1134890,2987624
Youtube,4,CountSketch,1.438211417000275,1.438211417000275,0.0,7,1134890,2987624
Youtube,4,Random Sampling,2.0993982499931008,1.8315266669960693,0.2678715829970315,7,1134890,2987624
Youtube,4,Non-random,1.297043249986018,1.297043249986018,0.0,7,1134890,2987624
Youtube,5,Random Projection,1.542381999999634,1.542381999999634,0.0,7,1134890,2987624
Youtube,5,CountSketch,1.3326518750109244,1.3326518750109244,0.0,7,1134890,2987624
Youtube,5,Random Sampling,1.889444291999098,1.6403656249894993,0.24907866700959858,7,1134890,2987624
Youtube,5,Non-random,1.2083145000069635,1.2083145000069635,0.0,7,1134890,2987624
Youtube,6,Random Projection,1.6326267910044407,1.6326267910044407,0.0,7,1134890,2987624
Youtube,6,CountSketch,1.4828717080090428,1.4828717080090428,0.0,7,1134890,2987624
Youtube,6,Random Sampling,1.9256428750086343,1.6890787919983268,0.2365640830103075,7,1134890,2987624
Youtube,6,Non-random,1.235431167006027,1.235431167006027,0.0,7,1134890,2987624
Youtube,7,Random Projection,1.7007042500044918,1.7007042500044918,0.0,7,1134890,2987624
Youtube,7,CountSketch,1.4300797920004698,1.4300797920004698,0.0,7,1134890,2987624
Youtube,7,Random Sampling,2.002450416999636,1.680487792007625,0.3219626249920111,7,1134890,2987624
Youtube,7,Non-random,1.1128429169912124,1.1128429169912124,0.0,7,1134890,2987624
Youtube,8,Random Projection,1.544537791996845,1.544537791996845,0.0,7,1134890,2987624
Youtube,8,CountSketch,1.5222253749961965,1.5222253749961965,0.0,7,1134890,2987624
Youtube,8,Random Sampling,1.8766316249966621,1.6557197919901228,0.22091183300653938,7,1134890,2987624
Youtube,8,Non-random,1.3859557500109076,1.3859557500109076,0.0,7,1134890,2987624
Youtube,9,Random Projection,1.5348563750012545,1.5348563750012545,0.0,7,1134890,2987624
Youtube,9,CountSketch,1.4833564170112368,1.4833564170112368,0.0,7,1134890,2987624
Youtube,9,Random Sampling,1.8292950000031851,1.607751959003508,0.22154304099967703,7,1134890,2987624
Youtube,9,Non-random,1.1642186660028528,1.1642186660028528,0.0,7,1134890,2987624
Youtube,10,Random Projection,1.4863423749920912,1.4863423749920912,0.0,7,1134890,2987624
Youtube,10,CountSketch,1.744773583006463,1.744773583006463,0.0,7,1134890,2987624
Youtube,10,Random Sampling,1.8307045840047067,1.6049447920086095,0.2257597919960972,7,1134890,2987624
Youtube,10,Non-random,1.2578395840100711,1.2578395840100711,0.0,7,1134890,2987624
Youtube,11,Random Projection,1.4291684169875225,1.4291684169875225,0.0,7,1134890,2987624
Youtube,11,CountSketch,1.526215208999929,1.526215208999929,0.0,7,1134890,2987624
Youtube,11,Random Sampling,1.7604260000080103,1.5450963339972077,0.2153296660108026,7,1134890,2987624
Youtube,11,Non-random,1.2914397090062266,1.2914397090062266,0.0,7,1134890,2987624
Youtube,12,Random Projection,1.4903601249970961,1.4903601249970961,0.0,7,1134890,2987624
Youtube,12,CountSketch,1.4693453750078334,1.4693453750078334,0.0,7,1134890,2987624
Youtube,12,Random Sampling,1.7659489170036977,1.5320627500041155,0.2338861669995822,7,1134890,2987624
Youtube,12,Non-random,1.4660374590021092,1.4660374590021092,0.0,7,1134890,2987624
Youtube,13,Random Projection,1.4317253329936648,1.4317253329936648,0.0,7,1134890,2987624
Youtube,13,CountSketch,1.468118416989455,1.468118416989455,0.0,7,1134890,2987624
Youtube,13,Random Sampling,1.8533940830093343,1.574642917010351,0.2787511659989832,7,1134890,2987624
Youtube,13,Non-random,1.4819233330053976,1.4819233330053976,0.0,7,1134890,2987624
Youtube,14,Random Projection,1.4980102909903508,1.4980102909903508,0.0,7,1134890,2987624
Youtube,14,CountSketch,1.3945496249943972,1.3945496249943972,0.0,7,1134890,2987624
Youtube,14,Random Sampling,1.8168064589990536,1.6031135840021307,0.2136928749969229,7,1134890,2987624
Youtube,14,Non-random,1.213986875009141,1.213986875009141,0.0,7,1134890,2987624
Youtube,15,Random Projection,1.3601998330123024,1.3601998330123024,0.0,7,1134890,2987624
Youtube,15,CountSketch,1.978274249995593,1.978274249995593,0.0,7,1134890,2987624
Youtube,15,Random Sampling,1.7092778750084108,1.4669220830110135,0.24235579199739732,7,1134890,2987624
Youtube,15,Non-random,1.2311244580050698,1.2311244580050698,0.0,7,1134890,2987624
Youtube,16,Random Projection,1.5706482079986017,1.5706482079986017,0.0,7,1134890,2987624
Youtube,16,CountSketch,1.3420194579957752,1.3420194579957752,0.0,7,1134890,2987624
Youtube,16,Random Sampling,1.8061992919974728,1.5789526250009658,0.22724666699650697,7,1134890,2987624
Youtube,16,Non-random,1.33616633299971,1.33616633299971,0.0,7,1134890,2987624
Youtube,17,Random Projection,1.438941916989279,1.438941916989279,0.0,7,1134890,2987624
Youtube,17,CountSketch,1.5153587919921847,1.5153587919921847,0.0,7,1134890,2987624
Youtube,17,Random Sampling,1.7770057089946931,1.53466112499882,0.2423445839958731,7,1134890,2987624
Youtube,17,Non-random,1.4897649589984212,1.4897649589984212,0.0,7,1134890,2987624
Youtube,18,Random Projection,1.5426957080053398,1.5426957080053398,0.0,7,1134890,2987624
Youtube,18,CountSketch,1.3441972080036066,1.3441972080036066,0.0,7,1134890,2987624
Youtube,18,Random Sampling,1.8276435839943588,1.5845754170004511,0.24306816699390765,7,1134890,2987624
Youtube,18,Non-random,1.2921276250126539,1.2921276250126539,0.0,7,1134890,2987624
Youtube,19,Random Projection,1.4578474160080077,1.4578474160080077,0.0,7,1134890,2987624
Youtube,19,CountSketch,1.4824995000089984,1.4824995000089984,0.0,7,1134890,2987624
Youtube,19,Random Sampling,1.9255617919989163,1.6995612919999985,0.2260004999989178,7,1134890,2987624
Youtube,19,Non-random,1.2403819999890402,1.2403819999890402,0.0,7,1134890,2987624
Youtube,20,Random Projection,1.3910799169971142,1.3910799169971142,0.0,7,1134890,2987624
Youtube,20,CountSketch,1.374313833002816,1.374313833002816,0.0,7,1134890,2987624
Youtube,20,Random Sampling,1.7815246249956544,1.531928374999552,0.24959624999610242,7,1134890,2987624
Youtube,20,Non-random,1.1989491250133142,1.1989491250133142,0.0,7,1134890,2987624
Internet,1,Random Projection,2.3961286669946276,2.3961286669946276,0.0,4,1696415,11095298
Internet,1,CountSketch,2.6181139170075767,2.6181139170075767,0.0,4,1696415,11095298
Internet,1,Random Sampling,2.4878895840083715,1.8223121670016553,0.6655774170067161,4,1696415,11095298
Internet,1,Non-random,2.000528167001903,2.000528167001903,0.0,4,1696415,11095298
Internet,2,Random Projection,2.555030583011103,2.555030583011103,0.0,4,1696415,11095298
Internet,2,CountSketch,2.4629240420035785,2.4629240420035785,0.0,4,1696415,11095298
Internet,2,Random Sampling,2.4151938750001136,1.760282791001373,0.6549110839987407,4,1696415,11095298
Internet,2,Non-random,1.9049417909991462,1.9049417909991462,0.0,4,1696415,11095298
Internet,3,Random Projection,2.5725357920018723,2.5725357920018723,0.0,4,1696415,11095298
Internet,3,CountSketch,2.563321375011583,2.563321375011583,0.0,4,1696415,11095298
Internet,3,Random Sampling,2.2716357080062153,1.6474197500065202,0.6242159579996951,4,1696415,11095298
Internet,3,Non-random,2.227934667011141,2.227934667011141,0.0,4,1696415,11095298
Internet,4,Random Projection,2.4375688750005793,2.4375688750005793,0.0,4,1696415,11095298
Internet,4,CountSketch,2.5987825420015724,2.5987825420015724,0.0,4,1696415,11095298
Internet,4,Random Sampling,2.451487999991514,1.820938707998721,0.6305492919927929,4,1696415,11095298
Internet,4,Non-random,1.9068950420041801,1.9068950420041801,0.0,4,1696415,11095298
Internet,5,Random Projection,2.563447166001424,2.563447166001424,0.0,4,1696415,11095298
Internet,5,CountSketch,2.465073833009228,2.465073833009228,0.0,4,1696415,11095298
Internet,5,Random Sampling,2.4115230000024894,1.744275958990329,0.6672470410121605,4,1696415,11095298
Internet,5,Non-random,1.7974358750070678,1.7974358750070678,0.0,4,1696415,11095298
Internet,6,Random Projection,2.6056907919992227,2.6056907919992227,0.0,4,1696415,11095298
Internet,6,CountSketch,2.6433354589971714,2.6433354589971714,0.0,4,1696415,11095298
Internet,6,Random Sampling,2.321927582990611,1.691505374998087,0.6304222079925239,4,1696415,11095298
Internet,6,Non-random,1.8767789589910535,1.8767789589910535,0.0,4,1696415,11095298
Internet,7,Random Projection,2.4396261670044623,2.4396261670044623,0.0,4,1696415,11095298
Internet,7,CountSketch,2.6123957910022,2.6123957910022,0.0,4,1696415,11095298
Internet,7,Random Sampling,2.4974718330049654,1.8101447079970967,0.6873271250078687,4,1696415,11095298
Internet,7,Non-random,1.932168042010744,1.932168042010744,0.0,4,1696415,11095298
Internet,8,Random Projection,2.5624955840030452,2.5624955840030452,0.0,4,1696415,11095298
Internet,8,CountSketch,2.504270625009667,2.504270625009667,0.0,4,1696415,11095298
Internet,8,Random Sampling,2.3571950839977944,1.678526083996985,0.6786690000008093,4,1696415,11095298
Internet,8,Non-random,1.8903476249979576,1.8903476249979576,0.0,4,1696415,11095298
Internet,9,Random Projection,2.487270083001931,2.487270083001931,0.0,4,1696415,11095298
Internet,9,CountSketch,2.5957745000050636,2.5957745000050636,0.0,4,1696415,11095298
Internet,9,Random Sampling,2.2897046670113923,1.666487375012366,0.6232172919990262,4,1696415,11095298
Internet,9,Non-random,1.9417761249933392,1.9417761249933392,0.0,4,1696415,11095298
Internet,10,Random Projection,2.4269926249980927,2.4269926249980927,0.0,4,1696415,11095298
Internet,10,CountSketch,2.574513333005598,2.574513333005598,0.0,4,1696415,11095298
Internet,10,Random Sampling,2.3943538750027074,1.762992417003261,0.6313614579994464,4,1696415,11095298
Internet,10,Non-random,1.897701916997903,1.897701916997903,0.0,4,1696415,11095298
Internet,11,Random Projection,2.7724287080054637,2.7724287080054637,0.0,4,1696415,11095298
Internet,11,CountSketch,2.495247124999878,2.495247124999878,0.0,4,1696415,11095298
Internet,11,Random Sampling,2.3591543749935227,1.671764249986154,0.6873901250073686,4,1696415,11095298
Internet,11,Non-random,1.993471583002247,1.993471583002247,0.0,4,1696415,11095298
Internet,12,Random Projection,2.4795550419948995,2.4795550419948995,0.0,4,1696415,11095298
Internet,12,CountSketch,2.5856710000080056,2.5856710000080056,0.0,4,1696415,11095298
Internet,12,Random Sampling,2.3291852080001263,1.6888142499956302,0.6403709580044961,4,1696415,11095298
Internet,12,Non-random,2.0932366249908227,2.0932366249908227,0.0,4,1696415,11095298
Internet,13,Random Projection,2.4953730830020504,2.4953730830020504,0.0,4,1696415,11095298
Internet,13,CountSketch,2.491739041011897,2.491739041011897,0.0,4,1696415,11095298
Internet,13,Random Sampling,2.383876957988832,1.7593955420015845,0.6244814159872476,4,1696415,11095298
Internet,13,Non-random,1.9615479999920353,1.9615479999920353,0.0,4,1696415,11095298
Internet,14,Random Projection,2.58260516700102,2.58260516700102,0.0,4,1696415,11095298
Internet,14,CountSketch,2.4924295420059934,2.4924295420059934,0.0,4,1696415,11095298
Internet,14,Random Sampling,2.5738869159977185,1.9233862499968382,0.6505006660008803,4,1696415,11095298
Internet,14,Non-random,2.2139382909954293,2.2139382909954293,0.0,4,1696415,11095298
Internet,15,Random Projection,2.5000065409985837,2.5000065409985837,0.0,4,1696415,11095298
Internet,15,CountSketch,2.730162209001719,2.730162209001719,0.0,4,1696415,11095298
Internet,15,Random Sampling,2.695477875007782,2.0359506249951664,0.6595272500126157,4,1696415,11095298
Internet,15,Non-random,1.9925222500023665,1.9925222500023665,0.0,4,1696415,11095298
Internet,16,Random Projection,2.638352041001781,2.638352041001781,0.0,4,1696415,11095298
Internet,16,CountSketch,2.547362625002279,2.547362625002279,0.0,4,1696415,11095298
Internet,16,Random Sampling,2.3825837910117116,1.7141823749989271,0.6684014160127845,4,1696415,11095298
Internet,16,Non-random,2.047105833000387,2.047105833000387,0.0,4,1696415,11095298
Internet,17,Random Projection,2.4893595419998746,2.4893595419998746,0.0,4,1696415,11095298
Internet,17,CountSketch,2.656062624999322,2.656062624999322,0.0,4,1696415,11095298
Internet,17,Random Sampling,2.4390949579974404,1.796988166999654,0.6421067909977864,4,1696415,11095298
Internet,17,Non-random,1.9899317910021637,1.9899317910021637,0.0,4,1696415,11095298
Internet,18,Random Projection,2.636681292002322,2.636681292002322,0.0,4,1696415,11095298
Internet,18,CountSketch,2.5784073329996318,2.5784073329996318,0.0,4,1696415,11095298
Internet,18,Random Sampling,2.458672916996875,1.80318483299925,0.6554880839976249,4,1696415,11095298
Internet,18,Non-random,2.224402292005834,2.224402292005834,0.0,4,1696415,11095298
Internet,19,Random Projection,2.5886113330052467,2.5886113330052467,0.0,4,1696415,11095298
Internet,19,CountSketch,2.6420058750081807,2.6420058750081807,0.0,4,1696415,11095298
Internet,19,Random Sampling,2.6061143340048147,1.9655436250031926,0.6405707090016222,4,1696415,11095298
Internet,19,Non-random,1.9826853340055095,1.9826853340055095,0.0,4,1696415,11095298
Internet,20,Random Projection,2.540784208002151,2.540784208002151,0.0,4,1696415,11095298
Internet,20,CountSketch,2.497133374999976,2.497133374999976,0.0,4,1696415,11095298
Internet,20,Random Sampling,2.355941999994684,1.725041166995652,0.630900832999032,4,1696415,11095298
Internet,20,Non-random,1.9455891249963315,1.9455891249963315,0.0,4,1696415,11095298
