dataset,n_nodes,n_edges,target_rank,random_projection_median_sec,countsketch_median_sec,random_sampling_median_sec,random_sampling_excl_sampling_median_sec,non_random_median_sec,partial_eigen_median_sec,random_sampling_display
DBLP,317080,1049866,3,0.44646377099707024,0.45417387549969135,0.4299515419988893,0.347870541496377,0.34792429149820236,0.34792429149820236,0.430(0.348)
Youtube,1134890,2987624,7,1.4941232295022928,1.4721117295048316,1.829999792003946,1.60402918800537,1.2481143120021443,1.2481143120021443,1.830(1.604)
Internet,1696415,11095298,4,2.547907395506627,2.576460333002615,2.4029384375025984,1.7598391665014788,1.9721166669987724,1.9721166669987724,2.403(1.760)
