rep,step,method,sec,note
3,eigendecomp,Non-random,0.13989708400913514,
3,nr_eig_eigsh_solver,Non-random,0.1391667910211254,
3,nr_eig_sort_eigpairs,Non-random,0.0006796660018153489,
3,nr_eig_eigendecomp_total,Non-random,0.13984645702294074,
3,kmeans,Non-random,0.6055779589805752,
3,method_total,Non-random,0.7454750429897103,
3,pairwise_ari,,0.06616191600915045,
4,eigendecomp,Random Projection,0.21532741698320024,
4,rp_test_matrix,Random Projection,0.0160700409905985,
4,rp_power_matmul_1,Random Projection,0.021830499987117946,
4,rp_power_matmul_2,Random Projection,0.02149033299065195,
4,rp_power_matmul_3,Random Projection,0.022517165984027088,
4,rp_power_matmul_4,Random Projection,0.021513332991162315,
4,rp_power_matmul_5,Random Projection,0.021798458008561283,
4,rp_power_matmul_total,Random Projection,0.10914978996152058,
4,rp_qr,Random Projection,0.062398499983828515,
4,rp_A_times_Q,Random Projection,0.021813749975990504,
4,rp_Qt_times_AQ,Random Projection,0.0015265830152202398,
4,rp_symmetrize_small,Random Projection,1.3832992408424616e-05,
4,rp_small_eigh,Random Projection,5.066700396127999e-05,
4,rp_sort_eigpairs,Random Projection,1.229200279340148e-05,
4,rp_back_projection,Random Projection,0.002916208002716303,
4,rp_eigendecomp_total,Random Projection,0.21395166392903775,
4,kmeans,Random Projection,0.3379914580145851,
4,method_total,Random Projection,0.5533188749977853,
4,sampling,Random Sampling,0.06064866701490246,
4,rs_sampling_mask,Random Sampling,0.0034514169965405017,
4,rs_sampling_select_edges,Random Sampling,0.005937042005825788,
4,rs_sampling_weights,Random Sampling,0.00020158299594186246,
4,rs_sampling_stack_symmetry,Random Sampling,0.0019209580204915255,
4,rs_sampling_build_sparse,Random Sampling,0.017964665981708094,
4,rs_sampling_finalize_sparse,Random Sampling,0.029497332987375557,
4,rs_sampling_total,Random Sampling,0.05897299898788333,
4,eigendecomp,Random Sampling,0.13237200002186,
4,rs_eig_eigsh_solver,Random Sampling,0.13181887500104494,
4,rs_eig_sort_eigpairs,Random Sampling,0.0004866250092163682,
4,rs_eig_eigendecomp_total,Random Sampling,0.1323055000102613,
4,kmeans,Random Sampling,0.5917983339750208,
4,method_total,Random Sampling,0.7848190010117833,
4,eigendecomp,Non-random,0.1390220409957692,
4,nr_eig_eigsh_solver,Non-random,0.1380170000193175,
4,nr_eig_sort_eigpairs,Non-random,0.0006590420089196414,
4,nr_eig_eigendecomp_total,Non-random,0.13867604202823713,
4,kmeans,Non-random,0.5977777910011355,
4,method_total,Non-random,0.7367998319969047,
4,pairwise_ari,,0.028768916992703453,
5,eigendecomp,Random Projection,0.21578825000324287,
5,rp_test_matrix,Random Projection,0.016160416009370238,
5,rp_power_matmul_1,Random Projection,0.021059124992461875,
5,rp_power_matmul_2,Random Projection,0.02214383298996836,
5,rp_power_matmul_3,Random Projection,0.02153266701498069,
5,rp_power_matmul_4,Random Projection,0.022432166995713487,
5,rp_power_matmul_5,Random Projection,0.021325209003407508,
5,rp_power_matmul_total,Random Projection,0.10849300099653192,
5,rp_qr,Random Projection,0.06397812499199063,
5,rp_A_times_Q,Random Projection,0.02087745800963603,
5,rp_Qt_times_AQ,Random Projection,0.001299083000048995,
5,rp_symmetrize_small,Random Projection,9.334005881100893e-06,
5,rp_small_eigh,Random Projection,5.425000563263893e-05,
5,rp_sort_eigpairs,Random Projection,1.3250013580545783e-05,
5,rp_back_projection,Random Projection,0.0027945830079261214,
5,rp_eigendecomp_total,Random Projection,0.2136795000405982,
5,kmeans,Random Projection,0.32576454200898297,
5,method_total,Random Projection,0.5415527920122258,
5,sampling,Random Sampling,0.06115449999924749,
5,rs_sampling_mask,Random Sampling,0.00356045801891014,
5,rs_sampling_select_edges,Random Sampling,0.006028333998983726,
5,rs_sampling_weights,Random Sampling,0.00022737501421943307,
5,rs_sampling_stack_symmetry,Random Sampling,0.0017706249782349914,
5,rs_sampling_build_sparse,Random Sampling,0.017961959005333483,
5,rs_sampling_finalize_sparse,Random Sampling,0.030492124991724268,
5,rs_sampling_total,Random Sampling,0.06004087600740604,
5,eigendecomp,Random Sampling,0.13496333299553953,
5,rs_eig_eigsh_solver,Random Sampling,0.1343539170047734,
5,rs_eig_sort_eigpairs,Random Sampling,0.0005523749860003591,
5,rs_eig_eigendecomp_total,Random Sampling,0.13490629199077375,
5,kmeans,Random Sampling,0.6039992499863729,
5,method_total,Random Sampling,0.8001170829811599,
5,eigendecomp,Non-random,0.158934417006094,
5,nr_eig_eigsh_solver,Non-random,0.15835320798214525,
5,nr_eig_sort_eigpairs,Non-random,0.0005122919974382967,
5,nr_eig_eigendecomp_total,Non-random,0.15886549997958355,
5,kmeans,Non-random,0.6435941670206375,
5,method_total,Non-random,0.8025285840267316,
5,pairwise_ari,,0.03503995799110271,
6,eigendecomp,Random Projection,0.24133729201275855,
6,rp_test_matrix,Random Projection,0.016512000001966953,
6,rp_power_matmul_1,Random Projection,0.024318042007507756,
6,rp_power_matmul_2,Random Projection,0.024999292014399543,
6,rp_power_matmul_3,Random Projection,0.02650058301514946,
6,rp_power_matmul_4,Random Projection,0.024590375018306077,
6,rp_power_matmul_5,Random Projection,0.023297584004467353,
6,rp_power_matmul_total,Random Projection,0.12370587605983019,
6,rp_qr,Random Projection,0.06732474997988902,
6,rp_A_times_Q,Random Projection,0.026782917004311457,
6,rp_Qt_times_AQ,Random Projection,0.0025381250015925616,
6,rp_symmetrize_small,Random Projection,1.775001874193549e-05,
6,rp_small_eigh,Random Projection,5.3417024901136756e-05,
6,rp_sort_eigpairs,Random Projection,1.258301199413836e-05,
6,rp_back_projection,Random Projection,0.0029392919968813658,
6,rp_eigendecomp_total,Random Projection,0.23988671010010876,
6,kmeans,Random Projection,0.35209808399667963,
6,method_total,Random Projection,0.5934353760094382,
6,sampling,Random Sampling,0.06171866599470377,
6,rs_sampling_mask,Random Sampling,0.0034666660067159683,
6,rs_sampling_select_edges,Random Sampling,0.0059237910027150065,
6,rs_sampling_weights,Random Sampling,0.00017450001905672252,
6,rs_sampling_stack_symmetry,Random Sampling,0.001679874985711649,
6,rs_sampling_build_sparse,Random Sampling,0.018183083011535928,
6,rs_sampling_finalize_sparse,Random Sampling,0.03088712500175461,
6,rs_sampling_total,Random Sampling,0.060315040027489886,
6,eigendecomp,Random Sampling,0.13250737497583032,
6,rs_eig_eigsh_solver,Random Sampling,0.13197445799596608,
6,rs_eig_sort_eigpairs,Random Sampling,0.0004895830061286688,
6,rs_eig_eigendecomp_total,Random Sampling,0.13246404100209475,
6,kmeans,Random Sampling,0.6159948330023326,
6,method_total,Random Sampling,0.8102208739728667,
6,eigendecomp,Non-random,0.13956379200681113,
6,nr_eig_eigsh_solver,Non-random,0.1387230419786647,
6,nr_eig_sort_eigpairs,Non-random,0.0007650410116184503,
6,nr_eig_eigendecomp_total,Non-random,0.13948808299028315,
6,kmeans,Non-random,0.6142874170036521,
6,method_total,Non-random,0.7538512090104632,
6,pairwise_ari,,0.06783899999572895,
7,eigendecomp,Random Projection,0.23827387497294694,
7,rp_test_matrix,Random Projection,0.016189125017262995,
7,rp_power_matmul_1,Random Projection,0.022358874994097278,
7,rp_power_matmul_2,Random Projection,0.02497241599485278,
7,rp_power_matmul_3,Random Projection,0.02450295799644664,
7,rp_power_matmul_4,Random Projection,0.02557829100987874,
7,rp_power_matmul_5,Random Projection,0.023872416000813246,
7,rp_power_matmul_total,Random Projection,0.12128495599608868,
7,rp_qr,Random Projection,0.06892620801227167,
7,rp_A_times_Q,Random Projection,0.024706540978513658,
7,rp_Qt_times_AQ,Random Projection,0.0020843330130446702,
7,rp_symmetrize_small,Random Projection,2.462498378008604e-05,
7,rp_small_eigh,Random Projection,9.950000094249845e-05,
7,rp_sort_eigpairs,Random Projection,2.5749992346391082e-05,
7,rp_back_projection,Random Projection,0.0033726670080795884,
7,rp_eigendecomp_total,Random Projection,0.23671370500233024,
7,kmeans,Random Projection,0.36515791597776115,
7,method_total,Random Projection,0.6034317909507081,
7,sampling,Random Sampling,0.061430249974364415,
7,rs_sampling_mask,Random Sampling,0.0037658340006601065,
7,rs_sampling_select_edges,Random Sampling,0.006145666993688792,
7,rs_sampling_weights,Random Sampling,0.00023858400527387857,
7,rs_sampling_stack_symmetry,Random Sampling,0.0017913329938892275,
7,rs_sampling_build_sparse,Random Sampling,0.018237665994092822,
7,rs_sampling_finalize_sparse,Random Sampling,0.02985462499782443,
7,rs_sampling_total,Random Sampling,0.06003370898542926,
7,eigendecomp,Random Sampling,0.13916470800177194,
7,rs_eig_eigsh_solver,Random Sampling,0.13857433400698937,
7,rs_eig_sort_eigpairs,Random Sampling,0.0005372500163502991,
7,rs_eig_eigendecomp_total,Random Sampling,0.13911158402333967,
7,kmeans,Random Sampling,0.6394499159941915,
7,method_total,Random Sampling,0.8400448739703279,
7,eigendecomp,Non-random,0.1457770410052035,
7,nr_eig_eigsh_solver,Non-random,0.14517991698812693,
7,nr_eig_sort_eigpairs,Non-random,0.0005110829952172935,
7,nr_eig_eigendecomp_total,Non-random,0.14569099998334423,
7,kmeans,Non-random,0.6143577080219984,
7,method_total,Non-random,0.7601347490272019,
7,pairwise_ari,,0.030799750005826354,
8,eigendecomp,Random Projection,0.21806495799683034,
8,rp_test_matrix,Random Projection,0.016081333975307643,
8,rp_power_matmul_1,Random Projection,0.02144137502182275,
8,rp_power_matmul_2,Random Projection,0.022125042014522478,
8,rp_power_matmul_3,Random Projection,0.022166083013871685,
8,rp_power_matmul_4,Random Projection,0.021262583002680913,
8,rp_power_matmul_5,Random Projection,0.0227612919989042,
8,rp_power_matmul_total,Random Projection,0.10975637505180202,
8,rp_qr,Random Projection,0.06339083300554194,
8,rp_A_times_Q,Random Projection,0.022284415987087414,
8,rp_Qt_times_AQ,Random Projection,0.0016927079996094108,
8,rp_symmetrize_small,Random Projection,1.2750009773299098e-05,
8,rp_small_eigh,Random Projection,5.1458016969263554e-05,
8,rp_sort_eigpairs,Random Projection,1.3082986697554588e-05,
8,rp_back_projection,Random Projection,0.0030083749734330922,
8,rp_eigendecomp_total,Random Projection,0.21629133200622164,
8,kmeans,Random Projection,0.3430623750027735,
8,method_total,Random Projection,0.5611273329996038,
8,sampling,Random Sampling,0.06097108402173035,
8,rs_sampling_mask,Random Sampling,0.003923959011444822,
8,rs_sampling_select_edges,Random Sampling,0.0057283750211354345,
8,rs_sampling_weights,Random Sampling,0.00019762502051889896,
8,rs_sampling_stack_symmetry,Random Sampling,0.0016647919837851077,
8,rs_sampling_build_sparse,Random Sampling,0.018546708015492186,
8,rs_sampling_finalize_sparse,Random Sampling,0.02956558298319578,
8,rs_sampling_total,Random Sampling,0.05962704203557223,
8,eigendecomp,Random Sampling,0.13713374998769723,
8,rs_eig_eigsh_solver,Random Sampling,0.13661833299556747,
