method,median_time_sec,median_time_excl_sampling_sec,median_sample_sec,median_eig_sec,median_kmeans_sec
Random Projection,0.5758065004920354,,0.0,0.2268465419911081,0.34771179150266107
Random Sampling,0.8033783955033869,0.7413964994921116,0.06196377049491275,0.1365151874924777,0.6046587494929554
Non-random,0.753705646013259,,0.0,0.14296050049597397,0.6070022499916377
