rho_n,method,rep,seed,n,K,m,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,hypergraph_laplacian_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_core_eigensolver,rp_lift_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
2.0,Gaussian random projection,6,220260433,5000,3,3,12708,0.15,0.6004761983457945,0.5209558640433832,0.3328843329945812,0.0255581249948591,0.33774745800474193,0.022519917009049095,5,0.001,7.6248,21.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.003290124994236976,0.02687095799774397,0.06111066701123491,0.01909312499628868,0.0015580420003971085,eigsh,0.00029262500174809247,0.1127854579972336,9.820899867918342e-05,0.22486004100937862,0.9997359469303124,0.7234110523883419,0.6961861659947317,2.88e-06,3.2e-07,sparse,4.493415999999996,0.8024767080059974,30.318345069885254,421.75,430.015625,8.265625
2.0,Gaussian random projection,7,220260434,5000,3,3,12690,0.1524,0.5949141722932297,0.5154338192301838,0.33944470799178816,0.026318332995288074,0.34807399999408517,0.016991708005662076,1,0.0002,7.614,20.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.003810207999777049,0.03035466700384859,0.061812750005628914,0.007737250009085983,0.001568333012983203,eigsh,0.0033397499937564135,0.10938720799458679,0.001667415999691002,0.23701479099690914,0.9997632027929787,0.7249172037547184,0.7138324559782632,2.88e-06,3.2e-07,sparse,4.576526000000001,0.808921999996528,30.312411308288574,430.015625,436.421875,6.40625
2.0,Gaussian random projection,8,220260435,5000,3,3,12538,0.1614,0.5743104842598363,0.4966683555174445,0.33169337500294205,0.025198749994160607,0.36670383300224785,0.013766708987532184,4,0.0008,7.5228,21.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.0033545409969519824,0.027137375000165775,0.043045041005825624,0.013445874996250495,0.0016895000007934868,eigsh,0.00121795799350366,0.09043083299184218,0.00012075000267941505,0.2761487079988001,0.9997322504973836,0.7256067360047564,0.7235924159904243,2.88e-06,3.2e-07,sparse,4.894511000000023,0.813088124996284,30.25607967376709,436.421875,442.640625,6.21875
2.0,Gaussian random projection,9,220260436,5000,3,3,12507,0.1538,0.5917633341855791,0.5129548639862089,0.34356395799841266,0.024563250000937842,0.37237304099835455,0.014247917002649046,3,0.0006,7.5042,18.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.0033646250085439533,0.027381624997360632,0.05813750000379514,0.009827999994740821,0.0037093749997438863,eigsh,0.00030433399660978466,0.10377054099808447,0.0004006249946542084,0.26819587500358466,0.9997836803951401,0.7280895031742933,0.7404942489956738,2.88e-06,3.2e-07,sparse,4.8291810000000055,0.8280572919902625,30.244460105895996,442.640625,443.03125,0.390625
2.0,Gaussian random projection,10,220260437,5000,3,3,12588,0.1442,0.6140639499738241,0.5339229523945317,0.33496387499326374,0.024208082992117852,0.3042844590090681,0.027611166995484382,1,0.0002,7.5528,19.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.0032832090073497966,0.026256249999278225,0.04524837499775458,0.006030125005054288,0.0014841249940218404,eigsh,0.00044741699821315706,0.08369533400400542,0.0004590410098899156,0.2201247499906458,0.9997899051273612,0.7265182663525757,0.6634510829899227,2.88e-06,3.2e-07,sparse,4.5727170000000115,0.771492458996363,30.27449893951416,443.03125,443.03125,0.0
4.0,Gaussian random projection,1,420260428,5000,3,3,25519,0.0248,0.9269915209904053,0.8800753965429555,0.6753225419961382,0.05183941699215211,0.2570377080119215,0.02379541601112578,0,0.0,15.3114,31.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.0035526670108083636,0.05246083399106283,0.05273733400099445,0.010693958000047132,0.0015401669952552766,eigsh,0.001964416995178908,0.1239199169940548,0.0005874170019524172,0.1325257499993313,0.9999781806951096,0.6855980363125922,0.9841950429836288,5.76e-06,6.4e-07,sparse,4.848244000000022,1.215764708002098,34.933403968811035,443.03125,447.015625,3.984375
4.0,Gaussian random projection,2,420260429,5000,3,3,25326,0.0226,0.9333466640893509,0.8878539306221662,0.6593857500120066,0.04719283299345989,0.32484904199372977,0.028924917001859285,0,0.0,15.1956,29.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.0034253339981660247,0.046834291992126964,0.05019645900756586,0.020654166000895202,0.0034410840016789734,eigsh,0.0006162500067148358,0.12575145899609197,0.0002444160054437816,0.1988476249971427,0.9999811382779595,0.6904337644636516,1.031422083004145,5.76e-06,6.4e-07,sparse,5.069636000000003,1.2287529580062255,34.8633451461792,446.015625,447.546875,1.53125
4.0,Gaussian random projection,3,420260430,5000,3,3,24917,0.0276,0.9188960807738072,0.8679522502045433,0.6480550830019638,0.04639283400319982,0.3990716669941321,0.014218166994396597,0,0.0,14.9502,30.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.0034155000030295923,0.04684333399927709,0.05251108399534132,0.0183041249983944,0.002922958999988623,eigsh,0.0002952919894596562,0.1259689580037957,0.001267041006940417,0.27182925000670366,0.9999786387211655,0.6922098206163544,1.0935131660226034,5.76e-06,6.4e-07,sparse,5.454226000000006,1.2760933749959804,34.71963977813721,447.046875,447.90625,0.859375
4.0,Gaussian random projection,4,420260431,5000,3,3,25209,0.024,0.9292415794979199,0.8828299260460104,0.6602492090023588,0.050719582999590784,0.3270156669896096,0.021093791001476347,0,0.0,15.1254,34.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.0033705829991959035,0.05221700000402052,0.05862599999818485,0.011430459009716287,0.0016670420009177178,eigsh,0.0005952079955022782,0.13105199999699835,0.0005033329944126308,0.19545475000631995,0.9999747386178409,0.6879251453260198,1.0379788749996806,5.76e-06,6.4e-07,sparse,4.945762000000002,1.2377563750051195,34.820937156677246,447.859375,447.078125,-0.78125
4.0,Gaussian random projection,5,420260432,5000,3,3,25154,0.0238,0.9298337746532963,0.8831637011587349,0.6996385829988867,0.0493164590006927,0.34493033299804665,0.02480983299028594,0,0.0,15.0924,32.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.003398166998522356,0.0635710419883253,0.07005241699516773,0.009731500002089888,0.0033824159909272566,eigsh,0.0008005420095287263,0.15135258399823215,0.00033608300145715475,0.1932353750016773,0.9999815168985098,0.6903602264587401,1.093879084000946,5.76e-06,6.4e-07,sparse,5.042484999999999,1.2958012499875622,34.8035364151001,447.078125,447.15625,0.078125
4.0,Gaussian random projection,6,420260433,5000,3,3,25076,0.0224,0.9339285018629999,0.8891355671090062,0.6533453339943662,0.04751895800291095,0.28746670800319407,0.02032708299520891,0,0.0,15.0456,30.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.0032757500011939555,0.044838832996902056,0.05304358300054446,0.008982375002233312,0.0014860000082990155,eigsh,0.00047566699504386634,0.11284066700318363,9.941599273588508e-05,0.174523167006555,0.9999806821432148,0.6849317144143927,0.9883275419997517,5.76e-06,6.4e-07,sparse,4.7234140000000195,1.1890495419938816,34.771742820739746,447.15625,447.875,0.71875
4.0,Gaussian random projection,7,420260434,5000,3,3,25157,0.0232,0.9315919866551514,0.8854967412144688,0.6561554170039017,0.048636291990987957,0.3788302499888232,0.01729141699615866,0,0.0,15.0942,32.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.0034751670027617365,0.04977141600102186,0.05807829200057313,0.010514458001125604,0.0031283330026781186,eigsh,0.0006715410127071664,0.12677283299854025,0.0004812920087715611,0.2515703340031905,0.9999804767113738,0.6871310926676247,1.083616168005392,5.76e-06,6.4e-07,sparse,5.040704000000005,1.2657030000118539,34.8052282333374,447.875,448.015625,0.140625
4.0,Gaussian random projection,8,420260435,5000,3,3,25161,0.0246,0.9275402434128269,0.8798908781269072,0.6654187920066761,0.04806741699576378,0.28986695798812434,0.023024125010124408,0,0.0,15.0966,32.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.003303999998024665,0.04635762500402052,0.0544668329966953,0.014709459006553516,0.0032595410011708736,eigsh,0.0003105829964624718,0.12360991699097212,0.0006335000070976093,0.16561891698802356,0.99998120591743,0.684748423986901,1.0033485429885332,5.76e-06,6.4e-07,sparse,4.786576999999966,1.210679750001873,34.80139636993408,448.015625,448.015625,0.0
4.0,Gaussian random projection,9,420260436,5000,3,3,25100,0.0222,0.9345076939573295,0.8895983709727476,0.6489284580020467,0.046990083006676286,0.304167750000488,0.02604041699669324,0,0.0,15.06,34.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.0034271659969817847,0.046379249994060956,0.04979537500184961,0.009270374997868203,0.0015418340044561774,eigsh,0.00028520899650175124,0.11108566599432379,9.883299935609102e-05,0.19297920798999257,0.9999786375394077,0.6915286537957382,1.0000822479923954,5.76e-06,6.4e-07,sparse,4.856628000000001,1.1995879580063047,34.78413486480713,448.015625,448.015625,0.0
4.0,Gaussian random projection,10,420260437,5000,3,3,25038,0.022,0.9350812434594681,0.890236521909254,0.6499187080044067,0.04769958299584687,0.3102061249956023,0.02398850000463426,0,0.0,15.0228,29.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.0032600410049781203,0.046410708004259504,0.05505958299909253,0.018268625004566275,0.00303183299547527,eigsh,0.001140291991760023,0.12931387500429992,0.000541499990504235,0.18034629100293387,0.9999826886834737,0.6907656967175674,1.0078199569979915,5.76e-06,6.4e-07,sparse,4.892776000000026,1.2130702909926185,34.75857067108154,448.015625,448.015625,0.0
8.0,Gaussian random projection,1,820260428,5000,3,3,50446,0.0006,0.998200360072072,0.995402410188165,1.3459217919880757,0.09462591700139455,0.31706000000122003,0.025655958990682848,0,0.0,30.2676,54.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.003341167001053691,0.08457945899863262,0.05349887500051409,0.013010208000196144,0.0034715000074356794,eigsh,0.002183999997214414,0.1608342910039937,0.0007651250052731484,0.155452624996542,0.9999968154176824,0.66741417968581,1.7575997499952791,1.152e-05,1.28e-06,sparse,5.550207999999998,2.120797166004195,43.87191104888916,448.015625,459.859375,11.84375
8.0,Gaussian random projection,2,820260429,5000,3,3,50352,0.0008,0.9976007204804033,0.9941222151280513,1.3158489160123281,0.09613891600747593,0.36014445799810346,0.02311583400296513,0,0.0,30.2112,52.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.0034148340055253357,0.08446533301321324,0.09168312500696629,0.030026583990547806,0.0033437500096624717,eigsh,0.00037995900493115187,0.21391474999836646,0.00014145900786388665,0.1460837500053458,0.9999971322076604,0.6682318216250637,1.7721277910313802,1.152e-05,1.28e-06,sparse,5.8509840000000395,2.1566191669990076,43.84309482574463,457.859375,461.625,3.765625
8.0,Gaussian random projection,3,820260430,5000,3,3,50061,0.0016,0.9952045042015769,0.9890019248782425,1.3168935410067206,0.09644700000353623,0.2968204580101883,0.01920208299998194,0,0.0,30.0366,51.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.0032520829990971833,0.08386708299804013,0.04587337499833666,0.021878665997064672,0.0023812079889466986,eigsh,0.0002083750005112961,0.15785779200086836,0.0003892090026056394,0.13856795799802057,0.999997179515586,0.6654112036861121,1.7101555000117514,1.152e-05,1.28e-06,sparse,5.379580000000033,2.067463667000993,43.739182472229004,459.625,469.40625,9.78125
8.0,Gaussian random projection,4,820260431,5000,3,3,50628,0.001,0.9970016207084429,0.9925899222507982,1.317319999987376,0.09965474999626167,0.3852397500013467,0.020672291997470893,0,0.0,30.3768,55.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.00341949998983182,0.11185308400308713,0.06491108301270287,0.024778542006970383,0.0015788329910719767,eigsh,0.0005451670003822073,0.20853295898996294,0.0002131670044036582,0.17648766600177623,0.9999968714498271,0.6694950394894689,1.8022085419797804,1.152e-05,1.28e-06,sparse,5.849654999999984,2.1689254169905325,43.94253635406494,468.40625,468.90625,0.5
8.0,Gaussian random projection,5,820260432,5000,3,3,50009,0.0014,0.9958039624250503,0.9901251706119965,1.30690691700147,0.09343941599945538,0.35010899999178946,0.01699675001145806,0,0.0,30.0054,51.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.00323204199958127,0.08409162500174716,0.05680908399517648,0.022379207992344163,0.005518332996871322,eigsh,0.00029779100441373885,0.1733825420087669,0.00020754100114572793,0.17651449999539182,0.9999974007954748,0.6685803395896672,1.7504509160062298,1.152e-05,1.28e-06,sparse,5.821350999999993,2.1066539169987664,43.72236919403076,468.90625,469.640625,0.734375
8.0,Gaussian random projection,6,820260433,5000,3,3,50370,0.0014,0.9958028814888351,0.9895251714387666,1.3114021249930374,0.09980650000215974,0.2996051669906592,0.026533374999416992,0,0.0,30.222,51.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.0034879170125350356,0.09257224999601021,0.054131041004438885,0.026139250010601245,0.0016024170035962015,eigsh,0.0002459579991409555,0.1789838340046117,0.00016116700135171413,0.12045566699816845,0.9999975065852689,0.6680147865482579,1.710809292999329,1.152e-05,1.28e-06,sparse,5.296411999999975,2.086606875003781,43.84280300140381,469.640625,469.859375,0.21875
8.0,Gaussian random projection,7,820260434,5000,3,3,49837,0.001,0.9970016214289176,0.9925899208282901,1.306223042003694,0.09619383300014306,0.40433304199541453,0.031210583008942194,0,0.0,29.9022,53.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.003282374993432313,0.08377266699972097,0.054533416012418456,0.023855125007685274,0.00314250000519678,eigsh,0.0011088750034105033,0.17129570900578983,0.00025183300022035837,0.2327796669997042,0.9999966869803605,0.6671380683043256,1.8067440840095514,1.152e-05,1.28e-06,sparse,6.344810999999993,2.139411750002182,43.65956211090088,469.859375,470.109375,0.25
8.0,Gaussian random projection,8,820260435,5000,3,3,50147,0.0012,0.9964025225933664,0.9913098888751156,1.3228462080005556,0.09838075000152458,0.3693536659993697,0.018055041000479832,0,0.0,30.0882,52.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.0035979579988634214,0.09067600000707898,0.05593304199283011,0.026400790986372158,0.0023322499910136685,eigsh,0.0004939159989589825,0.18002504100149963,0.0003040409937966615,0.18902029099990614,0.9999977714379522,0.667930584942389,1.7905763309972826,1.152e-05,1.28e-06,sparse,5.921734000000015,2.1421351250028238,43.77212429046631,470.109375,470.0625,-0.046875
8.0,Gaussian random projection,9,820260436,5000,3,3,50452,0.0004,0.9988000000961729,0.9969348669751001,1.329057000009925,0.09556175000034273,0.32208333400194533,0.023218999995151535,0,0.0,30.2712,52.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.0033410840114811435,0.08511162499780767,0.057867041003191844,0.03007016598712653,0.0030771250021643937,eigsh,0.0003141659981338307,0.1810851670015836,0.000497832996188663,0.14049587500630878,0.9999968179527053,0.6691520397751387,1.7466976250143489,1.152e-05,1.28e-06,sparse,5.636637999999948,2.129171167005552,43.87287521362305,470.0625,470.234375,0.171875
8.0,Gaussian random projection,10,820260437,5000,3,3,50418,0.0004,0.998799999952,0.9969348672771586,1.3363866250001593,0.10151812499680091,0.3615051249944372,0.021403000006102957,0,0.0,30.2508,49.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.003290334003395401,0.08550958300475031,0.04994804199668579,0.026505375004489906,0.00392775000364054,eigsh,0.0005768330011051148,0.17046595799911302,0.0006802499992772937,0.19035208300920203,0.9999970721851872,0.6678757343389023,1.7994030410045525,1.152e-05,1.28e-06,sparse,5.962233000000026,2.148793291999027,43.86672878265381,470.234375,471.15625,0.921875
16.0,Gaussian random projection,1,1620260428,5000,3,3,100551,0.0,1.0,1.0,2.6375315000041155,0.20585820799169596,0.5386258340004133,0.018275541995535605,0,0.0,60.3306,90.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,0.003319208000903018,0.18010716699063778,0.058831875008763745,0.04999237500305753,0.005862791993422434,eigsh,0.00029716700373683125,0.2996828749892302,0.00021808299061376601,0.23871954099740833,0.9999991681134679,0.658136990948066,3.3820102069730638,2.304e-05,2.56e-06,sparse,8.351657000000046,4.041932874999475,61.72781467437744,471.15625,484.671875,13.515625
16.0,Gaussian random projection,2,1620260429,5000,3,3,100095,0.0,1.0,1.0,2.6445875829958823,0.20692570800019894,0.43078429099114146,0.023679791993345134,0,0.0,60.057,93.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,0.003539415993145667,0.16791220799495932,0.06092791599803604,0.04270829100278206,0.0016229589964495972,eigsh,0.001066333003109321,0.278217583996593,0.00010075001046061516,0.1524602080025943,0.9999992730732481,0.6573984957859401,3.282291833005729,2.304e-05,2.56e-06,sparse,7.525155999999981,4.015395041991724,61.56726551055908,478.671875,484.359375,5.6875
16.0,Gaussian random projection,3,1620260430,5000,3,3,100475,0.0,1.0,1.0,2.6580344579997472,0.20678541700181086,0.4098198749998119,0.01375354200717993,0,0.0,60.285,88.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,0.0037522080092458054,0.1675095000100555,0.05976620799629018,0.06451608399220277,0.003704791990458034,eigsh,0.00038050000148359686,0.30075387499528006,0.0003411670040804893,0.10872004200064112,0.9999993492139151,0.6604719584078566,3.2746349590015598,2.304e-05,2.56e-06,sparse,7.464426000000003,3.957442582992371,61.68830871582031,479.359375,491.640625,12.28125
16.0,Gaussian random projection,4,1620260431,5000,3,3,101014,0.0,1.0,1.0,2.6393678749882383,0.2076737079914892,0.4328386249981122,0.01537175000703428,0,0.0,60.6084,96.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,0.003318917006254196,0.16824629199982155,0.05815079199965112,0.03171729200403206,0.0026887080020969734,eigsh,0.00044137499935459346,0.26569683400157373,0.00014133300282992423,0.1669964169996092,0.9999993949339576,0.6568574440861183,3.2798761669837404,2.304e-05,2.56e-06,sparse,7.603456999999992,3.9419844999938505,61.888487815856934,487.640625,490.484375,2.84375
16.0,Gaussian random projection,5,1620260432,5000,3,3,101029,0.0,1.0,1.0,2.6592794579919428,0.20702795799297746,0.37898366698937025,0.016163499996764585,0,0.0,60.6174,99.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,0.0033841249969555065,0.17015041699050926,0.05641329199715983,0.024174249992938712,0.003009249994647689,eigsh,0.002428334002615884,0.26018733299861196,0.00036483399162534624,0.11842720898857806,0.9999994154973413,0.6553877514485223,3.2452867919637356,2.304e-05,2.56e-06,sparse,7.149320999999986,3.9138289160036948,61.88971710205078,486.75,497.96875,11.21875
16.0,Gaussian random projection,6,1620260433,5000,3,3,100311,0.0,1.0,1.0,2.6148535420070402,0.20655604200146627,0.3933120000001509,0.023424625003826804,0,0.0,60.1866,87.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,0.003886999998940155,0.16802070799167268,0.059772499997052364,0.02908508300606627,0.00235837500076741,eigsh,0.00023966700246091932,0.2641261249955278,0.0002717909956118092,0.12890883299405687,0.9999991525582324,0.658304533735918,3.214716332993703,2.304e-05,2.56e-06,sparse,7.2700889999999845,3.8964062500017462,61.64518737792969,494.984375,498.3125,3.328125
16.0,Gaussian random projection,7,1620260434,5000,3,3,100544,0.0,1.0,1.0,2.663744833000237,0.2081599590019323,0.4169386249996023,0.023162541998317465,0,0.0,60.3264,90.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,0.0033944169990718365,0.16904758299642708,0.05724650000047404,0.04245833300228696,0.003427625008043833,eigsh,0.0002836250059772283,0.2775487089966191,0.0006041249871486798,0.1387791669985745,0.9999993148676813,0.6573292692636938,3.2888367929845117,2.304e-05,2.56e-06,sparse,7.499732999999992,3.957364707996021,61.73397159576416,496.3125,497.28125,0.96875
16.0,Gaussian random projection,8,1620260435,5000,3,3,100901,0.0,1.0,1.0,2.630449790987768,0.21364845799689647,0.3834418329934124,0.0216020829975605,0,0.0,60.5406,93.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,0.0036378749937284738,0.16932887499569915,0.05070449999766424,0.04614329199830536,0.0027935840043937787,eigsh,0.00119720799557399,0.2747206250060117,0.00018295799964107573,0.10853454199968837,0.9999990963623855,0.655116432591527,3.227536373990006,2.304e-05,2.56e-06,sparse,7.181621000000007,3.9208817920007277,61.84061145782471,496.8125,496.984375,0.171875
16.0,Gaussian random projection,9,1620260436,5000,3,3,100234,0.0,1.0,1.0,2.628943874995457,0.20819350000238046,0.4151343330013333,0.027004540999769233,0,0.0,60.1404,95.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,0.003621083000325598,0.16780220800137613,0.05549408400838729,0.05744712500018068,0.0020476250065257773,eigsh,0.0004414169961819425,0.28752683399943635,0.00017179199494421482,0.1274303329992108,0.9999992073020625,0.6565409660960123,3.252266333991429,2.304e-05,2.56e-06,sparse,7.458405999999968,3.9352854169992497,61.61002826690674,496.984375,495.6875,-1.296875
16.0,Gaussian random projection,10,1620260437,5000,3,3,101011,0.0,1.0,1.0,2.6407373340043705,0.21059295898885466,0.42028924998885486,0.01704950000566896,0,0.0,60.6066,91.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,0.00353633300983347,0.16967158300394658,0.05302720800682437,0.05079654199653305,0.0014849589933874086,eigsh,0.0008271669939858839,0.28118162500322796,0.0015774999919813126,0.1375253750011325,0.9999992752550733,0.6583217742013808,3.271614792989567,2.304e-05,2.56e-06,sparse,7.5131000000000085,3.96158554199792,61.8872594833374,495.6875,499.03125,3.34375
