rho_n,method,reps,num_hyperedges_total_mean,num_hyperedges_total_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,cpu_time_sec_mean,cpu_time_sec_std,wall_clock_sec_mean,wall_clock_sec_std,peak_traced_memory_mb_mean,peak_traced_memory_mb_std,rss_delta_mb_mean,rss_delta_mb_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_small_eig_sec_mean,rp_small_eig_sec_std,rp_lift_sec_mean,rp_lift_sec_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std
0.25,Gaussian random projection,10,1563.5,35.29636430757893,0.9381,0.02117781858454736,6.2,0.6324555320336759,0.9433449110400002,0.0,0.11097779555911183,0.0,0.39318,0.009208908730137355,0.65608,0.004467363129781744,0.0001494188127687685,0.00030594468755194533,0.0006213573773949186,0.00041440666868501294,0.04688650830066763,0.005493641734937308,0.006795325201528613,0.0007968886355217414,0.13701153350120876,0.07129535437855948,0.00026713329716585574,9.417229347195383e-05,0.4228030915997806,0.06344445822386195,0.5600867877030395,0.08712024854967076,0.014135016700311098,0.0006392659361719518,0.6137635919003515,0.08606086431391152,4.908263800000002,0.4351558331090639,0.638617258501472,0.08657062023586594,26.274400615692137,0.011989320750031401,15.471875,19.441214420461524,0.0037398249973193743,0.0005088664169624408,0.009923416798119433,0.002301963232046536,0.10788493769796333,0.06959411347139079,0.0061299124005017806,0.001549774470063945,0.007383258202753496,0.0027601372274840526,0.000937500003783498,0.0008352705546703098,0.9951607726288509,0.0004751400264977439,0.994570434334759,0.000571477713381951
0.5,Gaussian random projection,10,3145.0,46.64046883698037,1.887,0.02798428130218818,8.8,0.7888106377466156,1.8866898220800004,0.0,0.11097779555911183,0.0,0.15188,0.006366020909659522,0.65018,0.010488702917372044,0.0010269348778318608,0.001564413828183091,0.001326382088559578,0.0014958805641074198,0.09122855850146153,0.004646592110477855,0.00949803329858696,0.0006723759461539203,0.12520340429764473,0.11872266999820624,0.00027717500051949173,0.00014575588384382074,0.4258414957977948,0.054597622319346964,0.5513267916016048,0.15538638586211065,0.01427743759995792,0.0009910871479394843,0.6520486668960075,0.15571568801685493,5.7798478,1.021661153165523,0.6860478750968468,0.15633630585694622,26.857933807373048,0.016738703832294834,2.0734375,3.5104556903122752,0.003602491700439714,0.00041906163489285496,0.013179224901250564,0.0020483580607598127,0.0929120792017784,0.11315424792412526,0.006816425100259949,0.002720627619212416,0.006743333498889115,0.002701275313738963,0.0009484583002631553,0.0010769389238380396,0.9861380321273515,0.0009573245601803337,0.9834355393626568,0.0014599850497475655
1.0,Gaussian random projection,10,6268.2,72.35836740373142,3.76092,0.043415020442238654,12.3,0.8232726023485648,3.7733796441600007,0.0,0.11097779555911183,0.0,0.02364,0.002345302633871468,0.6296,0.02195308128208379,0.005816090377294652,0.006304885931281608,0.005646186762916506,0.005597946176031985,0.18409931659989526,0.00905158300577883,0.014261808400624432,0.00036739073291210545,0.08979912920040078,0.013190068185129614,0.0003124875016510487,0.00016491380316754507,0.36279026249831076,0.02729056093107878,0.4529065125985653,0.03291410311332398,0.017115445797389838,0.0035824958624229557,0.6512630042008822,0.03382253774816902,5.151199299999999,0.35202354601615476,0.7144258374988567,0.031883593413764524,27.993161392211913,0.025981692317633844,1.7875,2.972988567806065,0.0033802165955421513,0.00011031410121195868,0.017593949801812413,0.001474402498184768,0.054848258501442614,0.012806497094832225,0.00906913349754177,0.0010995250684074248,0.003346737402898725,0.0010273246397145628,0.0006261793008889071,0.0005076757510689527,0.9959631538987217,0.0007566339789144883,0.8491701489883685,0.016933617500596975
2.0,Gaussian random projection,10,12621.1,96.04796255575177,7.572660000000001,0.057628777533450845,19.9,0.9944289260117531,7.546759288320001,0.0,0.11097779555911183,0.0,0.00056,0.00029514591494904873,0.14664,0.012594107969822847,0.6087439716189187,0.029533719738597662,0.5291777707713095,0.02812469260919115,0.33764790409768464,0.004510871152336518,0.0252464457982569,0.0007451807495667222,0.09785570009989897,0.011226198128289904,0.00047282089944928886,0.00047719021238301553,0.24362346239940963,0.020821485594061794,0.34195718320115703,0.022180253797560775,0.01888572909956565,0.005012562349791392,0.7048463332946995,0.02441234256322993,4.683228300000005,0.16233331986109248,0.8039056749999872,0.01775497820389304,30.286241245269775,0.03475227895462141,3.0734375,3.587358824772567,0.00340247500280384,0.00019120788965778227,0.027607141601038165,0.0014761426694408545,0.052337179202004334,0.0082651070031491,0.010231462299998384,0.004402563381825902,0.0024562082980992272,0.0008437243190018032,0.0009618666983442381,0.0009814468981489504,0.9997500564036755,3.495107606168681e-05,0.7268463891109607,0.0023074190215192753
4.0,Gaussian random projection,10,25165.7,164.36683228545724,15.09942,0.0986200993712741,31.3,1.8287822299126937,15.093518576640003,0.0,0.11097779555911183,0.0,0.0,0.0,0.023719999999999998,0.0016870750493745744,0.9300959289352555,0.004878697781066564,0.8836233283906794,0.006701329472287651,0.6616417876022751,0.01575790290518339,0.04843734589812811,0.0017302248493984232,0.12616678759804928,0.010981218606774843,0.00047928310086717827,0.0003375074992289816,0.19569306670018705,0.04016722444654232,0.32234422079636715,0.04298562171444522,0.02235136660019634,0.0042884087878924315,1.0324182708995067,0.04336969208527223,4.966045200000005,0.2063374504294685,1.2332259207003518,0.03519962390276396,34.80619354248047,0.0588124203016497,0.653125,1.3268846332146254,0.0033904375013662502,9.11495939784785e-05,0.04956843339750776,0.005569932798633481,0.05545669599960092,0.0058944906015433885,0.013255950002348981,0.0043644939611737175,0.00254012090008473,0.0008591353690972237,0.0007155000988859683,0.0005117432006176585,0.9999797904205485,2.290915453736287e-06,0.6885632574759583,0.0028413906974181563
8.0,Gaussian random projection,10,50272.0,246.14178389249108,30.1632,0.14768507033549444,52.0,1.6996731711975954,30.187037153280006,0.0,0.11097779555911183,0.0,0.0,0.0,0.00098,0.00042635405214185295,0.9970618193446837,0.0012774932718951986,0.9928536358451684,0.0029306723151569397,1.3208806166003342,0.012875717483586869,0.09717669570090948,0.0025606340705997613,0.17963780430145562,0.018358449861897188,0.00036116250121267515,0.00021945736874160097,0.1666210082010366,0.032971938789162006,0.3466253999984474,0.0363959416226688,0.022606391701265237,0.004324980038176805,1.7646772873049485,0.035839913246037886,5.761360600000001,0.3069537778045604,2.126657754300686,0.03184208806080425,43.813318729400635,0.0865331557396892,2.8140625,4.380752975948853,0.0033659294014796613,0.00011488788177337772,0.08864987090200885,0.008703628498823505,0.05851881240232615,0.012668718369430378,0.024504391498339828,0.0048963624032393824,0.0030375665999599734,0.0011717549529659539,0.0006355040008202195,0.000602805190038338,0.9999971254527704,3.4827063050042256e-07,0.6679243797985135,0.0011403774699201166
16.0,Gaussian random projection,10,100616.5,350.5393463412248,60.369899999999994,0.21032360780473536,92.2,3.7357135269658404,60.37407430656001,0.0,0.11097779555911183,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.64175302489748,0.015289417917953033,0.20814219169697026,0.00232957538844073,0.2789642418982112,0.013950787664238923,0.0003974332968937233,0.00043944181433392754,0.1426501666981494,0.03841570584705086,0.4220168332962203,0.04494490131284553,0.01994874170050025,0.004393321461694582,3.2719070584877046,0.04585257739361676,7.501696599999997,0.33615378499901744,3.954210762497678,0.04485035630995204,61.747865200042725,0.12212441310836797,5.20625,5.308826344191132,0.0035390582008403724,0.0001899468778188672,0.1697796540975105,0.003734852893922643,0.05703348750103032,0.0032236147611035015,0.04390386669983855,0.01273125190740172,0.0029000668990192937,0.0012660171328847396,0.0007602793004480191,0.0006775586014332758,0.9999992647177365,1.0701944143245002e-07,0.6573865616565036,0.0015615968605418445
