K,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
2,1,Random Projection,1.4570937000680715,0.023306200047954917,0.10302369995042682,0.00014260015450417995,0.0022188997827470303,0.0004096000920981169,0.004623799817636609,0.0007199000101536512,0.00015110010281205177,1.3299984857439995e-05,1.4488037000410259,1.4570937000680715,1.457082899985835,1.0800082236528397e-05,1.5834236000664532,,,,,,,,,
2,1,Random Sampling,0.07751989993266761,0.023306200047954917,0.0997635000385344,,,,,,,,,0.07751989993266761,0.07750699948519468,1.2900447472929955e-05,0.20058960001915693,0.007823799969628453,0.017563299974426627,0.006901799933984876,0.0009516999125480652,0.007535599870607257,0.036730799823999405,,,
2,1,Non-random,0.2795925000682473,0.023306200047954917,0.11191050009801984,,,,,,,,,0.2795925000682473,0.27958750003017485,5.00003807246685e-06,0.4148092002142221,,,,,,,0.23478120006620884,0.04352089995518327,0.0012854000087827444
2,2,Random Projection,0.03974959999322891,0.02289819996803999,0.10263089998625219,0.0001371998805552721,0.00241830013692379,0.0003746000584214926,0.0007699998095631599,0.0008433000184595585,9.189988486468792e-05,1.2699980288743973e-05,0.035092199919745326,0.03974959999322891,0.03974019968882203,9.400304406881332e-06,0.1652786999475211,,,,,,,,,
2,2,Random Sampling,0.06912470003589988,0.02289819996803999,0.12099869991652668,,,,,,,,,0.06912470003589988,0.06911610020324588,8.599832653999329e-06,0.21302159992046654,0.004948900081217289,0.01502660010010004,0.0058148999232798815,0.0009757000952959061,0.006606400012969971,0.03574359999038279,,,
2,2,Non-random,0.37423949991352856,0.02289819996803999,0.10693960008211434,,,,,,,,,0.37423949991352856,0.37423519999720156,4.299916326999664e-06,0.5040772999636829,,,,,,,0.3363009998574853,0.03623099997639656,0.001703200163319707
2,3,Random Projection,0.03997909999452531,0.023367600049823523,0.10432369983755052,0.0001354999840259552,0.0021801001857966185,0.0003364000003784895,0.000649699941277504,0.0007623001001775265,8.819997310638428e-05,1.2600095942616463e-05,0.035806299885734916,0.03997909999452531,0.03997110016644001,7.999828085303307e-06,0.16767039988189936,,,,,,,,,
2,3,Random Sampling,0.0679969999473542,0.023367600049823523,0.1062130001373589,,,,,,,,,0.0679969999473542,0.06798729998990893,9.699957445263863e-06,0.19757760013453662,0.005073100095614791,0.015292600030079484,0.005914399866014719,0.0009073999244719744,0.006396600045263767,0.0344032000284642,,,
2,3,Non-random,0.23317320016212761,0.023367600049823523,0.12391089997254312,,,,,,,,,0.23317320016212761,0.2331705999094993,2.600252628326416e-06,0.38045170018449426,,,,,,,0.1865999000146985,0.04495869996026158,0.0016119999345391989
2,4,Random Projection,0.04335190006531775,0.025947799906134605,0.09898540005087852,0.00014050002209842205,0.0023460001684725285,0.0005165999755263329,0.0042882999405264854,0.0011184001341462135,0.0001262999139726162,1.619989052414894e-05,0.03479229984804988,0.04335190006531775,0.04334459989331663,7.300172001123428e-06,0.16828510002233088,,,,,,,,,
2,4,Random Sampling,0.07240410009399056,0.025947799906134605,0.09534589992836118,,,,,,,,,0.07240410009399056,0.0723948001395911,9.299954399466515e-06,0.19369779992848635,0.006373499985784292,0.016202199971303344,0.006101799895986915,0.0009506000205874443,0.006248600082471967,0.036518100183457136,,,
2,4,Non-random,0.2068256998900324,0.025947799906134605,0.10293000005185604,,,,,,,,,0.2068256998900324,0.20682380022481084,1.8996652215719223e-06,0.33570349984802306,,,,,,,0.17002300010062754,0.03522050008177757,0.0015803000424057245
2,5,Random Projection,0.039285199949517846,0.02161659998819232,0.09792849980294704,0.00011599995195865631,0.0021454000379890203,0.0003380998969078064,0.0003519000019878149,0.000824199989438057,8.739996701478958e-05,1.3199867680668831e-05,0.0354027000721544,0.039285199949517846,0.039278899785131216,6.300164386630058e-06,0.1588302997406572,,,,,,,,,
2,5,Random Sampling,0.06926029990427196,0.02161659998819232,0.09794769994914532,,,,,,,,,0.06926029990427196,0.06925289984792471,7.400056347250938e-06,0.1888245998416096,0.005507000023499131,0.01476719998754561,0.006217600079253316,0.0012777999509125948,0.006561999907717109,0.03492129989899695,,,
2,5,Non-random,0.6875496001448482,0.02161659998819232,0.10525659983977675,,,,,,,,,0.6875496001448482,0.6875470001250505,2.600019797682762e-06,0.8144227999728173,,,,,,,0.6503513001371175,0.0355515000410378,0.0016441999468952417
2,6,Random Projection,0.04776880005374551,0.022351199993863702,0.10945049999281764,0.00015740003436803818,0.002041699830442667,0.00031579984351992607,0.010792399989441037,0.0009324001148343086,0.00011180015280842781,1.209997572004795e-05,0.03339610015973449,0.04776880005374551,0.04775970010086894,9.09995287656784e-06,0.17957050004042685,,,,,,,,,
