K,method,reps,num_hyperedges_total_mean,num_hyperedges_total_std,theta_nnz_mean,theta_nnz_std,theta_density_mean,theta_density_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,cpu_time_sec_mean,cpu_time_sec_std,wall_clock_sec_mean,wall_clock_sec_std,peak_traced_memory_mb_mean,peak_traced_memory_mb_std,rss_delta_mb_mean,rss_delta_mb_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rs_sample_matrix_wall_sec_mean,rs_sample_matrix_wall_sec_std,rs_eig_wall_sec_mean,rs_eig_wall_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_embedding_dim_mean,cs_embedding_dim_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std
2,Non-random,10,79976.7,260.6342904019617,478316.4,1486.5598765830698,0.019132656,5.946239506332291e-05,47.98602,0.15638057424117674,75.0,2.211083193570264,47.952011520000006,0.0,0.2498499699939988,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.1400187830999993,0.02961663603336734,0.18932034149999993,0.007097420538299992,0.03558237079999991,0.002527700016647214,0.0001312082999995745,1.62448699464335e-05,0.06069003319999999,0.04707462316459811,0.09641209570000049,0.04950054013582382,0.018206508400000532,0.0025835799936863393,1.4257427368999989,0.07638631088105928,1.026623399999999,0.23075895487629527,0.12016869159999995,0.053500190501023316,16.46340560913086,0.05106865080411057,1.814453125,4.828352630966435,,,,,,,,,,,,,,,1.0,2.590520390792032e-16,0.7859925745232579,0.0011763572828913302
2,Gaussian random projection,10,79976.7,260.6342904019617,478316.4,1486.5598765830698,0.019132656,5.946239506332291e-05,47.98602,0.15638057424117674,75.0,2.211083193570264,47.952011520000006,0.0,0.2498499699939988,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.1400187830999993,0.02961663603336734,0.18932034149999993,0.007097420538299992,0.3540061000999999,0.032608375741700855,0.00030233319999970474,8.790277362697551e-05,0.041999520800000044,0.000864541156369026,0.3963140167000002,0.03243796082857655,0.017504674899999628,0.002119562695480906,1.7256470786999991,0.06004264149247063,3.992104800000001,0.19584791034814125,0.4196713375999998,0.03708463897644963,30.618129444122314,0.0173643138037767,13.866015625,20.289856089313552,0.21978638749999968,0.026091258810964392,,,,,,,,,,,,,0.9999989720680832,1.0972321331059853e-07,0.7859389851907994,0.0011734850235976765
2,Random sampling,10,79976.7,260.6342904019617,478316.4,1486.5598765830698,0.019132656,5.946239506332291e-05,47.98602,0.15638057424117674,75.0,2.211083193570264,47.952011520000006,0.0,0.2498499699939988,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.1400187830999993,0.02961663603336734,0.18932034149999993,0.007097420538299992,0.05597774990000035,0.009395976301622644,0.00010446669999977231,9.477231956327668e-06,0.04397667929999995,0.0021186597883853984,0.10006363759999956,0.01024699761450882,0.01696036259999989,0.00013624850454792002,1.4293980204999994,0.036889135771546434,1.2316312999999988,0.07855746994405066,0.12160362489999973,0.010670932360968298,21.17905464172363,0.0740226463703097,1.544921875,3.279565772489895,,,0.01878629589999976,0.0032376267864236545,0.03716693740000041,0.009097859458395903,,,,,,,,,1.0551667738752701,0.0029174172199453756,0.8580666289160961,0.0031406571218758335
2,CountSketch random projection,10,79976.7,260.6342904019617,478316.4,1486.5598765830698,0.019132656,5.946239506332291e-05,47.98602,0.15638057424117674,75.0,2.211083193570264,47.952011520000006,0.0,0.2498499699939988,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.1400187830999993,0.02961663603336734,0.18932034149999993,0.007097420538299992,0.31088315420000007,0.007834603006730693,0.0002628040999998582,8.231908511596256e-05,0.04174539589999995,0.001748404367420963,0.35289671240000003,0.00918371124949573,0.017142733199999594,0.0004353194415018204,1.6822304787999993,0.042308429602853935,3.8342698000000035,0.09536726278597142,0.37460082900000113,0.010525992168677584,24.516628646850585,0.0170586088822481,2.69765625,4.99036452218033,,,,,,,0.18206274560000005,0.004411420218491118,0.08662757919999961,0.0029907333963851354,0.026166674799999966,0.00040691297716517115,162.0,0.0,0.9999988333542005,1.350322167880237e-07,0.7859433765731172,0.0011763525830444615
3,Non-random,10,50242.5,260.91516288292337,303835.4,1560.985173251527,0.012153416,6.243940693006109e-05,30.1455,0.15654909772975414,53.0,1.3333333333333335,30.187037153280006,0.0,0.11097779555911183,0.0,0.0,0.0,0.00054,0.0003533962208186286,0.9983804685620801,0.0010597151091511475,0.996013569579922,0.002589932807889556,0.7576529917999999,0.013521452397015176,0.11691041260000005,0.0059232711715060705,0.05748979580000082,0.0020504467040452687,0.00014512940000024343,2.7646405824235862e-05,0.06170784159999876,0.006795544926104061,0.11935046660000026,0.008282599683300362,0.01757983350000032,0.0004848874788574166,0.9939061711999997,0.025992654630274288,1.347321999999997,0.022289822690085656,0.1401505874999998,0.00859911792937258,10.472872161865235,0.05359217284875411,0.00859375,0.024553853263173265,,,,,,,,,,,,,,,0.9999999999999994,4.753690988499733e-16,0.6689088534156851,0.0012616058713898174
3,Gaussian random projection,10,50242.5,260.91516288292337,303835.4,1560.985173251527,0.012153416,6.243940693006109e-05,30.1455,0.15654909772975414,53.0,1.3333333333333335,30.187037153280006,0.0,0.11097779555911183,0.0,0.0,0.0,0.0009,0.0004242640687119285,0.9973013334769588,0.001271612586357185,0.9934603391865041,0.002929123131872807,0.7576529917999999,0.013521452397015176,0.11691041260000005,0.0059232711715060705,0.2807006874000006,0.004386979795531539,0.0002777040000012221,6.766614939535425e-05,0.05813022520000146,0.0015094491374983358,0.3391138832999999,0.005486283125017963,0.017726616700000263,0.0009021774537105737,1.2136720210000032,0.02065824465272557,3.704772699999998,0.05538741254322607,0.35992868330000116,0.005791158195935811,28.778407859802247,0.0178640576162514,1.91015625,4.262479523640333,0.15410124159999902,0.0036766655042893073,,,,,,,,,,,,,0.999997319089341,3.000996671671209e-07,0.6672820998292976,0.0012333213775950226
3,Random sampling,10,50242.5,260.91516288292337,303835.4,1560.985173251527,0.012153416,6.243940693006109e-05,30.1455,0.15654909772975414,53.0,1.3333333333333335,30.187037153280006,0.0,0.11097779555911183,0.0,0.0,0.0,0.004739999999999999,0.000997997995989972,0.9858290709943871,0.002972670976068928,0.9703344004898427,0.005364103135718325,0.7576529917999999,0.013521452397015176,0.11691041260000005,0.0059232711715060705,0.07591619160000107,0.010899731671805139,0.00012580399999961855,2.8379990389709097e-05,0.06489272080000105,0.0019608963136749933,0.14094025410000022,0.011560204432612502,0.017345208399999378,0.0008850162083059711,1.0154981208000016,0.022050261273818164,1.6582042000000001,0.13094974944339094,0.16122957079999978,0.012209379844167126,13.519449234008789,0.07054955088381527,0.020703125,0.05289247775968742,,,0.01157577510000074,0.00020695396512240177,0.06431314580000133,0.010910830886694239,,,,,,,,,1.0581642922702195,0.0014515185243144926,0.7608729385730577,0.002479608543851168
3,CountSketch random projection,10,50242.5,260.91516288292337,303835.4,1560.985173251527,0.012153416,6.243940693006109e-05,30.1455,0.15654909772975414,53.0,1.3333333333333335,30.187037153280006,0.0,0.11097779555911183,0.0,0.0,0.0,0.00092,0.00021499353995462799,0.9972411892513391,0.0006444148405705999,0.993212330951116,0.0015966134363669343,0.7576529917999999,0.013521452397015176,0.11691041260000005,0.0059232711715060705,0.2590773457999994,0.0046115645392895786,0.0003245206999999084,7.695364881306373e-05,0.05755014159999874,0.0024009393230332286,0.31695771249999966,0.005983376386212569,0.017228991699998985,0.0001862665410794867,1.191515412499998,0.02107720731565691,3.4743031,0.06677981316810458,0.3371070292999988,0.006104487695422083,22.639033126831055,0.0178640576162514,0.021484375,0.05438439065223204,,,,,,,0.13522490830000072,0.0050694998232394105,0.09056399180000127,0.0017975954083068212,0.019954483299999028,0.00030722002737023073,163.0,0.0,0.999997166490201,1.8355470236554086e-07,0.6672433584505112,0.0013806954412977448
4,Non-random,10,39860.5,123.42901693776194,242647.2,732.4037744911508,0.009705888,2.9296150979646376e-05,23.9163,0.07405741016265696,43.2,1.7511900715418267,23.97121152,0.0,0.0623875075135075,0.0,0.0,0.0,0.02572,0.0026885766577214136,0.9325770363657003,0.006930699302315229,0.894142689589095,0.009350546554902457,0.6223703083999979,0.0022535950084918246,0.09108901260000195,0.001091615936724562,0.07637932510000098,0.002328882271335789,0.0001595332000007943,3.8510111158295034e-05,0.08285390419999886,0.005363545724372793,0.1594007375000011,0.0066339568139553344,0.017459929199998215,0.0002714314167642566,0.8728520835000004,0.008162353856817172,1.747224499999993,0.039257329077225026,0.17957812089999906,0.0065338125092649435,8.372142028808593,0.025145088082963497,0.0,0.0,,,,,,,,,,,,,,,0.9999999999999997,8.124796539295783e-16,0.5987253575246566,0.0022800968701479282
4,Gaussian random projection,10,39860.5,123.42901693776194,242647.2,732.4037744911508,0.009705888,2.9296150979646376e-05,23.9163,0.07405741016265696,43.2,1.7511900715418267,23.97121152,0.0,0.0623875075135075,0.0,0.0,0.0,0.056179999999999994,0.004944536828100732,0.8557873077643153,0.012161444342365234,0.8004383578076869,0.013683242075406624,0.6223703083999979,0.0022535950084918246,0.09108901260000195,0.001091615936724562,0.23892550419999878,0.004509123865371193,0.0003130872999960843,6.845879146883489e-05,0.08485717919999942,0.002873071186371255,0.32410160820000156,0.005152296101621619,0.017310179399999726,0.00017422027562357764,1.037555091699994,0.005596224345254356,3.505688699999996,0.027153695443414304,0.34400980850000024,0.005098562995524986,28.235741996765135,0.008381696027654453,1.25859375,3.9704203137007945,0.11261749139999892,0.0033375344974176813,,,,,,,,,,,,,0.9999942795084664,8.830157420081325e-07,0.587145508273564,0.002436304721938439
