dataset,rep,method,n,m_edges,k,r,ell,q,sampling_p,rs_eigensolver,clustering_wall_sec,residual_rel_fro,eigenvalue_rel_l2_vs_general,subspace_distance_vs_general,rayleigh_abs_sum_ratio,dense_convert_sec,dense_general_eigh_sec,eigen_decomposition_wall_sec,total_method_wall_sec,ARI_vs_general_clustering,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eigh_sec,rp_lift_sec,rs_sampling_probability,rs_sample_matrix_sec,rs_sampled_edges,rs_sampled_density,rs_dense_convert_sec,rs_dense_general_eigh_sec,rs_eigen_decomposition_wall_sec,ds_bucket_build_sec,ds_draw_and_initial_multiply_sec,ds_power_iter_sec,ds_qr_sec,ds_build_core_sec,ds_small_eigh_sec,ds_lift_sec,ds_num_buckets,ds_min_bucket_dim,ds_max_bucket_dim,ds_bucket_summary
com-dblp-smoke,0,General eigensolver,104,736,4,8,12,1,0.7,general,1.9978236999886576,9.912730736775243e-16,0.0,1.4901161193847656e-08,1.0000000000000004,2.1800005924887955e-05,0.0016534000023966655,0.0016752000083215535,1.9994988999969792,1.0,,,,,,,,,,,,,,,,,,,,,,,,
com-dblp-smoke,1,Gaussian RP,104,736,4,8,12,1,0.7,general,0.021663599996827543,0.030316078455278023,0.006208032650351518,0.1317996526936676,0.9957914863379616,,,0.00018909999926108867,0.02185269999608863,0.5954975263454412,1.7800004570744932e-05,4.08000050811097e-05,5.01000031363219e-05,2.6699999580159783e-05,4.859999171458185e-05,5.099995178170502e-06,,,,,,,,,,,,,,,,,,
com-dblp-smoke,1,Random sampling,104,736,4,8,12,1,0.7,general,0.021573300007730722,0.23350403240012124,0.37165899807149627,0.5235603728536131,0.9091378587738961,,,0.0022677999950246885,0.02384110000275541,0.42583738641274393,,,,,,,0.7,0.0003744999994523823,519.0,0.0959689349112426,1.9700004486367106e-05,0.0018735999910859391,0.0018932999955723062,,,,,,,,,,,
com-dblp-smoke,1,Degree-stratified RP,104,736,4,8,12,1,0.7,general,0.020677599997725338,0.05919357641540067,0.02289259071820022,0.23650377805827047,0.9838213290869183,,,0.0007618000090587884,0.021439400006784126,0.5672272015893115,,,,,,,,,,,,,,0.00016759999562054873,0.0004124999977648258,7.490000280085951e-05,3.6900004488416016e-05,2.4500011932104826e-05,4.019998596049845e-05,5.2000104915350676e-06,6.0,1.0,3.0,"[1,2):n=8,ell=1;[2,4):n=22,ell=2;[4,8):n=20,ell=2;[8,16):n=19,ell=2;[16,32):n=11,ell=2;[32,64):n=24,ell=3"
