rep,bucket_id,degree_low_inclusive,degree_high_exclusive,num_nodes,mass,sqrt_mass,sketch_dim
1,1,1,2,8,8.0,2.8284271247461903,1
1,2,2,4,22,57.0,7.54983443527075,2
1,3,4,8,20,106.0,10.295630140987,2
1,4,8,16,19,219.0,14.798648586948742,2
1,5,16,32,11,309.0,17.578395831246947,2
1,6,32,64,24,773.0,27.80287754891569,3
