method,Non-random,Random Projection,Random Sampling (p=0.7),Random Sampling (p=0.8),CountSketch,SIGN Bidirectional
Non-random,1,0.992682676849,0.854926055448,0.921183737778,0.997466941567,0.529057501563
Random Projection,0.992682676849,1,0.852137586564,0.914620216458,0.990149618416,0.526624342208
Random Sampling (p=0.7),0.854926055448,0.852137586564,1,0.842503791847,0.857275231211,0.493440157882
Random Sampling (p=0.8),0.921183737778,0.914620216458,0.842503791847,1,0.923695332071,0.500460434217
CountSketch,0.997466941567,0.990149618416,0.857275231211,0.923695332071,1,0.52652444313
SIGN Bidirectional,0.529057501563,0.526624342208,0.493440157882,0.500460434217,0.52652444313,1
