rho_n,method,rep,seed,n,K,m,rho_n_multiplier,rho_n_base_equivalent,density_regime,num_hyperedges_total,theta_nnz,theta_density,misclassification_rate,ARI,NMI,generation_wall_sec,hypergraph_laplacian_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
2.0,CountSketch random projection,2,220260508,5000,3,3,4.0,0.5,rho_n_x4,12686,80926,0.00323704,0.1486,0.6038336027086307,0.5242046317893532,0.5647484580001674,0.04922862500006886,0.24437345799992727,0.01789929200003826,4,0.0008,7.6116,18.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.0006304999999429128,163,16,46,0,0.0012009170000055747,0.04208279199997378,0.09068499999989399,0.008673791000092024,0.008793583000169747,0.0002902090000134194,0.15242720900005224,0.0003563340001164761,0.09158450000018092,0.9997697484349962,0.7251442711593459,0.8583451260005859,2.88e-06,3.2e-07,sparse,4.5476770000000215,0.9765414999999393,24.045333862304688,622.9453125,622.953125,0.0078125
2.0,CountSketch random projection,3,220260509,5000,3,3,4.0,0.5,rho_n_x4,12797,81615,0.0032646,0.1578,0.5824232296866666,0.5044992686429269,0.5598358339998413,0.04901216700000077,0.2625909999999294,0.01779779100002088,7,0.0014,7.6782,18.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.0005680420001681341,163,21,45,0,0.001081291999980749,0.03911474999995335,0.10996358299985332,0.009507957999858263,0.010960292000163463,0.00023220800017043075,0.1714971249998598,0.0003156660000058764,0.09077174999993076,0.9997420823802878,0.7220634536226138,0.8714325419996385,2.88e-06,3.2e-07,sparse,4.728038999999626,0.9942308330000742,24.08380889892578,622.953125,622.953125,0.0
2.0,CountSketch random projection,4,220260510,5000,3,3,4.0,0.5,rho_n_x4,12666,80835,0.0032334,0.145,0.6122048486772053,0.5319880713964015,0.5507256670000515,0.05041787499999373,0.23734358299998348,0.018546165999850928,1,0.0002,7.5996,21.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.0006029159999343392,163,19,47,0,0.0011571669999739242,0.0394295419998798,0.09244791699984489,0.008669917000133864,0.009888708000062252,0.00021683300019503804,0.15248112500012212,0.000355124999941836,0.08450162500002989,0.9996992526248326,0.7270915064219433,0.8384814170001391,2.88e-06,3.2e-07,sparse,4.690376000000015,0.9699568339999587,24.03955078125,622.953125,622.953125,0.0
2.0,CountSketch random projection,5,220260511,5000,3,3,4.0,0.5,rho_n_x4,12571,80272,0.00321088,0.147,0.6077020113075067,0.5283413138502034,0.5546599159999914,0.049289333999922746,0.24262258299995665,0.018602291999968656,2,0.0004,7.5426,22.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.000612667000041256,163,18,49,0,0.0011142089999793825,0.044041624999863416,0.09073650000004818,0.00877683400017304,0.008934415999874545,0.00021624999999403371,0.15450379200001407,0.00036041699991073983,0.0877525420000893,0.999694814348717,0.7269898582170485,0.8465660009999283,2.88e-06,3.2e-07,sparse,4.548365999999987,0.9670504579999033,24.005165100097656,622.953125,622.9609375,0.0078125
2.0,CountSketch random projection,6,220260512,5000,3,3,4.0,0.5,rho_n_x4,12611,80517,0.00322068,0.1478,0.6055811302962755,0.5256206899801991,0.6019352089999757,0.050020832999962295,0.24716379100004815,0.017306209000025774,3,0.0006,7.5666,19.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.0006111669999881997,163,18,45,0,0.0011289579999811394,0.042899625000018204,0.09434941599988633,0.008290208000062194,0.009449125000173808,0.00020816599999307073,0.15703266600007737,0.0003581670000585291,0.0897669579999274,0.9997456598648319,0.7272237735327527,0.8991138330000013,2.88e-06,3.2e-07,sparse,4.588493000000199,1.0189016669999091,24.02105712890625,622.9609375,622.9609375,0.0
2.0,CountSketch random projection,7,220260513,5000,3,3,4.0,0.5,rho_n_x4,12581,80324,0.00321296,0.1482,0.6048079881976428,0.5256918903909588,0.5925402089999352,0.050776125000083994,0.2594639169999482,0.01947420900000907,8,0.0016,7.5486,18.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.000591457999917111,163,18,46,0,0.0011002920000464655,0.04512750000003507,0.09597991600003297,0.009877791000008074,0.009723666999889247,0.00024937500006672053,0.16275854099990283,0.00026258299999426526,0.09643795800002408,0.9997887903435327,0.7274321409655583,0.9027754159999404,2.88e-06,3.2e-07,sparse,4.6609089999997195,1.0344611660000282,24.01053237915039,622.9609375,622.9609375,0.0
2.0,CountSketch random projection,8,220260514,5000,3,3,4.0,0.5,rho_n_x4,12614,80546,0.00322184,0.1412,0.6212871448635566,0.5407985065631542,0.5599094169999717,0.05083216700018056,0.24518474999990758,0.01734149999992951,2,0.0004,7.5684,19.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.000603666000188241,163,17,48,0,0.0012632500001927838,0.04327429100021618,0.09135066600015307,0.010632332999875871,0.009362249999867345,0.00021700000002056186,0.15675745900011862,0.0002417079999759153,0.08818120800015095,0.9996983512230054,0.7320181686510324,0.8559219590003977,2.88e-06,3.2e-07,sparse,4.488664999999855,0.9792347920001703,24.023677825927734,622.9609375,622.9609375,0.0
2.0,CountSketch random projection,9,220260515,5000,3,3,4.0,0.5,rho_n_x4,12656,80767,0.00323068,0.1574,0.5834538491698528,0.5070514831994755,0.5493237919999956,0.049046416999999565,0.23458862500001487,0.017342665999876772,3,0.0006,7.5936,20.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.0005803330000162532,163,18,45,0,0.0010682499998893036,0.03978341700008059,0.08945120899988979,0.00823579199982305,0.009406750000152897,0.0003417909999825497,0.1489492919999975,0.0003505409999888798,0.08528270800002247,0.9997544378168637,0.7197895040929497,0.832952750000004,2.88e-06,3.2e-07,sparse,4.608549000000039,0.9514753329999621,24.03582000732422,622.9609375,622.9609375,0.0
2.0,CountSketch random projection,10,220260516,5000,3,3,4.0,0.5,rho_n_x4,12619,80540,0.0032216,0.1468,0.6081220862084002,0.5283351814021489,0.5438779999999497,0.04871316699995987,0.24077104200000576,0.017594874999986132,2,0.0004,7.5714,19.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.0006339169999591832,163,19,43,0,0.0010710829999425187,0.04049537500009137,0.09153537500014863,0.010008917000050133,0.01040499999999156,0.00022141699992062058,0.15444025000010697,0.0004049579999900743,0.08591649999993933,0.9997880800236245,0.7242891246471306,0.8333528749999459,2.88e-06,3.2e-07,sparse,4.760442999999668,0.9539603749999515,24.02379608154297,622.9609375,622.9609375,0.0
4.0,CountSketch random projection,1,420260507,5000,3,3,4.0,1.0,rho_n_x4,25282,156032,0.00624128,0.0188,0.9443689403124278,0.9039751291750515,1.1389723330000834,0.09345258400003331,0.2640283749999526,0.02078466600005413,0,0.0,15.1692,29.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.0006082089998926676,163,18,45,0,0.0018011669999395963,0.07323758300003647,0.08927616699997998,0.013702957999839782,0.010480874999984735,0.00022075000015320256,0.1893869169998652,0.00023937499986459443,0.07439645900012692,0.9999808322393464,0.6904618186975101,1.4964476679999734,5.76e-06,6.4e-07,sparse,6.228618000000097,1.72939512500011,28.455825805664062,622.9609375,622.9609375,0.0
