rho_n,method,reps,num_hyperedges_total_mean,num_hyperedges_total_std,theta_nnz_mean,theta_nnz_std,theta_density_mean,theta_density_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,cpu_time_sec_mean,cpu_time_sec_std,wall_clock_sec_mean,wall_clock_sec_std,peak_traced_memory_mb_mean,peak_traced_memory_mb_std,rss_delta_mb_mean,rss_delta_mb_std,cs_draw_hash_sec_mean,cs_draw_hash_sec_std,cs_initial_multiply_sec_mean,cs_initial_multiply_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_small_eig_sec_mean,cs_small_eig_sec_std,cs_lift_sec_mean,cs_lift_sec_std,cs_embedding_dim_mean,cs_embedding_dim_std,cs_bucket_min_load_mean,cs_bucket_min_load_std,cs_bucket_max_load_mean,cs_bucket_max_load_std,cs_empty_buckets_mean,cs_empty_buckets_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std
1.0,CountSketch random projection,10,6319.8,63.2855960441761,42763.1,387.1994748619033,0.0017105240000000002,1.5487978994476045e-05,3.79188,0.037971357626505726,13.7,1.8885620632287055,3.7733796441600007,0.0,0.11097779555911183,0.0,0.023219999999999998,0.0023160310878742553,0.6201,0.04084009467831011,0.010752460104491681,0.01940032892142608,0.010226830675042943,0.017280031014230576,0.2830252585999915,0.01036273583519595,0.027055120699992587,0.0008168575230046866,0.13721057509999354,0.009808096828327518,0.00028703739999400566,5.656960065732646e-05,0.23527116260002004,0.05400643861607012,0.37277442909996805,0.059867907857319415,0.02095070420000411,0.0054302388207892755,0.6828491543999917,0.05825133646295838,5.2024067000000285,0.5166749004953068,0.7572939790000192,0.05886951960996263,21.811088180541994,0.022162857417649486,0.0953125,0.06619400312979433,0.0005892708999681417,2.6612809253545525e-05,0.0008027248999724179,4.356198043315512e-05,0.02296203329999571,0.001412839480725295,0.09574447510003666,0.00891759737930338,0.007340058399950067,0.0008347241589489739,0.009431766399984554,0.0008231264017786864,0.000281341700019766,8.122880747476837e-05,163.0,0.0,17.0,1.5634719199411433,45.2,1.6193277068654823,0.0,0.0,0.9962557993984898,0.00021550755322406948,0.8517501313729607,0.020596092942360773
2.0,CountSketch random projection,10,12618.6,104.53197278026165,80548.9,623.7767495934199,0.003221956,2.4951069983736964e-05,7.571160000000001,0.06271918366815699,19.3,1.3374935098492584,7.546759288320001,0.0,0.11097779555911183,0.0,0.00066,0.0004812021982031624,0.14812,0.00563654740658381,0.6050049456859161,0.013141620016377305,0.5257133023191481,0.012032241638372307,0.5637263001999827,0.018825730105936685,0.049575075200004905,0.0008705500611715948,0.15633263760003047,0.006483326557091224,0.0003362332999813589,4.939800870631851e-05,0.08833705400002145,0.003958906267407903,0.2450119165999695,0.009398663299771248,0.018308304199968005,0.0012268294421334143,0.8583073003000209,0.025425304778927557,4.649021999999922,0.11556054293741964,0.9814809540999931,0.02698526166673412,24.02312774658203,0.035881883863384256,0.001953125,0.0033196741624953023,0.0006244707000178096,6.831125722942273e-05,0.00112511679999443,6.51512656943355e-05,0.041979254200009565,0.002131171269953363,0.09359013729997515,0.006111694239237964,0.009083962400018209,0.0008620951438820019,0.009613733200035312,0.0006628619801130009,0.00024055820003923145,4.318153938028415e-05,163.0,0.0,18.0,1.4907119849998596,45.6,2.1186998109427595,0.0,0.0,0.9997395770615567,3.636912870084423e-05,0.7263782196851791,0.003817880035073111
4.0,CountSketch random projection,10,25177.2,162.56882303265334,155419.0,964.0425301821489,0.00621676,3.85617012072861e-05,15.10632,0.09754129381959206,31.3,1.946506842754191,15.093518576640003,0.0,0.11097779555911183,0.0,0.0,0.0,0.024659999999999998,0.0041451980250244574,0.9274040391775232,0.011987014522336602,0.8798911349682422,0.016688434478146306,1.1188238125000225,0.03185531805691042,0.09604883329998301,0.002162205203027005,0.18962733319997369,0.005502773239499391,0.0002508416999489782,3.930161433781236e-05,0.06968722510000588,0.0026726395118581753,0.25957025829998204,0.005375949394749992,0.018134516400004942,0.0013747116296165538,1.4744380457999342,0.034068935533899294,5.393574500000023,0.3118797007880351,1.7036168538999845,0.03488945048266808,28.4218861579895,0.056576430066450425,0.0,0.0,0.0006273249999821928,2.3986842043172175e-05,0.0018259251000017685,7.051922030201921e-05,0.07166627089995928,0.001638919444781485,0.09266471679998176,0.004072982804262785,0.013026283400017746,0.0005797379817457496,0.009502241800032608,0.0011575510981386176,0.0002578667000989299,8.00327189955787e-05,163.0,0.0,16.6,3.062315754094894,45.7,1.6363916944844772,0.0,0.0,0.9999782951561118,2.585061845964114e-06,0.6870837442400314,0.002770657388403335
8.0,CountSketch random projection,10,50327.7,155.54066992269225,304326.4,911.3837098975812,0.012173056,3.645534839590307e-05,30.196620000000003,0.09332440195361552,52.5,1.9578900207451224,30.187037153280006,0.0,0.11097779555911183,0.0,0.0,0.0,0.0008,0.0002981423969999719,0.9976009008442961,0.0008935547267678732,0.9941317839481822,0.0021028638116178753,2.2006611417999693,0.027394818793004042,0.18850776249994397,0.0037784701389762415,0.2580413790999955,0.006349124362498677,0.000286970799993469,5.6842588761240826e-05,0.059564020900006655,0.001761814661650073,0.3178977998999926,0.0068191541582656254,0.018631104199994298,0.0015371697111604833,2.707061275099909,0.030343510272767417,6.978711899999962,0.2298125861510311,3.1563448668000547,0.03909485672441327,37.197618865966795,0.05435344287337878,0.0,0.0,0.0006500834999997096,3.163017869567109e-05,0.003607441800045308,9.317501932374207e-05,0.13285707910001748,0.0016442752644187776,0.09057198760001484,0.003262258302278995,0.020705154400002358,0.0009128074428901257,0.009294816700025877,0.0011821855212198762,0.000291595699991376,8.374579305641902e-05,163.0,0.0,17.0,1.8257418583505542,45.0,2.7487370837451066,0.0,0.0,0.9999970671669687,4.5147281984638456e-07,0.6677736610895005,0.001629980534380141
16.0,CountSketch random projection,10,100519.7,273.41017212646307,597821.6,1639.1040371021058,0.023912864,6.556416148408412e-05,60.31182,0.16404610327587732,91.5,4.301162633521308,60.37407430656001,0.0,0.11097779555911183,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.39799572090003,0.029456158055638556,0.38799127930001304,0.012611008463032392,0.40462142090004816,0.009368811591680768,0.00031364580006538746,7.020320189546746e-05,0.052957999999989624,0.002125853229713,0.45789914989998126,0.010111544474467552,0.017635741700019025,0.0006990255079209277,5.243880066900147,0.032496999449154615,10.047970199999963,0.19109916722288112,6.1511092083000225,0.04187664505700712,58.13903522491455,0.15664433275365464,0.243359375,0.7169551534869844,0.0006901582000637063,5.7725459300456955e-05,0.008457979400009207,0.00020216912161638055,0.25715751689999705,0.005726236251448554,0.09204541249996509,0.003237723972384634,0.03606745800000226,0.000970682659063236,0.009838700099999187,0.0012828337890862804,0.00028884149996883935,6.06675389827297e-05,163.0,0.0,16.2,1.9321835661585918,47.6,2.503331114069145,0.0,0.0,0.9999993254191452,6.828679198573239e-08,0.6579020215262167,0.0010310511722566595
32.0,CountSketch random projection,10,201319.1,451.0413752885881,1171971.6,2522.8695831004384,0.046878864,0.00010091478332401691,120.79146,0.2706248251731531,163.7,4.0838435055444755,120.74814861312002,0.0,0.11097779555911183,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9.043695766499946,0.13181885000479515,0.8297978959999682,0.03169188628295511,0.6962992295000276,0.027310025399094693,0.00032156659995052905,8.434260335265889e-05,0.05411360850002893,0.0021959798701839096,0.7507400292999818,0.028148791125396914,0.018775470700006736,0.0019919512524806155,10.62422806709992,0.16281398595359559,16.661423400000057,0.21884457461412085,12.51897737500001,0.19091568531331163,114.51350421905518,0.2474340875062325,-7.36640625,21.994650435033776,0.0007795916999839391,6.853991133450228e-05,0.018297208600051816,0.001928041634183077,0.5050358168000457,0.026546500257949843,0.0961235835000025,0.0107139997290967,0.06639423740000439,0.002292675036272532,0.0092472042000054,0.0010937044788582899,0.000335770800006685,7.603205447725904e-05,163.0,0.0,16.9,1.8529256146249726,46.9,3.7549966711037173,0.0,0.0,0.9999997548077173,2.1548789470040958e-08,0.6515207035262907,0.0007334622952499447
64.0,CountSketch random projection,10,402389.3,498.01786000994787,2260721.4,2714.611009580062,0.090428856,0.0001085844403832049,241.43357999999998,0.29881071600596787,300.7,6.65081448646204,241.49629722624005,0.0,0.11097779555911183,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,18.179883308399987,0.1938977862548187,1.7850704626999232,0.06207707413918305,1.1724041543999875,0.016793970266723093,0.00030044170002838653,7.534342502178915e-05,0.053023362399994764,0.002246117781730684,1.225733712499982,0.017743953344092588,0.018121733500038317,0.000963134400286039,21.19068172959992,0.19533025845820434,29.8561874,0.239189185113311,25.14002421270002,0.20649041499739684,223.7319227218628,0.2673395400640935,11.851171875,17.980367852166697,0.0008648251000749951,6.840804775335625e-05,0.02562901689998398,0.00019048700922665395,0.9293523540000024,0.013241327247822388,0.08733659600006831,0.0031408024289187003,0.11957094159990903,0.00175939775852564,0.009259316599991508,0.0008721045611916,0.0003081541000483412,8.201871958178934e-05,163.0,0.0,17.3,1.2516655570345725,45.8,2.2997584414213796,0.0,0.0,0.9999998703740467,1.6708878777370104e-08,0.6491231185446623,0.0005757768872371734
