n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec
200,1,SIGN,0.17534954193979502,0.0014605410397052765,0.0023452090099453926,1.6667181625962257e-05,13,2,0.0003790839109569788,0.0013256249949336052,0.00015620887279510498,0.00011499994434416294,6.708083674311638e-06,0.1733397499192506,0.17534954193979502,0.17533904290758073,1.0499032214283943e-05,0.1791552919894457
200,2,SIGN,0.034651790978387,0.0004465421661734581,0.005168166011571884,1.3208016753196716e-05,13,2,0.0002932921051979065,0.0001650420017540455,3.674998879432678e-05,3.237486816942692e-05,2.5420449674129486e-06,0.03410570789128542,0.034651790978387,0.034648916916921735,2.8740614652633667e-06,0.04026649915613234
200,3,SIGN,0.03346604201942682,0.0008273748680949211,0.005905749974772334,2.7583912014961243e-05,13,2,0.0012713749893009663,0.000382124911993742,0.00011424999684095383,6.016693077981472e-05,5.667097866535187e-06,0.03160124993883073,0.03346604201942682,0.033462417777627707,3.6242417991161346e-06,0.04019916686229408
200,4,SIGN,0.03241433296352625,0.00035550002939999104,0.0023084161803126335,1.1708121746778488e-05,13,2,0.00027295900508761406,0.0001524591352790594,3.7167221307754517e-05,2.7750153094530106e-05,2.375105395913124e-06,0.03190766600891948,0.03241433296352625,0.03241208475083113,2.248212695121765e-06,0.035078249173238873
200,5,SIGN,0.029268834041431546,0.0004015830345451832,0.0032652090303599834,1.1833850294351578e-05,13,2,0.0002840000670403242,0.0001509580761194229,3.658304922282696e-05,2.7749920263886452e-05,2.4170149117708206e-06,0.028753124875947833,0.029268834041431546,0.029266666853800416,2.1671876311302185e-06,0.03293562610633671
200,6,SIGN,0.018949709134176373,0.0004922500811517239,0.00309045915491879,1.154094934463501e-05,13,2,0.0003050421364605427,0.00015304191038012505,3.6250101402401924e-05,2.7416972443461418e-05,2.375105395913124e-06,0.018411874771118164,0.018949709134176373,0.018947541946545243,2.1671876311302185e-06,0.022532418370246887
200,7,SIGN,0.01763999997638166,0.0005803750827908516,0.0030469170305877924,1.2082979083061218e-05,13,2,0.00029491703025996685,0.0001546249259263277,3.9082951843738556e-05,2.8208130970597267e-05,2.4579931050539017e-06,0.017106459010392427,0.01763999997638166,0.017637833021581173,2.1669548004865646e-06,0.021267292089760303
200,8,SIGN,0.018260749988257885,0.0007798329461365938,0.0023514169733971357,2.1584099158644676e-05,13,2,0.0006077089346945286,0.00030870898626744747,0.0001177079975605011,5.41668850928545e-05,5.541834980249405e-06,0.017141666961833835,0.018260749988257885,0.01825708569958806,3.6642886698246002e-06,0.021391999907791615
200,9,SIGN,0.02188870799727738,0.0003733329940587282,0.006942166946828365,1.2333039194345474e-05,13,2,0.0002975000534206629,0.00036629103124141693,8.275010623037815e-05,7.12911132723093e-05,5.875015631318092e-06,0.021048916038125753,0.02188870799727738,0.021884956397116184,3.7516001611948013e-06,0.029204207938164473
200,10,SIGN,0.02198358392342925,0.00035491702146828175,0.0031102909706532955,1.1999858543276787e-05,13,2,0.0002723329234868288,0.0001521669328212738,3.674998879432678e-05,2.8582988306879997e-05,2.4170149117708206e-06,0.02147699985653162,0.02198358392342925,0.021981249563395977,2.334360033273697e-06,0.025448791915550828
200,11,SIGN,0.019414042122662067,0.0008006668649613857,0.0017014159820973873,1.3167038559913635e-05,13,2,0.0002711671404540539,0.00016929092817008495,4.2667146772146225e-05,3.5667093470692635e-05,2.250075340270996e-06,0.018877541180700064,0.019414042122662067,0.019411750603467226,2.291519194841385e-06,0.02191612496972084
200,12,SIGN,0.0195977920666337,0.0005312080029398203,0.0028890829998999834,2.6250025257468224e-05,13,2,0.000638958066701889,0.00037345802411437035,0.00010108412243425846,6.195809692144394e-05,5.95790334045887e-06,0.018385292030870914,0.0195977920666337,0.019592958269640803,4.833796992897987e-06,0.023018083069473505
200,13,SIGN,0.031699958024546504,0.0007142918184399605,0.002753959037363529,2.0707957446575165e-05,13,2,0.0005452500190585852,0.00038004200905561447,8.341693319380283e-05,5.295802839100361e-05,5.375128239393234e-06,0.03060908312909305,0.031699958024546504,0.031696833204478025,3.1248200684785843e-06,0.035168208880349994
200,14,SIGN,0.04237962490878999,0.0007842499762773514,0.001321542076766491,2.850010059773922e-05,13,2,0.0006655419711023569,0.00039350008592009544,8.825003169476986e-05,3.6250101402401924e-05,2.4170149117708206e-06,0.04116183309815824,0.04237962490878999,0.042376292403787374,3.332505002617836e-06,0.044485416961833835
200,15,SIGN,0.02493400010280311,0.00034016696736216545,0.003978833090513945,1.154094934463501e-05,13,2,0.00027637509629130363,0.00015487498603761196,3.975001163780689e-05,3.279093652963638e-05,2.499902620911598e-06,0.02441420778632164,0.02493400010280311,0.024932039668783545,1.9604340195655823e-06,0.02925300016067922
200,16,SIGN,0.04593337490223348,0.0007836250588297844,0.006601541070267558,1.995800994336605e-05,13,2,0.0005541250575333834,0.0003556248266249895,0.00012683309614658356,0.00010595889762043953,9.37492586672306e-06,0.04475650005042553,0.04593337490223348,0.045928374864161015,5.00003807246685e-06,0.053318541031330824
200,17,SIGN,0.02809179201722145,0.000710583059117198,0.003100417088717222,2.1792016923427582e-05,13,2,0.0006101669277995825,0.0004109172150492668,0.0001424590591341257,0.00011237501166760921,8.958159014582634e-06,0.026779541047289968,0.02809179201722145,0.028086209436878562,5.582580342888832e-06,0.03190279216505587
200,18,SIGN,0.07381800003349781,0.0003817090764641762,0.002543125068768859,1.2499978765845299e-05,13,2,0.00027645821683108807,0.00015320908278226852,3.762519918382168e-05,2.9125018045306206e-05,2.375105395913124e-06,0.07330504199489951,0.07381800003349781,0.07381633459590375,1.6654375940561295e-06,0.07674283417873085
200,19,SIGN,0.021351207979023457,0.0005716248415410519,0.0020437089260667562,1.2292061001062393e-05,13,2,0.0002783751115202904,0.0001788330264389515,4.74581029266119e-05,3.4333206713199615e-05,2.624932676553726e-06,0.02079450013116002,0.021351207979023457,0.02134841657243669,2.791406586766243e-06,0.023966541746631265
200,20,SIGN,0.021860458189621568,0.0003869167994707823,0.0031031249091029167,1.2249918654561043e-05,13,2,0.000529375160112977,0.000385957770049572,8.466700091958046e-05,5.345791578292847e-05,5.458947271108627e-06,0.02078462508507073,0.021860458189621568,0.021855791797861457,4.666391760110855e-06,0.025350499898195267
400,1,SIGN,0.06385200005024672,0.003855583956465125,0.012454499956220388,3.533298149704933e-05,13,2,0.0014726659283041954,0.0007988330908119678,0.00014825002290308475,7.595797069370747e-05,8.667120710015297e-06,0.06130699999630451,0.06385200005024672,0.06384670711122453,5.292939022183418e-06,0.08016208396293223
400,2,SIGN,0.07263437495566905,0.003949624951928854,0.016177458921447396,2.291705459356308e-05,13,2,0.00473354198038578,0.0015448748599737883,0.00023854104802012444,6.208289414644241e-05,4.250090569257736e-06,0.06602362520061433,0.07263437495566905,0.07262983312830329,4.541827365756035e-06,0.0927614588290453
400,3,SIGN,0.258921415777877,0.0017167921178042889,0.012042792048305273,2.2165942937135696e-05,13,2,0.0020482500549405813,0.0005443338304758072,0.00014954106882214546,3.987504169344902e-05,3.4580007195472717e-06,0.25611145910806954,0.258921415777877,0.2589190830476582,2.33273021876812e-06,0.27268099994398654
400,4,SIGN,0.17088129185140133,0.0028670839965343475,0.011739333160221577,2.5250017642974854e-05,13,2,0.0004753749817609787,0.0003985001239925623,0.0011400419753044844,3.3499905839562416e-05,3.6670826375484467e-06,0.1688025000039488,0.17088129185140133,0.17087883409112692,2.457760274410248e-06,0.18548770900815725
400,5,SIGN,0.061208250001072884,0.0014458331279456615,0.009768333053216338,2.150004729628563e-05,13,2,0.0023252498358488083,0.0003928749356418848,9.329104796051979e-05,3.279210068285465e-05,3.6670826375484467e-06,0.058336707996204495,0.061208250001072884,0.0612060830462724,2.1669548004865646e-06,0.07242241618223488
400,6,SIGN,0.05340283294208348,0.0013223749119788408,0.007454457925632596,2.1625077351927757e-05,13,2,0.0005050420295447111,0.00044366694055497646,8.404208347201347e-05,2.8499867767095566e-05,3.5420525819063187e-06,0.05231441697105765,0.05340283294208348,0.053400835022330284,1.9979197531938553e-06,0.062179665779694915
400,7,SIGN,0.10494945803657174,0.001436334103345871,0.01106974994763732,2.1541956812143326e-05,13,2,0.001084415940567851,0.000467000063508749,0.00023208302445709705,2.8416980057954788e-05,3.7080608308315277e-06,0.10311058396473527,0.10494945803657174,0.1049477499909699,1.7080456018447876e-06,0.11745554208755493
400,8,SIGN,0.1585089999716729,0.0026885420083999634,0.01244795904494822,4.924996756017208e-05,13,2,0.0009049579966813326,0.0004299171268939972,8.645886555314064e-05,3.033294342458248e-05,3.5830307751893997e-06,0.15700004203245044,0.1585089999716729,0.15850454196333885,4.458008334040642e-06,0.17364550102502108
400,9,SIGN,0.18882566690444946,0.0027118748985230923,0.0172112500295043,4.541594535112381e-05,13,2,0.0009672080632299185,0.0017485830467194319,0.0002469997853040695,0.00010120798833668232,9.499955922365189e-06,0.18570149992592633,0.18882566690444946,0.18882041471078992,5.252193659543991e-06,0.20874879183247685
400,10,SIGN,0.21159083396196365,0.0013619170058518648,0.011184707982465625,2.2666994482278824e-05,13,2,0.0006057501304894686,0.0004609581083059311,0.00011104205623269081,3.458303399384022e-05,3.458932042121887e-06,0.21035033301450312,0.21159083396196365,0.21158879227004945,2.0416919142007828e-06,0.22413745895028114
400,11,SIGN,0.15096662496216595,0.0012685409747064114,0.01426341594196856,2.1666986867785454e-05,13,2,0.0026366671081632376,0.002024291083216667,0.00026354193687438965,9.270780719816685e-05,9.37492586672306e-06,0.1459125829860568,0.15096662496216595,0.15096083283424377,5.792127922177315e-06,0.16649858187884092
400,12,SIGN,0.10376208391971886,0.002925500040873885,0.015282334061339498,4.783296026289463e-05,13,2,0.0010124999098479748,0.0015962498728185892,0.0001409999094903469,5.687517113983631e-05,3.834022209048271e-06,0.10089924978092313,0.10376208391971886,0.10375754162669182,4.542293027043343e-06,0.12196991802193224
400,13,SIGN,0.07521833409555256,0.0016331251244992018,0.016167750116437674,2.191588282585144e-05,13,2,0.0005061249248683453,0.0005546670872718096,0.0014872078318148851,8.012494072318077e-05,9.417068213224411e-06,0.07255604187957942,0.07521833409555256,0.07521549961529672,2.834480255842209e-06,0.09301920933648944
400,14,SIGN,0.1290268748998642,0.0016481250058859587,0.015045749954879284,2.3250002413988113e-05,13,2,0.0007082920055836439,0.0004549161531031132,0.00010579219087958336,2.9416987672448158e-05,3.666151314973831e-06,0.12769904197193682,0.1290268748998642,0.12902437546290457,2.4994369596242905e-06,0.14572074986062944
400,15,SIGN,0.19317208300344646,0.00316062499769032,0.010355625068768859,4.8040878027677536e-05,13,2,0.0009228331036865711,0.0007911249995231628,0.00024254200980067253,7.366714999079704e-05,8.584000170230865e-06,0.19108008313924074,0.19317208300344646,0.19316687528043985,5.207723006606102e-06,0.20668833306990564
400,16,SIGN,0.11104024993255734,0.0014107502065598965,0.008768124971538782,2.2707972675561905e-05,13,2,0.0006117080338299274,0.00036474992521107197,0.0001342089381068945,2.8834212571382523e-05,3.4580007195472717e-06,0.10987258306704462,0.11104024993255734,0.111038250150159,1.9997823983430862e-06,0.12121912511065602
400,17,SIGN,0.0672986248973757,0.0014417909551411867,0.014161583036184311,2.091703936457634e-05,13,2,0.0006093329284340143,0.00037491717375814915,0.002507499884814024,2.887495793402195e-05,3.7080608308315277e-06,0.06375099997967482,0.0672986248973757,0.06729625002481043,2.3748725652694702e-06,0.0829019988887012
400,18,SIGN,0.06269424990750849,0.0024880000855773687,0.010273583000525832,3.933394327759743e-05,13,2,0.004824375035241246,0.000824374845251441,0.00011370913125574589,3.891694359481335e-05,3.875000402331352e-06,0.05684579093940556,0.06269424990750849,0.06269037583842874,3.874069079756737e-06,0.0754558329936117
400,19,SIGN,0.06171200005337596,0.004807375138625503,0.013689415995031595,4.375004209578037e-05,13,2,0.0029570001643151045,0.0006894581019878387,0.00019595911726355553,6.924988701939583e-05,8.37491825222969e-06,0.05774329183623195,0.06171200005337596,0.06170708406716585,4.915986210107803e-06,0.08020879118703306
400,20,SIGN,0.058760416926816106,0.002081416081637144,0.01922191702760756,4.379195161163807e-05,13,2,0.0020542501006275415,0.0006951671093702316,0.001471291994675994,7.383385673165321e-05,9.292038157582283e-06,0.054407333955168724,0.058760416926816106,0.058754961006343365,5.455920472741127e-06,0.08006375003606081
600,1,SIGN,0.09017129195854068,0.003622707910835743,0.04162791697308421,6.045796908438206e-05,13,2,0.0031653749756515026,0.0009834589436650276,0.003791749943047762,9.124982170760632e-05,1.1750031262636185e-05,0.08206212497316301,0.09017129195854068,0.09016616665758193,5.125300958752632e-06,0.13542191684246063
600,2,SIGN,0.10870662494562566,0.005283375037834048,0.026655707973986864,3.8833823055028915e-05,13,2,0.002091832924634218,0.0032355410512536764,0.0008770828135311604,9.316718205809593e-05,1.1875061318278313e-05,0.10235308390110731,0.10870662494562566,0.10870141675695777,5.20818866789341e-06,0.14064570795744658
600,3,SIGN,0.12216954189352691,0.007064583012834191,0.04467745893634856,3.533298149704933e-05,13,2,0.0026643339078873396,0.0018049580976366997,0.0012386671733111143,0.00010345806367695332,1.2249918654561043e-05,0.11630554217845201,0.12216954189352691,0.12216454232111573,4.9995724111795425e-06,0.17391158384270966
600,4,SIGN,0.0642122090794146,0.005042833974584937,0.024006458930671215,3.587501123547554e-05,13,2,0.0008727500680834055,0.0008395840413868427,0.0002246249932795763,3.379094414412975e-05,4.999805241823196e-06,0.0621975411195308,0.0642122090794146,0.06420916598290205,3.043096512556076e-06,0.09326150198467076
600,5,SIGN,0.06134758307598531,0.0053131249733269215,0.030953541165217757,3.512483090162277e-05,13,2,0.002250166842713952,0.002035750076174736,0.0003233749885112047,5.074986256659031e-05,5.207955837249756e-06,0.056643208023160696,0.06134758307598531,0.06134358257986605,4.000496119260788e-06,0.09761424921452999
600,6,SIGN,0.04881079099141061,0.004329333081841469,0.02215450000949204,3.3916207030415535e-05,13,2,0.0008894579950720072,0.0008452499751001596,0.0010521251242607832,3.383285365998745e-05,4.915986210107803e-06,0.04594845790416002,0.04881079099141061,0.048807956045493484,2.8349459171295166e-06,0.07529462408274412
600,7,SIGN,0.07502429210580885,0.003273624926805496,0.02181091718375683,3.229081630706787e-05,13,2,0.002027292037382722,0.0014878748916089535,0.0023234591353684664,8.32919031381607e-05,1.1707888916134834e-05,0.0690540000796318,0.07502429210580885,0.07501991675235331,4.375353455543518e-06,0.10010883421637118
600,8,SIGN,0.10247566597536206,0.006730792112648487,0.046070750104263425,3.516604192554951e-05,13,2,0.003777374979108572,0.001471417024731636,0.0044464170932769775,0.00010041682980954647,1.2249918654561043e-05,0.09262679191306233,0.10247566597536206,0.10246983380056918,5.83217479288578e-06,0.15527720819227397
600,9,SIGN,0.06811970891430974,0.007493625162169337,0.036032124888151884,7.175002247095108e-05,13,2,0.005371999926865101,0.0010023328941315413,0.0005670839454978704,0.00011162483133375645,1.537497155368328e-05,0.060973832849413157,0.06811970891430974,0.06811399944126606,5.709473043680191e-06,0.11164545896463096
600,10,SIGN,0.1088698748499155,0.005342625081539154,0.03713575005531311,3.533298149704933e-05,13,2,0.008854374988004565,0.0040475421119481325,0.00030025001615285873,8.899997919797897e-05,1.1582858860492706e-05,0.09552712505683303,0.1088698748499155,0.1088652079924941,4.666857421398163e-06,0.15134824998676777
600,11,SIGN,0.07562004099600017,0.0068394578993320465,0.04324241611175239,5.8625126257538795e-05,13,2,0.0020526249427348375,0.0025774999521672726,0.0009534580167382956,4.449998959898949e-05,5.042180418968201e-06,0.06992208305746317,0.07562004099600017,0.07561383326537907,6.207730621099472e-06,0.1257019150070846
600,12,SIGN,0.06590529205277562,0.006831708829849958,0.04162329202517867,6.449990905821323e-05,13,2,0.0048194159753620625,0.005698750028386712,0.0003960840404033661,0.00014358293265104294,1.2625008821487427e-05,0.05476129101589322,0.06590529205277562,0.0658962489105761,9.043142199516296e-06,0.11436029290780425
