n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
200,1,Random Projection,8.09635532267064,1.6639529624604252,0.0275712455420098,0.3062261669838335,0.0091974580136593,0.0114792500098701,1.9416998839005828e-05,0.0002050000184681,0.0002768749836832,0.000129249994643,0.000101125013316,0.0004985419800505,9.87498788163066e-06,0.3049794170074165,0.3062261669838335,0.306219500984298,6.665999535471201e-06,0.326902875007363,,,,,,,,,,,,,,,,,,
200,1,Random Sampling,10.89717327657638,1.2173224785165082,0.0321431566853782,0.2078244999866001,0.0091974580136593,0.0089099580072797,,,,,,,,,0.2078244999866001,0.2078133760078344,1.1123978765681386e-05,0.2259319160075392,0.0004146249848417,0.0036975420080125,0.0184029999945778,0.0002059169928543,0.0001467920083086,0.1849455000192392,,,,,,,,,,,,
200,1,Non-random,9.527208210368787,0.8089099954771597,0.0090277777777778,0.2297375420166645,0.0091974580136593,0.0160139579966198,,,,,,,,,0.2297375420166645,0.2297349580330774,2.583983587101102e-06,0.2549489580269437,,,,,,,0.1109110420220531,0.1188110829971265,1.2833013897761704e-05,,,,,,,,,
200,2,Random Projection,7.9405945218760685,1.307327001356852,0.0361262400779999,0.1429916670022066,0.0009129999962169,0.0070157919835764,2.750000567175448e-05,0.0003897089918609,0.000187083001947,9.341698023490608e-05,0.0001024160010274,8.262501796707511e-05,1.4249992091208696e-05,0.142090334004024,0.1429916670022066,0.1429873339948244,4.3330073822289705e-06,0.1509204589820001,,,,,,,,,,,,,,,,,,
200,2,Random Sampling,11.59292509296973,1.3964269561284486,0.0164139437625719,0.0985052920004818,0.0009129999962169,0.0071145000110846,,,,,,,,,0.0985052920004818,0.0984993330202996,5.958980182185769e-06,0.1065327920077834,0.000793833984062,0.0002036660152953,0.0026374580047558,4.383400664664805e-05,4.883299698121846e-05,0.0947717080125585,,,,,,,,,,,,
200,2,Non-random,9.21961078279793,0.4488919041157846,0.0164819944598338,0.1499043750227429,0.0009129999962169,0.0081451250007376,,,,,,,,,0.1499043750227429,0.14990212401608,2.2510066628456116e-06,0.1589625000196974,,,,,,,0.1002133750007487,0.0496811660123057,7.5830030255019665e-06,,,,,,,,,
200,3,Random Projection,7.639146324115357,0.9611035730438716,0.0479970560321451,0.1333575840108096,0.0010637080122251,0.0079105419863481,2.9999995604157448e-05,0.0004172080080024,0.0001003750076051,4.595902282744646e-05,3.141697379760444e-05,4.225000157020986e-05,2.874992787837982e-06,0.1326831670012325,0.1333575840108096,0.1333532510034274,4.3330073822289705e-06,0.1423318340093828,,,,,,,,,,,,,,,,,,
200,3,Random Sampling,11.25501774990279,1.6037991858887382,0.0449879346754393,0.131801000010455,0.0010637080122251,0.0082669589901342,,,,,,,,,0.131801000010455,0.1317979570012539,3.043009201064706e-06,0.1411316670128144,0.0006675829936284,0.0001702909939922,0.0016062910144682,2.8916983865201473e-05,6.0457998188212514e-05,0.1292644170171115,,,,,,,,,,,,
200,3,Non-random,9.523601194025083,0.7489823609226594,0.0273597297804466,0.152119499980472,0.0010637080122251,0.0104032500239554,,,,,,,,,0.152119499980472,0.1521168320032302,2.6679772417992353e-06,0.1635864580166526,,,,,,,0.071469332993729,0.0806126660027075,3.48330067936331e-05,,,,,,,,,
200,4,Random Projection,8.103146694616534,1.0936227951153326,0.0478012825356323,0.052292624983238,0.0027867089956998,0.039388917008182,3.320799442008138e-05,0.0003790829796344,0.0001147919974755,8.479200187139213e-05,7.495799218304455e-05,6.704102270305157e-05,5.749985575675964e-06,0.0515297919919248,0.052292624983238,0.052289415965788,3.209017449989915e-06,0.0944682509871199,,,,,,,,,,,,,,,,,,
200,4,Random Sampling,10.97275366304273,1.1682496607869743,0.0435330983020033,0.0461805409868247,0.0027867089956998,0.0193942909827455,,,,,,,,,0.0461805409868247,0.0461776249867398,2.91600008495152e-06,0.0683615409652702,0.0004019170009996,0.0004324580077081,0.0032382500066887,2.554198727011681e-05,5.6374992709606886e-05,0.0420230829913634,,,,,,,,,,,,
200,4,Non-random,9.15180114556668,0.6313885119855269,0.0271105826397146,0.128467249975074,0.0027867089956998,0.0168545830238144,,,,,,,,,0.128467249975074,0.1284657480136957,1.5019613783806562e-06,0.1481085419945884,,,,,,,0.0779920409840997,0.0504650410148315,8.666014764457941e-06,,,,,,,,,
200,5,Random Projection,7.666442491344862,1.1985526910900044,0.0271247346894093,0.0271936669887509,0.0016339590074494,0.0112677500001154,2.2249994799494743e-05,0.0003796250093728,0.0001287500199396,0.0001420409826096,9.1583002358675e-05,8.695799624547362e-05,6.165995728224516e-06,0.0263327499851584,0.0271936669887509,0.0271901229862123,3.54400253854692e-06,0.0400953759963158,,,,,,,,,,,,,,,,,,
200,5,Random Sampling,10.793451998919585,1.228629579375848,0.0415814103650161,0.0496935420087538,0.0016339590074494,0.027242042007856,,,,,,,,,0.0496935420087538,0.0496906250482425,2.916960511356592e-06,0.0785695430240593,0.0004652920179069,0.0002680830075405,0.0032431660220026,5.58749889023602e-05,6.591700366698205e-05,0.045592292008223,,,,,,,,,,,,
200,5,Non-random,9.396633556142032,0.7641338760741747,0.0287999999999999,0.1481281250016763,0.0016339590074494,0.0080338749976363,,,,,,,,,0.1481281250016763,0.1481264579924754,1.667009200900793e-06,0.1577959590067621,,,,,,,0.1124099579756148,0.0356916250020731,2.487501478753984e-05,,,,,,,,,
200,6,Random Projection,8.149741764322414,0.8717774762550883,0.018763375200632,0.0298592089966405,0.0005315419984981,0.0109514590003527,1.2707983842119576e-05,0.0004369170055724,0.0039746669935993,4.741700831800699e-05,2.929099719040096e-05,4.991600872017443e-05,3.082997864112258e-06,0.0253026249993126,0.0298592089966405,0.0298566239944193,2.5850022211670876e-06,0.0413422099954914,,,,,,,,,,,,,,,,,,
200,6,Random Sampling,10.234616044252109,0.7652645861601085,0.0472876607137271,0.031531457992969,0.0005315419984981,0.004557999985991,,,,,,,,,0.031531457992969,0.0315279170172289,3.5409757401794195e-06,0.0366209999774582,0.0003967499942518,0.0004811249964404,0.0033845420111902,5.454200436361134e-05,8.774999878369272e-05,0.027123208012199,,,,,,,,,,,,
200,6,Non-random,9.305096484830896,0.4961555857078245,0.0101775147928993,0.1253692079917527,0.0005315419984981,0.0087633340153843,,,,,,,,,0.1253692079917527,0.1253677089989651,1.4989927876740694e-06,0.1346640840056352,,,,,,,0.0887303330237045,0.0366295419808011,7.833994459360838e-06,,,,,,,,,
200,7,Random Projection,8.172266292557644,0.8848937132519221,0.030651230016785,0.0327657089801505,0.0003996670129708,0.0280722920142579,1.2457981938496232e-05,0.0008162500162143,0.0001899159979075,8.916598744690418e-05,0.0001031669962685,8.208301733247936e-05,6.041984306648374e-06,0.031463208986679,0.0327657089801505,0.032762290968094,3.4180120564997196e-06,0.0612376680073794,,,,,,,,,,,,,,,,,,
200,7,Random Sampling,10.260313558492149,0.8224785165083672,0.0484144681771155,0.041199166997103,0.0003996670129708,0.0111734170059207,,,,,,,,,0.041199166997103,0.0411946270032785,4.539993824437261e-06,0.0527722510159947,0.0002801670052576,0.0003864169993903,0.0034964169899467,5.829200381413102e-05,0.0001154589990619,0.0368578750058077,,,,,,,,,,,,
200,7,Non-random,9.533010736675696,0.5244233378561737,0.0112335393711367,0.1251191250048577,0.0003996670129708,0.0113253749732393,,,,,,,,,0.1251191250048577,0.125117500021588,1.6249832697212696e-06,0.136844166991068,,,,,,,0.0919665000110399,0.0331437500135507,7.2499969974160194e-06,,,,,,,,,
200,8,Random Projection,7.995175031584052,0.8412483039348712,0.0220561207609041,0.0349660410138312,0.0008945000008679,0.0154917079780716,2.1082989405840635e-05,0.0003948330122511,0.0001070410071406,9.095799759961665e-05,8.450000314041972e-05,8.037500083446503e-05,6.54099858365953e-06,0.0341769579972606,0.0349660410138312,0.0349622890062164,3.752007614821195e-06,0.0513522489927709,,,,,,,,,,,,,,,,,,
200,8,Random Sampling,10.945660171777696,0.992311171415649,0.0286785472455361,0.0308583750156685,0.0008945000008679,0.0169483750069048,,,,,,,,,0.0308583750156685,0.030853665957693,4.709057975560427e-06,0.0487012500234413,0.0003134169965051,0.0004158749943599,0.0016252909845206,2.77079816441983e-05,9.504100307822227e-05,0.0283763339975848,,,,,,,,,,,,
200,8,Non-random,9.342100202977829,0.4208502939846223,0.022924446997989,0.1258669169910717,0.0008945000008679,0.0093651250062976,,,,,,,,,0.1258669169910717,0.1258650839736219,1.833017449826002e-06,0.1361265419982373,,,,,,,0.0810432089783717,0.0448064169904682,1.5458004781976342e-05,,,,,,,,,
200,9,Random Projection,8.791084373560107,1.0963364993215738,0.0356853219924668,0.0739695410011336,0.0014662089815828,0.0088140000007115,1.3958982890471816e-05,0.0001938749919645,5.891700857318938e-05,4.1207997128367424e-05,3.095800639130175e-05,3.645799006335437e-05,2.5830231606960297e-06,0.0735897499835118,0.0739695410011336,0.0739677079836838,1.833017449826002e-06,0.084249749983428,,,,,,,,,,,,,,,,,,
200,9,Random Sampling,11.369809836823515,1.0345997286295794,0.0416818345510792,0.0184815829852595,0.0014662089815828,0.0124724999768659,,,,,,,,,0.0184815829852595,0.0184773749788291,4.208006430417299e-06,0.0324202919437084,0.0007686669996473,0.0005369170103222,0.0032042499806266,6.054100231267512e-05,6.962500629015267e-05,0.0138373749796301,,,,,,,,,,,,
200,9,Non-random,9.853345505306915,0.6463138851198553,0.0374260355029585,0.116400208993582,0.0014662089815828,0.0162740839878097,,,,,,,,,0.116400208993582,0.1163984169834293,1.7920101527124643e-06,0.1341405019629746,,,,,,,0.0888885419990401,0.0274958329973742,1.404198701493442e-05,,,,,,,,,
200,10,Random Projection,8.144010732313435,0.6908638625056536,0.0348373323675154,0.0341270419885404,0.0004816250002477,0.0100334589951671,1.200000406242907e-05,0.0001894579909276,5.075000808574259e-05,4.166699363850057e-05,2.7499976567924023e-05,3.7416990380734205e-05,2.582994056865573e-06,0.0337637909979093,0.0341270419885404,0.0341251659556292,1.8760329112410543e-06,0.0446421259839553,,,,,,,,,,,,,,,,,,
200,10,Random Sampling,10.426324957914716,1.00565355042967,0.0350631144001435,0.035684417001903,0.0004816250002477,0.0134613330010324,,,,,,,,,0.035684417001903,0.0356741249852348,1.0292016668245196e-05,0.0496273750031832,0.0003733329940587,0.0004609169845934,0.0043177500192541,5.562498699873686e-05,0.0001372919941786,0.030329208006151,,,,,,,,,,,,
